,TEMA_monthly_10
2022-04-04,54.3985
2022-03-31,57.5276
2022-02-28,61.9369
2022-01-31,64.6360
2021-12-31,65.0332
2021-11-30,68.7456
2021-10-29,71.9105
2021-09-30,72.7332
2021-08-31,73.3237
2021-07-30,72.7148
2021-06-30,74.2647
2021-05-28,74.3792
2021-04-30,68.8375
2021-03-31,65.1178
2021-02-26,58.6296
2021-01-29,53.3063
2020-12-31,50.4975
2020-11-30,44.3416
2020-10-30,39.6960
2020-09-30,41.9720
2020-08-31,44.9270
2020-07-31,44.5123
2020-06-30,44.9624
2020-05-29,45.6512
2020-04-30,49.0839
2020-03-31,54.4373
2020-02-28,66.5708
2020-01-31,71.1320
2019-12-31,70.8303
2019-11-29,67.0707
2019-10-31,64.2955
2019-09-30,62.4049
2019-08-30,61.2489
2019-07-31,62.3942
2019-06-28,60.1567
2019-05-31,57.5164
2019-04-30,58.4566
2019-03-29,54.9449
2019-02-28,55.0165
2019-01-31,54.2024
2018-12-31,53.1680
2018-11-30,59.3064
2018-10-31,60.8009
2018-09-28,62.9043
2018-08-31,62.2406
2018-07-31,61.5457
2018-06-29,60.3980
2018-05-31,61.6735
2018-04-30,63.6758
2018-03-29,65.8002
2018-02-28,69.2231
2018-01-31,69.2744
2017-12-29,67.4474
2017-11-30,66.8147
2017-10-31,64.8901
2017-09-29,63.0673
2017-08-31,60.4876
2017-07-31,59.1299
2017-06-30,56.7648
2017-05-31,53.9155
2017-04-28,53.1728
2017-03-31,52.6689
2017-02-28,51.3638
2017-01-31,49.2049
2016-12-30,48.2151
2016-11-30,44.4750
2016-10-31,40.6059
2016-09-30,39.1701
2016-08-31,38.1923
2016-07-29,36.5251
2016-06-30,36.4580
2016-05-31,37.4113
2016-04-29,36.5541
2016-03-31,35.6363
2016-02-29,37.1368
2016-01-29,41.2215
2015-12-31,45.2183
2015-11-30,45.8974
2015-10-30,45.5460
2015-09-30,45.5491
2015-08-31,47.6097
2015-07-31,48.3607
2015-06-30,46.5136
2015-05-29,45.5942
2015-04-30,44.8539
2015-03-31,44.1916
2015-02-27,44.2227
2015-01-30,43.7286
2014-12-31,46.1064
2014-11-28,45.4377
2014-10-31,44.4464
2014-09-30,43.1677
2014-08-29,42.2228
2014-07-31,40.9057
2014-06-30,40.5405
2014-05-30,41.0619
2014-04-30,41.5671
2014-03-31,42.1100
2014-02-28,43.0516
2014-01-31,43.7798
2013-12-31,45.4307
2013-11-29,45.0266
2013-10-31,43.7819
2013-09-30,44.1314
2013-08-30,44.5930
2013-07-31,45.1195
2013-06-28,43.4224
2013-05-31,43.0030
2013-04-30,39.7724
2013-03-28,37.7910
2013-02-28,36.0124
2013-01-31,34.4717
2012-12-31,31.9009
2012-11-30,29.4627
2012-10-31,28.6350
2012-09-28,25.7539
2012-08-31,24.1907
2012-07-31,23.6771
2012-06-29,24.5000
2012-05-31,25.6499
2012-04-30,27.9360
2012-03-30,27.6144
2012-02-29,25.1875
2012-01-31,23.5744
2011-12-30,22.8757
2011-11-30,24.5981
2011-10-31,26.6963
