,TEMA_monthly_10
2022-04-04,158.4241
2022-03-31,152.2048
2022-02-28,139.7224
2022-01-31,132.5421
2021-12-31,128.4766
2021-11-30,115.5916
2021-10-29,100.6621
2021-09-30,96.0305
2021-08-31,97.3584
2021-07-30,102.8698
2021-06-30,104.7732
2021-05-28,107.6516
2021-04-30,113.0043
2021-03-31,108.8822
2021-02-26,102.7587
2021-01-29,104.3706
2020-12-31,104.1654
2020-11-30,99.3088
2020-10-30,91.1585
2020-09-30,91.7868
2020-08-31,92.0484
2020-07-31,89.1592
2020-06-30,86.9487
2020-05-29,84.3184
2020-04-30,77.2639
2020-03-31,79.5249
2020-02-28,87.5117
2020-01-31,93.2550
2019-12-31,99.2387
2019-11-29,103.4598
2019-10-31,111.3388
2019-09-30,110.0088
2019-08-30,105.2209
2019-07-31,106.3608
2019-06-28,107.6063
2019-05-31,105.3188
2019-04-30,105.4711
2019-03-29,98.8454
2019-02-28,92.9966
2019-01-31,90.0829
2018-12-31,85.4291
2018-11-30,83.0176
2018-10-31,82.0209
2018-09-28,82.4400
2018-08-31,85.1458
2018-07-31,90.0283
2018-06-29,90.1202
2018-05-31,94.5176
2018-04-30,102.5529
2018-03-29,105.2259
2018-02-28,109.3990
2018-01-31,109.7831
2017-12-29,101.4136
2017-11-30,93.6701
2017-10-31,84.9197
2017-09-29,79.5398
2017-08-31,74.5487
2017-07-31,72.1103
2017-06-30,73.7754
2017-05-31,77.8651
2017-04-28,78.8028
2017-03-31,76.8829
2017-02-28,77.0675
2017-01-31,78.6756
2016-12-30,80.8209
2016-11-30,84.0500
2016-10-31,81.4555
2016-09-30,86.0702
2016-08-31,90.5111
2016-07-29,94.2843
2016-06-30,90.3770
2016-05-31,85.6356
2016-04-29,80.8572
2016-03-31,80.8822
2016-02-29,78.9094
2016-01-29,77.3298
2015-12-31,74.1663
2015-11-30,72.1876
2015-10-30,70.4410
2015-09-30,74.5534
2015-08-31,79.7499
2015-07-31,80.7519
2015-06-30,80.7219
2015-05-29,79.6639
2015-04-30,80.3758
2015-03-31,80.0074
2015-02-27,75.7848
2015-01-30,70.0713
2014-12-31,67.0124
2014-11-28,62.6704
2014-10-31,57.3918
2014-09-30,54.7058
2014-08-29,53.7131
2014-07-31,53.8690
2014-06-30,53.5157
2014-05-30,52.9867
2014-04-30,53.1559
2014-03-31,54.0316
2014-02-28,55.2036
2014-01-31,55.1147
2013-12-31,57.7146
2013-11-29,57.4176
2013-10-31,57.2783
2013-09-30,54.9993
2013-08-30,52.2616
2013-07-31,51.0478
2013-06-28,48.4881
2013-05-31,46.5078
2013-04-30,45.4208
2013-03-28,44.1287
2013-02-28,41.6679
2013-01-31,40.2994
2012-12-31,41.8881
2012-11-30,43.9566
2012-10-31,46.2706
2012-09-28,50.9100
2012-08-31,51.9696
2012-07-31,53.3864
2012-06-29,53.7260
2012-05-31,51.5636
2012-04-30,49.5067
2012-03-30,46.6514
2012-02-29,44.5402
2012-01-31,43.1503
2011-12-30,42.0689
2011-11-30,40.7627
2011-10-31,39.1018
2011-09-30,36.8987
2011-08-31,35.0216
2011-07-29,33.2776
2011-06-30,32.2479
2011-05-31,30.4111
2011-04-29,28.5023
2011-03-31,27.6406
2011-02-28,26.9087
2011-01-31,27.4445
2010-12-31,27.9952
2010-11-30,26.7833
2010-10-29,25.1931
2010-09-30,23.9042
2010-08-31,22.7128
2010-07-30,21.9933
2010-06-30,21.1282
2010-05-28,20.6365
2010-04-30,19.7652
2010-03-31,18.7926
2010-02-26,17.6033
2010-01-29,16.5573
2009-12-31,16.3533
2009-11-30,16.2784
2009-10-30,15.9694
2009-09-30,16.3191
2009-08-31,15.9804
2009-07-31,15.1367
2009-06-30,14.6937
2009-05-29,14.8920
2009-04-30,14.5370
2009-03-31,14.5030
2009-02-27,13.9049
2009-01-30,14.2502
2008-12-31,13.8316
2008-11-28,13.3826
2008-10-31,12.5347
2008-09-30,12.1997
2008-08-29,12.0465
2008-07-31,11.3488
2008-06-30,10.5018
2008-05-30,10.3364
2008-04-30,9.1779
2008-03-31,8.7056
2008-02-29,8.9786
2008-01-31,9.6287
2007-12-31,10.3928
2007-11-30,12.0360
2007-10-31,13.8577
2007-09-28,14.3546
2007-08-31,14.5216
2007-07-31,14.0387
2007-06-29,14.4009
2007-05-31,13.6584
2007-04-30,12.7473
2007-03-30,11.9918
2007-02-28,11.0536
