,TEMA_monthly_10
2022-04-04,110.8785
2022-03-31,110.0595
2022-02-28,108.8939
2022-01-31,107.4742
2021-12-31,108.4265
2021-11-30,106.3214
2021-10-29,116.2016
2021-09-30,124.7907
2021-08-31,128.3353
2021-07-30,123.2777
2021-06-30,122.2881
2021-05-28,120.1089
2021-04-30,116.5139
2021-03-31,112.9689
2021-02-26,112.9959
2021-01-29,116.1233
2020-12-31,109.7157
2020-11-30,99.4702
2020-10-30,88.8213
2020-09-30,88.5152
2020-08-31,88.0813
2020-07-31,86.2791
2020-06-30,82.7762
2020-05-29,82.7341
2020-04-30,81.0308
2020-03-31,79.3883
2020-02-28,78.4964
2020-01-31,75.6775
2019-12-31,69.5866
2019-11-29,63.5297
2019-10-31,56.6153
2019-09-30,55.2332
2019-08-30,54.2943
2019-07-31,53.4971
2019-06-28,50.1645
2019-05-31,47.9306
2019-04-30,53.5867
2019-03-29,54.3145
2019-02-28,56.3046
2019-01-31,57.7583
2018-12-31,60.6637
2018-11-30,68.2524
2018-10-31,69.6957
2018-09-28,70.9162
2018-08-31,69.7588
2018-07-31,69.5386
2018-06-29,68.4775
2018-05-31,67.4192
2018-04-30,67.5637
2018-03-29,70.4405
2018-02-28,72.4560
2018-01-31,71.1756
2017-12-29,65.0936
2017-11-30,59.9686
2017-10-31,60.0063
2017-09-29,60.4252
2017-08-31,62.1007
2017-07-31,65.2541
2017-06-30,65.8106
2017-05-31,66.6923
2017-04-28,67.0222
2017-03-31,65.7024
2017-02-28,64.5231
2017-01-31,61.9442
2016-12-30,62.1292
2016-11-30,62.3370
2016-10-31,63.4693
2016-09-30,68.5494
2016-08-31,71.2096
2016-07-29,76.1676
2016-06-30,74.8086
2016-05-31,72.9246
2016-04-29,70.1726
2016-03-31,68.5058
2016-02-29,66.5668
2016-01-29,68.8967
2015-12-31,71.7706
2015-11-30,74.4230
2015-10-30,76.1902
2015-09-30,75.8453
2015-08-31,78.8290
2015-07-31,80.9695
2015-06-30,81.7385
2015-05-29,82.4082
2015-04-30,80.3050
2015-03-31,78.8045
2015-02-27,76.3015
2015-01-30,76.9411
2014-12-31,77.4123
2014-11-28,77.4483
2014-10-31,76.7373
2014-09-30,74.4112
2014-08-29,74.0504
2014-07-31,72.2511
2014-06-30,72.2034
2014-05-30,70.6263
2014-04-30,69.2125
2014-03-31,67.7537
2014-02-28,65.6784
2014-01-31,62.5042
2013-12-31,60.2295
2013-11-29,57.8344
2013-10-31,56.8246
2013-09-30,57.5581
2013-08-30,58.1463
2013-07-31,61.0492
2013-06-28,62.2011
2013-05-31,62.2150
2013-04-30,60.8916
2013-03-28,60.4958
2013-02-28,59.6560
2013-01-31,57.7842
2012-12-31,56.1530
2012-11-30,55.1097
2012-10-31,54.1442
2012-09-28,50.9352
2012-08-31,48.9536
2012-07-31,47.9532
2012-06-29,45.9060
2012-05-31,42.8044
2012-04-30,43.8025
2012-03-30,42.7051
2012-02-29,40.4474
2012-01-31,38.2676
2011-12-30,36.6311
2011-11-30,36.2610
2011-10-31,35.6472
2011-09-30,36.8790
2011-08-31,41.1829
2011-07-29,43.8090
2011-06-30,44.1865
2011-05-31,43.5100
2011-04-29,43.1475
2011-03-31,41.0284
2011-02-28,38.5578
2011-01-31,36.8007
2010-12-31,35.9186
2010-11-30,35.9472
2010-10-29,34.7765
2010-09-30,33.2402
2010-08-31,31.7831
2010-07-30,31.0355
2010-06-30,32.3090
2010-05-28,32.3750
2010-04-30,32.0219
2010-03-31,31.7094
2010-02-26,30.7930
2010-01-29,29.9175
2009-12-31,29.1330
2009-11-30,28.2164
2009-10-30,26.6139
2009-09-30,26.2752
2009-08-31,24.5313
2009-07-31,23.6108
2009-06-30,22.9603
2009-05-29,22.1425
2009-04-30,22.4809
2009-03-31,22.6558
2009-02-27,23.8237
2009-01-30,24.6368
2008-12-31,25.8764
2008-11-28,26.8865
2008-10-31,28.1632
2008-09-30,27.8567
2008-08-29,27.3035
2008-07-31,26.3614
2008-06-30,25.5140
2008-05-30,25.2282
2008-04-30,25.2951
2008-03-31,25.2948
2008-02-29,26.9307
2008-01-31,28.7659
2007-12-31,30.2016
2007-11-30,31.2977
2007-10-31,30.9570
2007-09-28,29.2907
2007-08-31,27.4548
2007-07-31,26.6328
2007-06-29,26.9683
2007-05-31,27.1611
2007-04-30,27.0009
2007-03-30,26.9812
2007-02-28,27.3914
2007-01-31,27.5991
2006-12-29,27.8593
2006-11-30,27.4586
2006-10-31,28.0734
2006-09-29,28.1317
2006-08-31,27.4201
2006-07-31,26.1689
2006-06-30,27.0944
2006-05-31,28.5227
2006-04-28,29.4478
2006-03-31,29.5753
2006-02-28,28.2865
2006-01-31,26.8487
2005-12-30,25.8197
2005-11-30,25.5620
2005-10-31,24.4453
2005-09-30,23.7979
2005-08-31,23.7784
2005-07-29,23.6862
2005-06-30,22.9756
2005-05-31,22.3855
2005-04-29,21.1919
2005-03-31,21.2386
2005-02-28,20.6592
2005-01-31,19.5421
2004-12-31,17.8703
2004-11-30,16.1304
2004-10-29,15.6223
2004-09-30,16.0335
2004-08-31,16.0699
2004-07-30,16.3332
