,TEMA_monthly_10
2022-04-04,56.6805
2022-03-31,58.4703
2022-02-28,60.9129
2022-01-31,66.5401
2021-12-31,71.1287
2021-11-30,73.4025
2021-10-29,75.7922
2021-09-30,72.8590
2021-08-31,72.7848
2021-07-30,67.5191
2021-06-30,65.1272
2021-05-28,59.9141
2021-04-30,58.1305
2021-03-31,58.7246
2021-02-26,55.7088
2021-01-29,54.1839
2020-12-31,51.7498
2020-11-30,52.0639
2020-10-30,52.1611
2020-09-30,53.9570
2020-08-31,53.3025
2020-07-31,50.1790
2020-06-30,44.9900
2020-05-29,38.9343
2020-04-30,34.4114
2020-03-31,31.5769
2020-02-28,33.8520
2020-01-31,34.2710
2019-12-31,35.7270
2019-11-29,36.2183
2019-10-31,37.3039
2019-09-30,39.1121
2019-08-30,39.2547
2019-07-31,38.4836
2019-06-28,36.7279
2019-05-31,35.1312
2019-04-30,35.0132
2019-03-29,33.0613
2019-02-28,31.2043
2019-01-31,28.5048
2018-12-31,26.9766
2018-11-30,28.4727
2018-10-31,29.7116
2018-09-28,32.2117
2018-08-31,33.4459
2018-07-31,34.3171
2018-06-29,36.3863
2018-05-31,37.6309
2018-04-30,38.4791
2018-03-29,39.5369
2018-02-28,39.4551
2018-01-31,37.5107
2017-12-29,35.9811
2017-11-30,35.4482
2017-10-31,36.5330
2017-09-29,36.1052
2017-08-31,34.8124
2017-07-31,34.2721
2017-06-30,33.6092
2017-05-31,33.0294
2017-04-28,32.4517
2017-03-31,32.0497
2017-02-28,31.2331
2017-01-31,29.7048
2016-12-30,28.6876
2016-11-30,28.4869
2016-10-31,29.3208
2016-09-30,30.0003
2016-08-31,28.0657
2016-07-29,25.5895
2016-06-30,22.5420
2016-05-31,23.0422
2016-04-29,23.1508
2016-03-31,23.3718
2016-02-29,24.1001
2016-01-29,25.2330
2015-12-31,27.1083
2015-11-30,27.2394
2015-10-30,26.0040
2015-09-30,25.2026
2015-08-31,26.1854
2015-07-31,25.8536
2015-06-30,24.6423
2015-05-29,24.3456
2015-04-30,23.5528
