,TEMA_monthly_10
2022-04-04,96.7852
2022-03-31,95.3567
2022-02-28,93.2999
2022-01-31,93.6073
2021-12-31,94.9210
2021-11-30,96.0075
2021-10-29,100.7729
2021-09-30,101.6363
2021-08-31,104.2559
2021-07-30,100.0078
2021-06-30,96.4904
2021-05-28,93.7621
2021-04-30,89.5072
2021-03-31,86.4187
2021-02-26,81.5185
2021-01-29,76.6713
2020-12-31,73.7517
2020-11-30,68.4713
2020-10-30,62.7961
2020-09-30,62.4722
2020-08-31,61.4440
2020-07-31,57.3917
2020-06-30,56.6069
2020-05-29,55.5684
2020-04-30,54.8619
2020-03-31,56.9329
2020-02-28,66.1177
2020-01-31,69.1479
2019-12-31,68.9854
2019-11-29,65.6450
2019-10-31,62.1247
2019-09-30,59.5566
2019-08-30,57.8848
2019-07-31,60.0793
2019-06-28,60.4111
2019-05-31,59.8114
2019-04-30,63.0210
2019-03-29,61.3963
2019-02-28,60.5823
2019-01-31,59.6332
2018-12-31,60.2634
2018-11-30,64.7593
2018-10-31,66.5792
2018-09-28,69.2106
2018-08-31,67.5872
2018-07-31,64.8968
2018-06-29,63.7605
2018-05-31,63.8314
2018-04-30,62.7392
2018-03-29,63.9028
2018-02-28,64.2617
2018-01-31,62.8715
2017-12-29,60.1519
2017-11-30,57.4383
2017-10-31,56.1703
2017-09-29,54.6779
2017-08-31,53.3068
2017-07-31,53.4235
2017-06-30,53.4152
2017-05-31,53.2571
2017-04-28,53.1625
2017-03-31,52.4573
2017-02-28,51.4885
2017-01-31,49.7550
2016-12-30,48.1548
2016-11-30,47.3682
2016-10-31,45.7175
2016-09-30,46.8181
2016-08-31,46.1597
2016-07-29,46.1490
2016-06-30,44.4831
2016-05-31,44.0908
2016-04-29,43.5466
2016-03-31,41.5112
2016-02-29,38.6792
2016-01-29,37.7357
2015-12-31,38.3720
2015-11-30,38.4506
2015-10-30,37.5502
2015-09-30,38.2580
2015-08-31,41.2319
2015-07-31,43.8563
2015-06-30,45.9174
2015-05-29,47.0454
2015-04-30,46.1227
2015-03-31,45.9221
2015-02-27,46.9441
2015-01-30,47.8553
2014-12-31,50.0671
2014-11-28,50.7946
2014-10-31,50.7979
2014-09-30,50.8983
2014-08-29,51.8398
2014-07-31,52.4367
2014-06-30,53.6928
2014-05-30,54.0150
2014-04-30,54.1708
2014-03-31,53.7153
2014-02-28,53.6115
2014-01-31,54.0898
2013-12-31,54.4479
2013-11-29,52.5069
2013-10-31,51.0745
2013-09-30,48.9729
2013-08-30,46.8601
2013-07-31,45.8349
2013-06-28,43.8696
2013-05-31,44.3826
2013-04-30,43.5002
2013-03-28,43.2751
2013-02-28,42.6224
2013-01-31,41.1015
2012-12-31,38.6774
2012-11-30,37.2345
2012-10-31,36.4831
2012-09-28,36.5065
2012-08-31,36.6327
2012-07-31,35.5944
2012-06-29,35.7746
2012-05-31,36.6741
2012-04-30,37.9226
2012-03-30,37.0794
2012-02-29,36.0193
2012-01-31,35.4187
2011-12-30,34.2586
2011-11-30,34.9996
2011-10-31,33.3951
2011-09-30,33.3805
2011-08-31,36.8351
2011-07-29,39.4389
2011-06-30,42.2281
2011-05-31,42.7822
2011-04-29,44.2957
2011-03-31,43.5125
2011-02-28,43.2888
2011-01-31,42.1527
2010-12-31,40.8009
2010-11-30,39.4256
2010-10-29,38.2154
2010-09-30,36.4967
2010-08-31,34.8780
2010-07-30,35.2255
2010-06-30,34.3777
2010-05-28,35.7442
2010-04-30,36.2578
2010-03-31,34.2026
2010-02-26,31.8468
2010-01-29,29.6128
2009-12-31,29.0600
2009-11-30,27.6347
2009-10-30,26.0006
2009-09-30,25.3891
2009-08-31,23.3815
2009-07-31,21.9319
2009-06-30,20.2519
2009-05-29,19.7364
2009-04-30,19.2946
2009-03-31,18.1164
2009-02-27,19.1294
2009-01-30,21.7334
2008-12-31,23.2651
2008-11-28,23.9938
2008-10-31,25.6199
2008-09-30,29.7942
2008-08-29,32.4782
2008-07-31,33.8062
2008-06-30,35.0527
2008-05-30,36.5206
2008-04-30,34.7449
2008-03-31,34.8085
2008-02-29,35.1911
2008-01-31,35.8903
2007-12-31,37.0071
2007-11-30,35.9200
2007-10-31,34.0014
2007-09-28,33.2434
2007-08-31,31.5947
2007-07-31,30.8085
2007-06-29,30.6263
2007-05-31,30.3915
2007-04-30,29.2456
2007-03-30,28.2332
2007-02-28,28.3670
2007-01-31,28.5225
2006-12-29,27.9653
2006-11-30,27.4523
2006-10-31,26.9495
2006-09-29,26.7485
2006-08-31,26.5065
2006-07-31,26.4498
2006-06-30,27.0748
2006-05-31,26.8653
2006-04-28,26.7207
2006-03-31,25.9681
2006-02-28,25.0235
2006-01-31,23.9136
2005-12-30,23.1980
2005-11-30,22.6476
2005-10-31,21.5839
2005-09-30,21.3309
2005-08-31,20.4535
2005-07-29,20.0795
2005-06-30,19.9081
2005-05-31,20.3015
2005-04-29,20.0691
2005-03-31,20.5718
2005-02-28,20.8136
2005-01-31,20.8361
2004-12-31,20.7078
2004-11-30,19.8751
2004-10-29,19.2698
2004-09-30,18.9871
2004-08-31,18.9762
2004-07-30,18.8515
2004-06-30,19.0239
2004-05-28,18.6567
2004-04-30,18.8444
2004-03-31,19.0424
2004-02-27,19.3235
2004-01-30,19.1386
2003-12-31,18.5668
2003-11-28,17.4666
2003-10-31,16.5139
2003-09-30,15.9876
2003-08-29,15.9831
2003-07-31,15.3232
2003-06-30,14.8103
2003-05-30,14.5504
2003-04-30,13.9269
2003-03-31,13.4136
2003-02-28,13.7255
2003-01-31,13.8775
2002-12-31,14.2315
2002-11-29,14.0183
2002-10-31,13.4825
2002-09-30,13.5752
2002-08-30,14.5740
2002-07-31,15.1522
2002-06-28,15.6859
2002-05-31,15.9921
2002-04-30,15.6183
2002-03-28,15.9864
