,TEMA_monthly_10
2022-04-04,218.8923
2022-03-31,226.3493
2022-02-28,229.1022
2022-01-31,240.4348
2021-12-31,241.8698
2021-11-30,235.8775
2021-10-29,246.8665
2021-09-30,259.9310
2021-08-31,289.8370
2021-07-30,302.6322
2021-06-30,310.4811
2021-05-28,307.8548
2021-04-30,291.3694
2021-03-31,281.1311
2021-02-26,268.1148
2021-01-29,266.8694
2020-12-31,275.4642
2020-11-30,269.4905
2020-10-30,240.5516
2020-09-30,213.3491
2020-08-31,176.6801
2020-07-31,142.9259
2020-06-30,126.8132
2020-05-29,121.9983
2020-04-30,122.3801
2020-03-31,126.2476
2020-02-28,136.3796
2020-01-31,139.4988
2019-12-31,142.5309
2019-11-29,143.4410
2019-10-31,140.2591
2019-09-30,141.3080
2019-08-30,148.5037
2019-07-31,152.1278
2019-06-28,150.8600
2019-05-31,154.2781
2019-04-30,167.3361
2019-03-29,165.1312
2019-02-28,168.2635
2019-01-31,174.8673
2018-12-31,188.0268
2018-11-30,218.7572
2018-10-31,221.5996
2018-09-28,231.3912
2018-08-31,232.6454
2018-07-31,232.6209
2018-06-29,231.0396
2018-05-31,240.2753
2018-04-30,239.6570
2018-03-29,239.1859
2018-02-28,242.0943
2018-01-31,241.6274
2017-12-29,229.5824
2017-11-30,218.9463
2017-10-31,214.1006
2017-09-29,209.6675
2017-08-31,202.4473
2017-07-31,198.4376
2017-06-30,195.7976
2017-05-31,185.3356
2017-04-28,184.4200
2017-03-31,185.0900
2017-02-28,181.9951
2017-01-31,178.3757
2016-12-30,174.8100
2016-11-30,170.7459
2016-10-31,160.9955
2016-09-30,157.0707
2016-08-31,150.7614
2016-07-29,147.6382
2016-06-30,144.8429
2016-05-31,147.0136
2016-04-29,142.1979
2016-03-31,135.0785
2016-02-29,126.3506
2016-01-29,130.2390
2015-12-31,138.9695
2015-11-30,142.1809
2015-10-30,141.4196
2015-09-30,142.1339
2015-08-31,150.9477
2015-07-31,160.0510
2015-06-30,160.4053
2015-05-29,161.2840
2015-04-30,160.6358
2015-03-31,161.5393
2015-02-27,164.9273
2015-01-30,162.2796
2014-12-31,162.5423
2014-11-28,159.3405
2014-10-31,151.1580
2014-09-30,145.0512
2014-08-29,139.1174
2014-07-31,138.3332
2014-06-30,137.2367
2014-05-30,132.2530
2014-04-30,128.9245
2014-03-31,128.3460
2014-02-28,129.1738
2014-01-31,129.3211
2013-12-31,128.7564
2013-11-29,120.6466
2013-10-31,111.1425
2013-09-30,101.2828
2013-08-30,96.7422
2013-07-31,94.0160
2013-06-28,90.6194
2013-05-31,90.0101
2013-04-30,90.4298
2013-03-28,92.2981
2013-02-28,92.2441
2013-01-31,87.5548
2012-12-31,82.8894
2012-11-30,81.8781
2012-10-31,81.6790
2012-09-28,79.9323
2012-08-31,81.8428
2012-07-31,82.8555
2012-06-29,82.6309
2012-05-31,81.4023
2012-04-30,81.1006
2012-03-30,81.1216
2012-02-29,78.8054
2012-01-31,76.6299
2011-12-30,72.5405
2011-11-30,71.4942
2011-10-31,70.4866
2011-09-30,70.0036
2011-08-31,78.1343
2011-07-29,83.6011
2011-06-30,86.6506
2011-05-31,86.1462
2011-04-29,86.0161
2011-03-31,84.3731
2011-02-28,83.0173
2011-01-31,83.0206
2010-12-31,82.6136
2010-11-30,80.1430
2010-10-29,77.4258
2010-09-30,75.3777
2010-08-31,73.5683
2010-07-30,75.3559
2010-06-30,75.1323
2010-05-28,82.0953
2010-04-30,83.9971
2010-03-31,82.3826
2010-02-26,77.4475
2010-01-29,74.9766
2009-12-31,74.7559
2009-11-30,70.9242
2009-10-30,64.3533
2009-09-30,61.4677
2009-08-31,55.5398
2009-07-31,50.7640
2009-06-30,44.4056
2009-05-29,42.7110
2009-04-30,40.8907
2009-03-31,38.5126
2009-02-27,42.6169
2009-01-30,50.2728
2008-12-31,57.6043
2008-11-28,61.0729
2008-10-31,62.8730
2008-09-30,69.1373
2008-08-29,70.6303
2008-07-31,71.0204
2008-06-30,74.3548
2008-05-30,79.6573
2008-04-30,80.1428
2008-03-31,78.6658
2008-02-29,78.7252
2008-01-31,81.9422
2007-12-31,83.9569
2007-11-30,89.6942
2007-10-31,92.9014
2007-09-28,94.8647
2007-08-31,96.9871
2007-07-31,97.2672
2007-06-29,97.0442
2007-05-31,96.5693
2007-04-30,95.5448
2007-03-30,97.6949
2007-02-28,99.6470
2007-01-31,98.4588
2006-12-29,98.8599
