,TEMA_monthly_10
2021-05-14,59.1902
2021-04-30,57.6643
2021-03-31,53.2797
2021-02-26,48.8530
2021-01-29,44.2887
2020-12-31,38.3730
2020-11-30,35.1991
2020-10-30,34.4264
2020-09-30,35.9901
2020-08-31,37.7525
2020-07-31,39.8578
2020-06-30,40.1071
2020-05-29,41.3724
2020-04-30,39.6958
2020-03-31,39.4105
2020-02-28,46.8119
2020-01-31,50.9830
2019-12-31,51.1756
2019-11-29,51.0717
2019-10-31,49.9001
2019-09-30,49.5692
2019-08-30,48.3993
2019-07-31,48.8568
2019-06-28,49.3983
2019-05-31,47.3048
2019-04-30,48.0101
2019-03-29,46.2058
2019-02-28,47.0943
2019-01-31,45.9633
2018-12-31,46.1581
2018-11-30,49.9846
2018-10-31,54.1191
2018-09-28,59.8873
2018-08-31,58.3178
2018-07-31,54.8527
2018-06-29,52.2221
2018-05-31,52.3496
2018-04-30,51.0207
2018-03-29,49.1060
2018-02-28,48.2827
2018-01-31,47.3768
2017-12-29,44.5191
2017-11-30,42.9921
2017-10-31,40.5440
2017-09-29,36.6981
2017-08-31,35.9587
2017-07-31,35.3652
2017-06-30,34.9409
2017-05-31,35.9226
2017-04-28,35.2144
2017-03-31,34.8894
2017-02-28,34.5802
2017-01-31,33.7343
2016-12-30,33.3369
2016-11-30,32.0999
2016-10-31,30.3626
2016-09-30,29.6968
2016-08-31,29.6166
2016-07-29,29.8291
2016-06-30,29.0794
2016-05-31,28.9564
2016-04-29,28.6181
2016-03-31,28.7545
2016-02-29,27.2245
2016-01-29,26.2122
2015-12-31,25.8972
2015-11-30,26.2109
2015-10-30,25.1897
2015-09-30,26.2372
2015-08-31,27.0395
2015-07-31,27.8829
2015-06-30,27.9020
2015-05-29,27.9504
2015-04-30,28.2280
2015-03-31,28.5302
2015-02-27,28.7677
2015-01-30,28.5323
2014-12-31,29.5515
2014-11-28,29.7742
2014-10-31,30.4517
2014-09-30,30.3909
2014-08-29,31.5986
2014-07-31,31.8180
2014-06-30,32.4183
2014-05-30,32.3013
2014-04-30,31.8809
2014-03-31,31.7030
2014-02-28,30.0978
2014-01-31,28.7187
2013-12-31,28.0950
2013-11-29,28.0404
2013-10-31,28.0960
2013-09-30,28.8053
2013-08-30,27.9216
2013-07-31,26.5162
2013-06-28,23.6318
2013-05-31,22.5813
2013-04-30,22.5280
2013-03-28,22.4622
2013-02-28,21.2781
2013-01-31,19.2959
2012-12-31,17.9553
2012-11-30,16.8950
2012-10-31,16.5618
2012-09-28,16.8048
2012-08-31,16.9660
2012-07-31,17.4449
2012-06-29,17.9489
2012-05-31,19.3975
2012-04-30,20.5760
2012-03-30,21.7946
2012-02-29,21.9962
2012-01-31,21.8721
2011-12-30,22.0752
2011-11-30,22.8765
2011-10-31,23.1010
2011-09-30,23.8919
2011-08-31,25.8707
2011-07-29,28.3409
2011-06-30,31.0575
2011-05-31,31.2940
2011-04-29,30.0724
2011-03-31,28.7170
2011-02-28,26.9674
2011-01-31,25.6646
2010-12-31,24.4731
2010-11-30,23.4590
2010-10-29,23.6963
2010-09-30,23.4621
2010-08-31,24.3858
2010-07-30,26.0970
2010-06-30,25.8632
2010-05-28,25.8592
2010-04-30,26.1473
2010-03-31,25.2831
2010-02-26,25.3575
2010-01-29,26.2036
2009-12-31,25.7517
2009-11-30,23.1696
2009-10-30,21.6858
2009-09-30,20.0409
2009-08-31,17.6023
2009-07-31,17.0454
2009-06-30,17.3131
2009-05-29,17.3030
2009-04-30,17.5896
2009-03-31,18.4382
2009-02-27,20.9447
2009-01-30,24.9034
2008-12-31,28.2195
2008-11-28,29.8333
2008-10-31,32.0211
2008-09-30,34.5308
2008-08-29,34.3943
2008-07-31,35.5862
2008-06-30,34.1658
2008-05-30,31.9278
2008-04-30,29.0857
2008-03-31,27.6955
2008-02-29,27.9688
2008-01-31,29.1486
2007-12-31,29.6006
2007-11-30,29.3991
2007-10-31,27.0159
2007-09-28,23.0361
2007-08-31,21.0423
2007-07-31,19.7298
2007-06-29,19.2766
2007-05-31,17.7062
2007-04-30,16.6920
2007-03-30,15.3446
2007-02-28,14.6799
2007-01-31,13.8955
2006-12-29,13.8033
2006-11-30,13.3420
2006-10-31,12.5001
2006-09-29,11.3047
2006-08-31,10.9300
2006-07-31,10.2309
2006-06-30,10.3100
2006-05-31,10.7771
2006-04-28,10.7027
2006-03-31,10.9590
2006-02-28,10.2117
2006-01-31,9.9061
2005-12-30,10.1413
2005-11-30,10.9497
2005-10-31,11.4707
2005-09-30,13.3890
2005-08-31,13.6974
2005-07-29,13.3302
2005-06-30,12.5881
2005-05-31,12.3703
2005-04-29,12.9226
2005-03-31,13.7717
2005-02-28,13.8922
2005-01-31,13.7246
2004-12-31,13.6276
2004-11-30,12.9886
2004-10-29,13.0499
2004-09-30,13.5057
2004-08-31,13.2924
2004-07-30,12.8702
2004-06-30,11.3528
2004-05-28,10.2801
2004-04-30,9.4410
2004-03-31,8.4746
2004-02-27,8.2629
2004-01-30,7.8511
2003-12-31,7.5181
2003-11-28,6.9368
2003-10-31,6.3401
2003-09-30,5.8902
2003-08-29,6.0728
2003-07-31,6.1709
2003-06-30,6.1934
2003-05-30,5.7570
2003-04-30,5.3205
2003-03-31,5.0210
2003-02-28,4.9114
2003-01-31,4.9752
2002-12-31,4.8765
2002-11-29,4.5701
2002-10-31,4.5005
2002-09-30,4.1175
2002-08-30,4.4568
2002-07-31,4.7393
2002-06-28,4.9287
2002-05-31,5.1089
2002-04-30,5.1782
2002-03-28,5.5595
