,TEMA_monthly_10
2022-04-04,166.8246
2022-03-31,175.6243
2022-02-28,188.3410
2022-01-31,199.5384
2021-12-31,215.3414
2021-11-30,215.8302
2021-10-29,213.2441
2021-09-30,203.6833
2021-08-31,204.1255
2021-07-30,199.3495
2021-06-30,193.4677
2021-05-28,188.6856
2021-04-30,177.2729
2021-03-31,164.5087
2021-02-26,155.5900
2021-01-29,142.6876
2020-12-31,135.9407
2020-11-30,124.0918
2020-10-30,117.6433
2020-09-30,110.0377
2020-08-31,110.0726
2020-07-31,107.3603
2020-06-30,103.4817
2020-05-29,102.1085
2020-04-30,98.6008
2020-03-31,96.0443
2020-02-28,107.0433
2020-01-31,111.0147
2019-12-31,109.7445
2019-11-29,103.3404
2019-10-31,98.6846
2019-09-30,94.0804
2019-08-30,93.8181
2019-07-31,98.0829
2019-06-28,97.9815
2019-05-31,99.0178
2019-04-30,100.8561
2019-03-29,97.7553
2019-02-28,96.5824
2019-01-31,91.8119
2018-12-31,90.2901
2018-11-30,94.6126
2018-10-31,92.9530
2018-09-28,95.8511
2018-08-31,96.9072
2018-07-31,94.7002
2018-06-29,93.1531
2018-05-31,92.2949
2018-04-30,89.1751
2018-03-29,89.0124
2018-02-28,89.1189
2018-01-31,89.2105
2017-12-29,91.5099
2017-11-30,96.8769
2017-10-31,98.8293
2017-09-29,100.2210
2017-08-31,97.4450
2017-07-31,97.8098
2017-06-30,95.8240
2017-05-31,92.7531
2017-04-28,93.0271
2017-03-31,92.7685
2017-02-28,91.1426
2017-01-31,88.2318
2016-12-30,83.1359
2016-11-30,76.7419
2016-10-31,73.6478
2016-09-30,73.6885
2016-08-31,71.8887
2016-07-29,69.1115
2016-06-30,68.2457
2016-05-31,67.9780
2016-04-29,65.8432
2016-03-31,63.8821
2016-02-29,63.3263
2016-01-29,65.6452
2015-12-31,64.7190
2015-11-30,64.4734
2015-10-30,62.0844
2015-09-30,60.6247
2015-08-31,59.9972
2015-07-31,60.4398
2015-06-30,58.6368
2015-05-29,56.3394
2015-04-30,54.3465
2015-03-31,52.6961
2015-02-27,50.9966
2015-01-30,48.4602
2014-12-31,48.5458
2014-11-28,47.9640
2014-10-31,47.4504
2014-09-30,47.0510
2014-08-29,47.5143
2014-07-31,48.4614
2014-06-30,51.1541
2014-05-30,49.8452
2014-04-30,50.3507
2014-03-31,50.9593
2014-02-28,49.6745
2014-01-31,48.8014
2013-12-31,49.4159
2013-11-29,47.7023
2013-10-31,45.6601
2013-09-30,42.3922
2013-08-30,40.2011
2013-07-31,38.2559
2013-06-28,35.9208
2013-05-31,35.3836
2013-04-30,35.3155
