,TEMA_monthly_10
2020-04-23,0.5329
2020-03-31,0.6513
2020-02-28,0.7627
2020-01-31,0.8382
2019-12-31,0.9643
2019-11-29,0.9497
2019-10-31,1.1033
2019-09-30,1.2086
2019-08-30,1.4338
2019-07-31,1.8550
2019-06-28,2.1723
2019-05-31,2.3978
2019-04-30,2.6929
2019-03-29,2.5344
2019-02-28,2.9456
2019-01-31,2.9208
2018-12-31,3.6779
2018-11-30,4.6318
2018-10-31,5.3280
2018-09-28,5.6107
2018-08-31,5.0029
2018-07-31,5.1038
2018-06-29,5.4017
2018-05-31,5.9339
2018-04-30,5.5451
2018-03-29,4.6497
2018-02-28,4.2466
2018-01-31,4.3096
2017-12-29,4.0875
2017-11-30,5.2487
2017-10-31,6.7469
2017-09-29,7.3243
2017-08-31,9.0667
2017-07-31,11.6960
2017-06-30,15.2331
2017-05-31,19.9558
2017-04-28,26.6295
2017-03-31,32.1280
2017-02-28,38.5011
2017-01-31,42.4558
2016-12-30,43.9574
2016-11-30,47.4262
2016-10-31,51.4662
2016-09-30,54.6226
2016-08-31,58.2675
2016-07-29,60.9658
2016-06-30,60.1586
2016-05-31,61.0002
2016-04-29,61.2354
2016-03-31,58.5032
2016-02-29,54.2571
2016-01-29,50.3658
2015-12-31,51.4253
2015-11-30,52.3537
2015-10-30,52.4269
2015-09-30,51.7339
2015-08-31,53.9680
2015-07-31,55.9544
2015-06-30,61.7387
2015-05-29,68.7636
2015-04-30,77.6379
2015-03-31,79.0292
2015-02-27,79.3375
2015-01-30,73.5238
2014-12-31,73.4802
2014-11-28,73.3332
2014-10-31,70.7552
2014-09-30,70.0419
2014-08-29,68.7224
2014-07-31,65.0716
2014-06-30,60.8657
2014-05-30,59.1033
2014-04-30,57.1322
2014-03-31,52.7767
2014-02-28,47.6952
2014-01-31,46.1973
2013-12-31,45.1200
2013-11-29,43.5939
2013-10-31,41.7024
2013-09-30,40.5959
2013-08-30,40.3517
2013-07-31,39.6022
2013-06-28,38.3090
2013-05-31,38.3179
2013-04-30,38.3714
2013-03-28,38.3720
2013-02-28,39.4308
2013-01-31,40.6809
2012-12-31,39.9228
2012-11-30,40.5209
2012-10-31,38.8106
2012-09-28,36.7857
2012-08-31,32.8214
2012-07-31,29.5171
2012-06-29,29.0183
2012-05-31,29.2368
2012-04-30,31.1879
2012-03-30,32.9829
2012-02-29,35.3359
2012-01-31,37.6346
2011-12-30,43.1238
2011-11-30,46.8969
2011-10-31,50.7472
2011-09-30,53.8521
2011-08-31,59.4098
2011-07-29,61.4508
2011-06-30,64.4501
2011-05-31,65.8082
2011-04-29,64.6967
2011-03-31,65.7972
2011-02-28,67.4598
2011-01-31,69.2530
2010-12-31,68.2045
2010-11-30,63.5345
2010-10-29,60.3051
2010-09-30,56.8208
2010-08-31,54.4172
2010-07-30,53.7262
2010-06-30,53.0026
2010-05-28,54.2881
2010-04-30,53.2494
2010-03-31,51.5185
2010-02-26,51.1951
2010-01-29,50.1809
2009-12-31,49.3712
2009-11-30,47.2214
2009-10-30,44.6362
2009-09-30,43.9763
2009-08-31,41.5254
2009-07-31,40.9539
2009-06-30,40.7886
2009-05-29,40.2386
2009-04-30,40.1811
2009-03-31,41.1379
2009-02-27,42.6631
2009-01-30,46.3793
2008-12-31,48.7451
2008-11-28,50.1584
2008-10-31,53.6153
2008-09-30,63.0531
2008-08-29,62.6480
2008-07-31,59.0727
2008-06-30,57.5822
2008-05-30,56.3772
2008-04-30,54.6007
2008-03-31,55.6454
2008-02-29,58.3511
2008-01-31,62.6331
2007-12-31,66.6488
2007-11-30,68.3471
2007-10-31,70.9366
2007-09-28,74.1611
2007-08-31,74.9058
2007-07-31,76.0968
2007-06-29,77.9427
2007-05-31,77.6129
2007-04-30,75.7560
2007-03-30,73.6668
2007-02-28,72.3725
2007-01-31,70.7041
2006-12-29,69.3087
2006-11-30,67.9723
2006-10-31,67.2326
2006-09-29,64.3858
2006-08-31,61.9985
2006-07-31,59.9604
2006-06-30,59.8798
2006-05-31,59.0150
2006-04-28,59.6146
2006-03-31,58.5981
2006-02-28,57.0736
2006-01-31,55.3127
2005-12-30,55.9666
2005-11-30,57.0537
2005-10-31,56.9338
2005-09-30,59.1208
2005-08-31,58.3675
2005-07-29,57.6143
2005-06-30,57.8376
2005-05-31,57.1754
2005-04-29,56.2118
2005-03-31,57.1799
2005-02-28,57.8979
2005-01-31,58.3312
2004-12-31,58.2892
2004-11-30,57.0951
2004-10-29,54.3087
2004-09-30,52.3830
2004-08-31,49.3269
2004-07-30,46.7016
2004-06-30,43.9472
2004-05-28,45.1002
2004-04-30,45.3013
2004-03-31,44.6736
2004-02-27,43.8344
2004-01-30,41.9066
2003-12-31,42.2966
2003-11-28,41.1583
2003-10-31,42.9549
2003-09-30,41.7696
2003-08-29,42.7053
2003-07-31,43.4321
2003-06-30,43.2057
2003-05-30,40.1943
2003-04-30,36.8346
2003-03-31,34.9203
2003-02-28,34.1667
2003-01-31,33.3440
2002-12-31,32.0918
2002-11-29,28.4465
2002-10-31,24.7146
2002-09-30,22.9326
2002-08-30,24.1058
2002-07-31,24.8578
2002-06-28,30.4749
2002-05-31,32.2890
2002-04-30,32.6977
2002-03-28,33.7338
