,TEMA_monthly_10
2022-04-04,321.0485
2022-03-31,336.6969
2022-02-28,363.8554
2022-01-31,393.2101
2021-12-31,400.6267
2021-11-30,377.2791
2021-10-29,351.4056
2021-09-30,330.7091
2021-08-31,327.6700
2021-07-30,324.3361
2021-06-30,316.6918
2021-05-28,310.1475
2021-04-30,300.2013
2021-03-31,281.1493
2021-02-26,264.2006
2021-01-29,270.3694
2020-12-31,270.5594
2020-11-30,273.2870
2020-10-30,269.5005
2020-09-30,269.6349
2020-08-31,261.3716
2020-07-31,244.1190
2020-06-30,230.2871
2020-05-29,218.8420
2020-04-30,203.7893
2020-03-31,199.8370
2020-02-28,215.1949
2020-01-31,218.5036
2019-12-31,216.2829
2019-11-29,218.5563
2019-10-31,220.6671
2019-09-30,213.9734
2019-08-30,204.8500
2019-07-31,194.1421
2019-06-28,186.7683
2019-05-31,179.1355
2019-04-30,179.8762
2019-03-29,172.1318
2019-02-28,168.0291
2019-01-31,167.1114
2018-12-31,166.8494
2018-11-30,173.7920
2018-10-31,178.6703
2018-09-28,188.9439
2018-08-31,184.2579
2018-07-31,180.6698
2018-06-29,177.4117
2018-05-31,173.5165
2018-04-30,172.4538
2018-03-29,171.9812
2018-02-28,174.6013
2018-01-31,175.8105
2017-12-29,165.3538
2017-11-30,155.9902
2017-10-31,147.4029
2017-09-29,143.2392
2017-08-31,138.0079
2017-07-31,138.1860
2017-06-30,138.7512
2017-05-31,136.8518
2017-04-28,133.5145
2017-03-31,127.1468
2017-02-28,122.9546
2017-01-31,118.2054
2016-12-30,115.4045
2016-11-30,113.2748
2016-10-31,112.8766
2016-09-30,117.0105
2016-08-31,119.0317
2016-07-29,118.5711
2016-06-30,115.6153
2016-05-31,117.1886
2016-04-29,116.6034
2016-03-31,114.7631
2016-02-29,111.9680
2016-01-29,113.3260
2015-12-31,113.9676
2015-11-30,110.6704
2015-10-30,104.7407
2015-09-30,101.5334
2015-08-31,101.1774
2015-07-31,100.0863
2015-06-30,97.7744
2015-05-29,97.3777
2015-04-30,96.5539
2015-03-31,97.4237
2015-02-27,94.3989
2015-01-30,89.1161
2014-12-31,86.7497
2014-11-28,82.5310
2014-10-31,79.3838
2014-09-30,75.4971
2014-08-29,72.7902
2014-07-31,67.8887
2014-06-30,67.6829
2014-05-30,67.2343
2014-04-30,67.1553
2014-03-31,67.3370
2014-02-28,67.6875
2014-01-31,66.6873
2013-12-31,67.9224
2013-11-29,66.4735
2013-10-31,65.2641
2013-09-30,64.7953
2013-08-30,64.9882
2013-07-31,65.9528
2013-06-28,64.5262
2013-05-31,62.9123
2013-04-30,59.7270
2013-03-28,57.5996
2013-02-28,56.0972
2013-01-31,54.4696
2012-12-31,52.6142
2012-11-30,52.3280
2012-10-31,49.8194
2012-09-28,47.9636
2012-08-31,45.4746
2012-07-31,43.4949
2012-06-29,42.9447
2012-05-31,41.4345
2012-04-30,40.9159
2012-03-30,38.7215
2012-02-29,36.0329
2012-01-31,33.4947
2011-12-30,31.2939
2011-11-30,29.1946
2011-10-31,27.5419
2011-09-30,27.0470
2011-08-31,27.8564
2011-07-29,28.7473
2011-06-30,29.3132
2011-05-31,29.3786
2011-04-29,29.4699
2011-03-31,29.0251
2011-02-28,28.2844
2011-01-31,26.9824
2010-12-31,25.3185
2010-11-30,23.6772
2010-10-29,23.7284
2010-09-30,23.5314
2010-08-31,22.8007
2010-07-30,23.6750
2010-06-30,24.6767
2010-05-28,26.2820
2010-04-30,25.6731
2010-03-31,23.9280
2010-02-26,22.6839
2010-01-29,21.4438
2009-12-31,21.1343
2009-11-30,20.1392
2009-10-30,19.6240
2009-09-30,19.8288
2009-08-31,19.3015
2009-07-31,18.2649
2009-06-30,17.3786
2009-05-29,17.2118
2009-04-30,17.3114
2009-03-31,15.9261
2009-02-27,15.2858
2009-01-30,15.8441
2008-12-31,16.4371
2008-11-28,16.6654
2008-10-31,17.1496
2008-09-30,17.7093
2008-08-29,17.5062
2008-07-31,16.8095
2008-06-30,17.4613
2008-05-30,18.7341
2008-04-30,18.9472
2008-03-31,18.6887
2008-02-29,18.8231
2008-01-31,19.9327
2007-12-31,19.7865
2007-11-30,21.4375
2007-10-31,23.2285
2007-09-28,24.6877
2007-08-31,26.4471
2007-07-31,26.3196
2007-06-29,26.7611
2007-05-31,26.3906
2007-04-30,26.1553
2007-03-30,26.2581
2007-02-28,26.9149
2007-01-31,26.6558
2006-12-29,25.7254
2006-11-30,24.6152
2006-10-31,24.0033
2006-09-29,23.5469
2006-08-31,23.4254
2006-07-31,24.2907
2006-06-30,25.4468
2006-05-31,26.7088
2006-04-28,27.6012
2006-03-31,28.0904
2006-02-28,27.7173
2006-01-31,27.2741
2005-12-30,27.3140
2005-11-30,27.3796
2005-10-31,26.8665
2005-09-30,26.4631
2005-08-31,27.1456
2005-07-29,27.1477
2005-06-30,25.7407
2005-05-31,25.7060
2005-04-29,25.4925
2005-03-31,26.9359
2005-02-28,27.7471
2005-01-31,28.1211
2004-12-31,28.0250
2004-11-30,27.1192
2004-10-29,26.1222
2004-09-30,24.9030
2004-08-31,23.8769
2004-07-30,23.4932
2004-06-30,24.1851
2004-05-28,24.5032
2004-04-30,24.6252
2004-03-31,25.0452
2004-02-27,24.6115
2004-01-30,24.3617
2003-12-31,24.2561
2003-11-28,23.9788
2003-10-31,22.9293
2003-09-30,21.1500
2003-08-29,20.7530
2003-07-31,20.0184
2003-06-30,19.3297
2003-05-30,17.4759
2003-04-30,15.1009
2003-03-31,13.6352
2003-02-28,13.3181
2003-01-31,13.5171
2002-12-31,15.1863
2002-11-29,16.5507
2002-10-31,17.8068
2002-09-30,18.8318
2002-08-30,21.7931
2002-07-31,23.4170
2002-06-28,26.8638
2002-05-31,29.5038
2002-04-30,31.2949
2002-03-28,31.8854
