,TEMA_monthly_10
2022-04-04,154.9292
2022-03-31,153.6855
2022-02-28,151.6490
2022-01-31,149.9346
2021-12-31,149.2337
2021-11-30,140.1976
2021-10-29,140.2381
2021-09-30,133.7049
2021-08-31,131.3947
2021-07-30,132.2358
2021-06-30,128.3883
2021-05-28,129.2629
2021-04-30,126.6622
2021-03-31,119.7269
2021-02-26,113.9780
2021-01-29,103.0324
2020-12-31,101.3729
2020-11-30,91.9633
2020-10-30,83.0295
2020-09-30,80.5038
2020-08-31,78.6235
2020-07-31,72.7517
2020-06-30,74.7664
2020-05-29,79.2582
2020-04-30,82.3444
2020-03-31,89.6120
2020-02-28,105.4371
2020-01-31,109.1278
2019-12-31,107.1270
2019-11-29,101.6139
2019-10-31,97.0237
2019-09-30,95.3900
2019-08-30,95.2270
2019-07-31,95.1256
2019-06-28,91.9004
2019-05-31,86.0015
2019-04-30,82.5862
2019-03-29,79.1112
2019-02-28,76.4806
2019-01-31,72.5947
2018-12-31,72.7597
2018-11-30,74.8687
2018-10-31,75.5395
2018-09-28,79.5286
2018-08-31,78.9541
2018-07-31,80.0753
2018-06-29,80.9699
2018-05-31,81.7287
2018-04-30,81.5363
2018-03-29,82.2498
2018-02-28,82.9557
2018-01-31,82.2861
2017-12-29,77.5892
2017-11-30,74.0146
2017-10-31,69.8494
2017-09-29,66.9344
2017-08-31,64.1957
2017-07-31,63.2581
2017-06-30,62.8926
2017-05-31,62.5139
2017-04-28,58.6279
2017-03-31,57.6594
2017-02-28,56.3302
2017-01-31,55.0682
2016-12-30,52.7489
2016-11-30,49.2918
2016-10-31,47.0327
2016-09-30,47.1577
2016-08-31,46.8613
2016-07-29,45.1178
2016-06-30,43.5996
2016-05-31,42.3441
2016-04-29,43.0123
