,TEMA_monthly_10
2022-04-04,50.5906
2022-03-31,48.9327
2022-02-28,46.4995
2022-01-31,45.4773
2021-12-31,44.0740
2021-11-30,41.3142
2021-10-29,42.2760
2021-09-30,43.1838
2021-08-31,45.6371
2021-07-30,46.2804
2021-06-30,46.6774
2021-05-28,46.5105
2021-04-30,45.7377
2021-03-31,46.1446
2021-02-26,45.8708
2021-01-29,46.3906
2020-12-31,46.8226
2020-11-30,47.7537
2020-10-30,48.6895
2020-09-30,48.9833
2020-08-31,49.3046
2020-07-31,48.2698
2020-06-30,46.6726
2020-05-29,46.0182
2020-04-30,44.5730
2020-03-31,43.6209
2020-02-28,42.4181
2020-01-31,43.8130
2019-12-31,42.1409
2019-11-29,41.1281
2019-10-31,39.9509
2019-09-30,40.5054
2019-08-30,39.6084
2019-07-31,38.9646
2019-06-28,39.0233
2019-05-31,39.5006
2019-04-30,40.8208
2019-03-29,42.3909
2019-02-28,41.6588
2019-01-31,41.3050
2018-12-31,41.2726
2018-11-30,40.9475
2018-10-31,38.7678
2018-09-28,36.3015
2018-08-31,35.3160
2018-07-31,33.9302
2018-06-29,33.8034
2018-05-31,32.8992
2018-04-30,32.3393
2018-03-29,31.2603
2018-02-28,30.9725
2018-01-31,31.6970
2017-12-29,31.6008
2017-11-30,30.3011
2017-10-31,28.3727
2017-09-29,28.8477
2017-08-31,29.1370
2017-07-31,30.4954
2017-06-30,30.4628
2017-05-31,30.6146
2017-04-28,31.1860
2017-03-31,31.1976
2017-02-28,31.6403
2017-01-31,31.9602
2016-12-30,31.8334
2016-11-30,32.6815
2016-10-31,34.2876
2016-09-30,34.0696
2016-08-31,34.1406
2016-07-29,34.0020
2016-06-30,34.2887
2016-05-31,35.1733
2016-04-29,37.6679
2016-03-31,38.6825
2016-02-29,37.2250
2016-01-29,35.2558
2015-12-31,33.4891
2015-11-30,31.1576
2015-10-30,28.7826
2015-09-30,27.3379
2015-08-31,26.4395
2015-07-31,25.6868
2015-06-30,25.0657
2015-05-29,24.9964
2015-04-30,24.5796
2015-03-31,24.7411
2015-02-27,24.2414
2015-01-30,22.9460
2014-12-31,23.1118
2014-11-28,23.1131
2014-10-31,22.7603
2014-09-30,21.9289
2014-08-29,21.4365
2014-07-31,20.8643
2014-06-30,21.5426
2014-05-30,21.3503
2014-04-30,21.0317
2014-03-31,20.9213
2014-02-28,20.2778
2014-01-31,19.7708
2013-12-31,19.5230
2013-11-29,19.2111
2013-10-31,18.7116
2013-09-30,18.3405
2013-08-30,18.1423
2013-07-31,17.9604
2013-06-28,17.3387
2013-05-31,17.4512
2013-04-30,17.1648
2013-03-28,16.2261
2013-02-28,14.7842
2013-01-31,13.6979
2012-12-31,12.8473
2012-11-30,12.5763
2012-10-31,12.2202
2012-09-28,12.1056
2012-08-31,12.0574
2012-07-31,12.1295
2012-06-29,12.4566
2012-05-31,12.2669
2012-04-30,12.1152
2012-03-30,12.1157
2012-02-29,12.0177
2012-01-31,12.1486
2011-12-30,12.2351
2011-11-30,12.2356
2011-10-31,11.9792
2011-09-30,11.7473
2011-08-31,12.0833
2011-07-29,12.3748
2011-06-30,12.3753
2011-05-31,12.1153
2011-04-29,11.7952
2011-03-31,11.2345
2011-02-28,10.8096
2011-01-31,10.2473
2010-12-31,10.1038
2010-11-30,9.6273
2010-10-29,9.1782
2010-09-30,8.9094
2010-08-31,8.6901
2010-07-30,8.5345
2010-06-30,8.3102
2010-05-28,8.3110
2010-04-30,8.3769
2010-03-31,8.3144
2010-02-26,8.0497
2010-01-29,7.7487
2009-12-31,7.6000
2009-11-30,7.4179
2009-10-30,7.2509
2009-09-30,7.1258
2009-08-31,7.0726
2009-07-31,6.7887
2009-06-30,6.4957
2009-05-29,6.2649
2009-04-30,5.9020
2009-03-31,5.8325
2009-02-27,5.7188
2009-01-30,5.5606
2008-12-31,5.6200
2008-11-28,5.6053
2008-10-31,6.2070
2008-09-30,6.9012
2008-08-29,6.9249
2008-07-31,7.0490
2008-06-30,7.1733
2008-05-30,7.5831
2008-04-30,7.7728
2008-03-31,7.8301
2008-02-29,7.6327
2008-01-31,7.4276
2007-12-31,7.3827
2007-11-30,7.1071
2007-10-31,6.7874
2007-09-28,6.7325
2007-08-31,6.7628
2007-07-31,6.8298
2007-06-29,7.0827
2007-05-31,7.0997
2007-04-30,7.1045
2007-03-30,7.0223
2007-02-28,7.0244
2007-01-31,7.1053
2006-12-29,7.0345
2006-11-30,7.0052
2006-10-31,6.8798
2006-09-29,6.9017
2006-08-31,6.9514
2006-07-31,6.9215
2006-06-30,6.7214
2006-05-31,6.4978
2006-04-28,6.3048
2006-03-31,6.2991
2006-02-28,6.2647
2006-01-31,6.1224
2005-12-30,6.0114
2005-11-30,5.9582
2005-10-31,5.8548
2005-09-30,5.8158
2005-08-31,5.6197
2005-07-29,5.4600
2005-06-30,5.5017
2005-05-31,5.6101
2005-04-29,5.7279
2005-03-31,5.7056
2005-02-28,5.6806
2005-01-31,5.6253
2004-12-31,5.4874
2004-11-30,5.3065
2004-10-29,5.1205
2004-09-30,5.1432
2004-08-31,5.3443
2004-07-30,5.6374
2004-06-30,5.6881
2004-05-28,5.5782
2004-04-30,5.3694
2004-03-31,5.1258
2004-02-27,4.8959
2004-01-30,4.7299
2003-12-31,4.5582
2003-11-28,4.4436
2003-10-31,4.1447
2003-09-30,3.9515
2003-08-29,3.8829
2003-07-31,3.9482
2003-06-30,4.0254
2003-05-30,3.9255
2003-04-30,3.8049
2003-03-31,3.6917
2003-02-28,3.7642
2003-01-31,3.9002
2002-12-31,3.9328
2002-11-29,3.9049
2002-10-31,3.9865
2002-09-30,3.8987
2002-08-30,4.0601
2002-07-31,4.1943
2002-06-28,4.3023
2002-05-31,4.4372
2002-04-30,4.5768
2002-03-28,4.7385
