,TEMA_monthly_10
2022-04-04,129.4811
2022-03-31,128.3768
2022-02-28,126.8041
2022-01-31,129.4089
2021-12-31,126.7789
2021-11-30,122.7173
2021-10-29,127.6103
2021-09-30,134.0508
2021-08-31,134.5542
2021-07-30,133.9538
2021-06-30,133.1797
2021-05-28,128.0321
2021-04-30,121.7306
2021-03-31,114.2228
2021-02-26,108.2413
2021-01-29,108.1376
2020-12-31,108.8463
2020-11-30,105.8361
2020-10-30,102.9067
2020-09-30,106.8200
2020-08-31,106.7765
2020-07-31,105.8619
2020-06-30,105.8291
2020-05-29,107.2291
2020-04-30,107.0476
2020-03-31,107.5553
2020-02-28,116.9193
2020-01-31,119.6010
2019-12-31,116.4561
2019-11-29,117.2676
2019-10-31,118.1256
2019-09-30,120.5436
2019-08-30,117.2969
2019-07-31,117.9174
2019-06-28,112.4352
2019-05-31,110.0535
2019-04-30,112.6261
2019-03-29,109.8930
2019-02-28,105.4274
2019-01-31,100.6366
2018-12-31,96.7993
2018-11-30,102.8987
2018-10-31,106.4858
2018-09-28,117.6610
2018-08-31,114.9329
2018-07-31,113.5319
2018-06-29,113.2664
2018-05-31,115.8084
2018-04-30,118.7998
2018-03-29,122.1308
2018-02-28,122.5172
2018-01-31,121.7288
2017-12-29,117.2119
2017-11-30,115.9328
2017-10-31,113.8370
2017-09-29,111.6373
2017-08-31,113.2414
2017-07-31,116.8611
2017-06-30,122.2428
2017-05-31,125.4715
2017-04-28,130.6974
2017-03-31,134.9696
2017-02-28,133.7897
2017-01-31,128.6665
2016-12-30,124.0497
2016-11-30,121.1643
2016-10-31,118.4926
2016-09-30,119.2490
2016-08-31,117.4919
2016-07-29,114.5920
2016-06-30,109.8973
2016-05-31,107.2002
2016-04-29,102.2098
2016-03-31,99.4629
2016-02-29,92.9300
2016-01-29,93.6709
2015-12-31,98.8796
2015-11-30,100.7418
2015-10-30,102.9844
2015-09-30,106.9497
2015-08-31,110.7375
2015-07-31,115.1308
2015-06-30,115.6144
2015-05-29,116.1170
2015-04-30,113.6569
2015-03-31,110.0705
2015-02-27,110.1921
2015-01-30,110.0707
2014-12-31,114.8787
2014-11-28,118.9760
2014-10-31,124.4669
2014-09-30,132.1664
2014-08-29,131.6404
2014-07-31,129.6410
2014-06-30,127.4796
2014-05-30,129.1196
2014-04-30,130.1006
2014-03-31,126.4464
2014-02-28,122.9461
2014-01-31,121.3147
2013-12-31,123.4809
2013-11-29,121.9169
2013-10-31,123.4831
2013-09-30,126.6955
2013-08-30,128.9147
2013-07-31,133.6476
2013-06-28,135.2909
2013-05-31,139.4453
2013-04-30,137.7651
2013-03-28,138.0274
2013-02-28,133.3937
2013-01-31,132.0800
2012-12-31,129.4591
2012-11-30,130.7446
2012-10-31,133.2500
2012-09-28,135.1910
2012-08-31,132.0718
2012-07-31,132.9060
2012-06-29,133.7677
2012-05-31,134.9119
2012-04-30,137.3992
2012-03-30,134.6446
2012-02-29,129.3761
2012-01-31,126.4373
2011-12-30,123.8449
2011-11-30,123.4594
2011-10-31,120.6322
2011-09-30,117.8405
2011-08-31,117.5881
2011-07-29,118.0469
2011-06-30,114.1813
2011-05-31,112.4650
2011-04-29,110.5482
2011-03-31,106.7866
2011-02-28,103.9933
2011-01-31,99.8979
2010-12-31,93.6440
2010-11-30,90.7012
2010-10-29,88.3853
2010-09-30,84.0818
2010-08-31,81.6649
2010-07-30,82.7445
2010-06-30,82.1963
2010-05-28,83.3428
2010-04-30,84.0600
2010-03-31,83.5417
2010-02-26,82.8142
2010-01-29,81.9067
2009-12-31,82.5230
2009-11-30,79.4510
2009-10-30,76.5261
2009-09-30,74.5958
2009-08-31,71.9159
2009-07-31,68.4167
2009-06-30,63.4139
2009-05-29,61.7245
2009-04-30,58.5119
2009-03-31,55.4572
2009-02-27,53.8715
2009-01-30,53.9209
2008-12-31,54.7459
2008-11-28,59.4928
2008-10-31,67.8755
2008-09-30,75.8344
2008-08-29,77.5235
2008-07-31,77.8478
2008-06-30,75.7136
2008-05-30,76.2579
2008-04-30,72.3217
2008-03-31,70.1477
2008-02-29,69.0951
2008-01-31,67.9494
2007-12-31,69.0932
2007-11-30,70.2160
2007-10-31,72.8473
2007-09-28,72.0985
2007-08-31,69.9614
2007-07-31,66.9306
2007-06-29,64.7947
2007-05-31,63.5755
2007-04-30,60.9701
2007-03-30,58.8541
2007-02-28,58.7659
2007-01-31,58.9659
2006-12-29,56.6361
2006-11-30,53.8139
2006-10-31,51.6277
2006-09-29,48.2759
2006-08-31,47.5145
2006-07-31,46.8119
2006-06-30,47.3851
2006-05-31,48.5122
2006-04-28,48.9606
2006-03-31,48.7738
2006-02-28,48.4642
2006-01-31,48.9267
