,TEMA_monthly_10
2022-04-04,303.0593
2022-03-31,307.3456
2022-02-28,314.0968
2022-01-31,331.4321
2021-12-31,360.3216
2021-11-30,351.0694
2021-10-29,359.0019
2021-09-30,343.9451
2021-08-31,339.4988
2021-07-30,317.5039
2021-06-30,296.9939
2021-05-28,281.1823
2021-04-30,273.8041
2021-03-31,256.6095
2021-02-26,258.3637
2021-01-29,260.3241
2020-12-31,259.4914
2020-11-30,241.1394
2020-10-30,233.4266
2020-09-30,234.1231
2020-08-31,224.5159
2020-07-31,204.5531
2020-06-30,184.6021
2020-05-29,180.7789
2020-04-30,172.8617
2020-03-31,176.7659
2020-02-28,186.1082
2020-01-31,191.0966
2019-12-31,192.3597
2019-11-29,186.8060
2019-10-31,177.8844
2019-09-30,173.4741
2019-08-30,169.8283
2019-07-31,170.8564
2019-06-28,170.5624
2019-05-31,169.0048
2019-04-30,179.9948
2019-03-29,185.6933
2019-02-28,180.2104
2019-01-31,176.7421
2018-12-31,176.4823
2018-11-30,185.4859
2018-10-31,186.3001
2018-09-28,188.5799
2018-08-31,178.9053
2018-07-31,166.5646
2018-06-29,158.8939
2018-05-31,153.2804
2018-04-30,148.3112
2018-03-29,144.3299
2018-02-28,143.8125
2018-01-31,139.0549
2017-12-29,129.9204
2017-11-30,130.4605
2017-10-31,122.5589
2017-09-29,115.4878
2017-08-31,110.2491
2017-07-31,104.8754
2017-06-30,101.2333
2017-05-31,95.4595
2017-04-28,87.9506
2017-03-31,82.3402
2017-02-28,78.9441
2017-01-31,75.9156
2016-12-30,74.5862
2016-11-30,76.8282
2016-10-31,79.2007
2016-09-30,80.2712
2016-08-31,77.5367
2016-07-29,75.9725
2016-06-30,72.5916
2016-05-31,69.8187
2016-04-29,67.4133
2016-03-31,64.2224
2016-02-29,61.1899
2016-01-29,59.3927
2015-12-31,58.2815
2015-11-30,56.1605
2015-10-30,54.9305
2015-09-30,54.8417
2015-08-31,57.4640
2015-07-31,57.4076
2015-06-30,55.5730
2015-05-29,56.4073
2015-04-30,57.2947
2015-03-31,57.8504
2015-02-27,57.8209
2015-01-30,57.9497
2014-12-31,58.3193
2014-11-28,56.0437
2014-10-31,53.2847
2014-09-30,50.6685
2014-08-29,49.2107
2014-07-31,46.3684
2014-06-30,43.0917
2014-05-30,41.7400
2014-04-30,43.0066
2014-03-31,45.5956
2014-02-28,43.8294
2014-01-31,40.8519
2013-12-31,39.4621
2013-11-29,39.4667
2013-10-31,40.3564
2013-09-30,42.4357
2013-08-30,45.4969
2013-07-31,49.5492
2013-06-28,55.6250
2013-05-31,55.8843
2013-04-30,56.9524
2013-03-28,58.9327
2013-02-28,61.8888
2013-01-31,60.0045
2012-12-31,57.0526
2012-11-30,58.8814
2012-10-31,58.6061
2012-09-28,57.0993
2012-08-31,58.2298
2012-07-31,60.0276
2012-06-29,63.2070
2012-05-31,62.1754
2012-04-30,62.5443
2012-03-30,58.5587
2012-02-29,54.9937
2012-01-31,51.6336
2011-12-30,50.2275
2011-11-30,47.6445
2011-10-31,45.7280
2011-09-30,42.7103
2011-08-31,43.2569
2011-07-29,42.6001
2011-06-30,40.0043
2011-05-31,38.1287
2011-04-29,36.9543
2011-03-31,35.0675
2011-02-28,33.4266
2011-01-31,31.3920
2010-12-31,28.7970
2010-11-30,29.9070
2010-10-29,31.4396
2010-09-30,33.5467
2010-08-31,35.0961
2010-07-30,38.6961
2010-06-30,39.1208
2010-05-28,40.4609
2010-04-30,41.6041
2010-03-31,40.1131
2010-02-26,38.4548
2010-01-29,35.7037
2009-12-31,32.7161
2009-11-30,29.8378
2009-10-30,27.0416
2009-09-30,25.2583
2009-08-31,21.2892
2009-07-31,18.3064
2009-06-30,13.5914
2009-05-29,11.5264
2009-04-30,9.7723
2009-03-31,7.9670
2009-02-27,9.3245
2009-01-30,12.0997
2008-12-31,15.7002
2008-11-28,19.6076
2008-10-31,25.2407
2008-09-30,30.7077
2008-08-29,33.7110
2008-07-31,34.0165
2008-06-30,33.1522
2008-05-30,34.8565
2008-04-30,35.3790
2008-03-31,36.2255
2008-02-29,34.5680
2008-01-31,34.9669
2007-12-31,37.2676
2007-11-30,35.0756
2007-10-31,31.0292
2007-09-28,24.7158
2007-08-31,22.3109
2007-07-31,19.1735
2007-06-29,15.0150
2007-05-31,14.2790
2007-04-30,13.2140
2007-03-30,12.1923
2007-02-28,11.2672
2007-01-31,10.6844
2006-12-29,10.7869
2006-11-30,11.1430
2006-10-31,11.2531
2006-09-29,11.6003
2006-08-31,11.6395
2006-07-31,12.5025
2006-06-30,13.6720
2006-05-31,13.8427
2006-04-28,14.2640
2006-03-31,13.5880
2006-02-28,13.1257
2006-01-31,14.3662
2005-12-30,12.5146
2005-11-30,11.1029
2005-10-31,9.2884
2005-09-30,8.2085
2005-08-31,7.6685
2005-07-29,6.7022
2005-06-30,5.5767
2005-05-31,5.5559
2005-04-29,5.2595
2005-03-31,5.2561
2005-02-28,5.0040
2005-01-31,4.4481
2004-12-31,4.1145
2004-11-30,3.5660
2004-10-29,3.0225
2004-09-30,2.6949
2004-08-31,2.5200
2004-07-30,2.2815
2004-06-30,2.0187
2004-05-28,1.9121
2004-04-30,1.9329
2004-03-31,1.9826
2004-02-27,1.9919
2004-01-30,1.9272
2003-12-31,1.8336
2003-11-28,1.7407
2003-10-31,1.7348
2003-09-30,1.7791
2003-08-29,1.6778
2003-07-31,1.6381
2003-06-30,1.5884
2003-05-30,1.5158
2003-04-30,1.2224
2003-03-31,1.1843
2003-02-28,1.0987
2003-01-31,1.3903
2002-12-31,1.4390
2002-11-29,1.5595
2002-10-31,1.5780
