,TEMA_monthly_10
2022-04-04,24.8351
2022-03-31,22.8479
2022-02-28,20.8553
2022-01-31,22.4588
2021-12-31,23.8309
2021-11-30,25.9273
2021-10-29,30.0857
2021-09-30,31.2072
2021-08-31,34.3314
2021-07-30,37.3697
2021-06-30,38.6315
2021-05-28,37.8828
2021-04-30,38.4597
2021-03-31,36.8517
2021-02-26,33.3198
2021-01-29,28.7450
2020-12-31,22.4600
2020-11-30,15.9685
2020-10-30,10.0647
2020-09-30,10.8772
2020-08-31,12.5877
2020-07-31,12.8066
2020-06-30,15.1061
2020-05-29,17.7437
2020-04-30,21.6284
2020-03-31,25.9613
2020-02-28,34.9062
2020-01-31,35.6413
2019-12-31,35.3580
2019-11-29,32.3444
2019-10-31,29.8682
2019-09-30,28.1855
2019-08-30,27.4936
2019-07-31,29.9248
2019-06-28,31.4903
2019-05-31,34.9888
2019-04-30,40.8391
2019-03-29,43.7629
2019-02-28,46.0895
2019-01-31,48.0210
2018-12-31,51.4449
2018-11-30,56.2981
2018-10-31,59.3098
2018-09-28,55.6260
2018-08-31,53.6233
2018-07-31,48.5303
2018-06-29,47.5695
2018-05-31,46.4225
2018-04-30,46.3303
2018-03-29,45.3651
2018-02-28,45.1678
2018-01-31,43.2192
2017-12-29,41.5154
2017-11-30,40.1762
2017-10-31,39.4160
2017-09-29,42.1117
2017-08-31,41.5556
2017-07-31,42.2799
2017-06-30,41.2085
2017-05-31,40.1067
2017-04-28,42.1668
2017-03-31,41.6127
2017-02-28,41.8533
2017-01-31,42.2057
2016-12-30,44.4258
2016-11-30,45.5095
2016-10-31,42.3706
2016-09-30,40.3057
2016-08-31,37.4679
2016-07-29,34.3570
2016-06-30,33.9676
2016-05-31,37.4100
2016-04-29,42.9039
2016-03-31,43.9173
2016-02-29,42.1819
2016-01-29,43.5680
2015-12-31,47.2316
2015-11-30,52.5107
2015-10-30,56.7387
2015-09-30,58.1742
2015-08-31,59.3214
2015-07-31,60.3645
2015-06-30,60.2208
2015-05-29,60.8867
2015-04-30,62.7379
2015-03-31,63.9413
2015-02-27,62.9711
2015-01-30,61.2296
2014-12-31,60.8250
2014-11-28,58.3046
2014-10-31,55.9523
2014-09-30,54.4285
2014-08-29,54.2266
2014-07-31,53.2953
2014-06-30,51.7640
2014-05-30,50.1937
2014-04-30,47.6859
2014-03-31,47.5822
2014-02-28,46.7500
2014-01-31,46.1269
2013-12-31,47.2160
2013-11-29,46.4957
2013-10-31,45.1329
2013-09-30,44.0985
2013-08-30,44.7060
2013-07-31,45.7709
2013-06-28,44.5860
2013-05-31,43.4046
2013-04-30,42.1581
2013-03-28,41.5483
2013-02-28,41.2976
2013-01-31,41.5504
2012-12-31,41.3631
2012-11-30,41.8973
2012-10-31,42.3052
2012-09-28,41.5913
2012-08-31,41.2282
2012-07-31,39.2602
2012-06-29,38.2593
2012-05-31,38.9442
2012-04-30,41.0257
2012-03-30,39.8658
2012-02-29,38.0816
2012-01-31,36.3775
2011-12-30,36.0047
2011-11-30,35.2121
2011-10-31,36.1516
2011-09-30,34.8913
2011-08-31,35.3937
2011-07-29,36.2350
2011-06-30,35.0228
2011-05-31,34.6516
2011-04-29,33.9950
2011-03-31,32.6248
2011-02-28,31.7489
2011-01-31,30.2427
2010-12-31,29.8681
2010-11-30,28.6111
2010-10-29,26.4484
2010-09-30,25.3535
2010-08-31,24.3311
2010-07-30,26.7818
2010-06-30,27.9732
2010-05-28,30.4511
2010-04-30,30.2913
2010-03-31,29.1237
2010-02-26,27.3727
2010-01-29,26.4075
2009-12-31,25.9559
2009-11-30,23.6035
2009-10-30,21.8738
2009-09-30,19.9979
2009-08-31,17.6694
2009-07-31,15.3210
2009-06-30,12.6535
2009-05-29,11.8353
2009-04-30,10.8131
2009-03-31,8.1509
2009-02-27,7.1914
2009-01-30,7.5989
2008-12-31,8.9622
2008-11-28,11.0222
2008-10-31,15.2650
2008-09-30,18.8275
2008-08-29,19.3781
2008-07-31,19.3264
2008-06-30,20.5720
2008-05-30,21.8842
2008-04-30,21.8794
2008-03-31,21.9999
2008-02-29,23.5626
2008-01-31,24.0644
2007-12-31,24.2440
2007-11-30,25.6464
2007-10-31,29.3062
2007-09-28,32.2297
2007-08-31,33.2447
2007-07-31,34.1754
2007-06-29,35.7712
2007-05-31,36.4356
2007-04-30,36.8932
2007-03-30,36.1096
2007-02-28,35.6190
2007-01-31,34.6566
2006-12-29,31.8707
2006-11-30,30.3915
2006-10-31,28.2005
2006-09-29,25.6413
2006-08-31,24.0353
2006-07-31,23.8290
2006-06-30,24.8995
2006-05-31,25.4723
2006-04-28,26.1024
2006-03-31,26.3232
2006-02-28,26.1545
2006-01-31,26.2824
2005-12-30,24.7375
2005-11-30,24.1982
2005-10-31,23.4850
2005-09-30,23.2927
2005-08-31,22.9929
2005-07-29,22.6990
2005-06-30,20.6314
2005-05-31,18.7398
2005-04-29,17.3331
2005-03-31,17.4064
2005-02-28,16.4257
2005-01-31,15.2356
2004-12-31,14.6234
2004-11-30,13.9831
2004-10-29,13.6246
2004-09-30,13.1913
2004-08-31,13.5623
2004-07-30,14.2780
2004-06-30,13.8122
2004-05-28,13.2999
2004-04-30,12.8846
2004-03-31,13.2430
2004-02-27,12.7344
2004-01-30,12.0187
2003-12-31,10.8299
2003-11-28,10.0369
2003-10-31,8.7325
2003-09-30,7.6164
2003-08-29,7.1342
2003-07-31,6.1251
2003-06-30,5.7015
2003-05-30,5.4200
2003-04-30,5.2051
2003-03-31,5.2119
2003-02-28,5.4871
2003-01-31,5.7458
2002-12-31,5.9517
2002-11-29,6.0753
2002-10-31,6.0546
2002-09-30,6.0756
2002-08-30,6.5321
2002-07-31,6.9186
2002-06-28,7.5887
2002-05-31,7.7714
2002-04-30,7.5937
2002-03-28,7.5491
