,TEMA_monthly_10
2022-04-04,64.4100
2022-03-31,63.2782
2022-02-28,60.7168
2022-01-31,59.0487
2021-12-31,57.5571
2021-11-30,56.4467
2021-10-29,57.5037
2021-09-30,57.1383
2021-08-31,57.7774
2021-07-30,57.1314
2021-06-30,57.3931
2021-05-28,56.7371
2021-04-30,52.9031
2021-03-31,48.7190
2021-02-26,45.2853
2021-01-29,42.3705
2020-12-31,39.6980
2020-11-30,35.9251
2020-10-30,32.5277
2020-09-30,32.5646
2020-08-31,32.8220
2020-07-31,32.7418
2020-06-30,32.6153
2020-05-29,34.1882
2020-04-30,37.5569
2020-03-31,41.9272
2020-02-28,48.4633
2020-01-31,51.0099
2019-12-31,50.9316
2019-11-29,50.0932
2019-10-31,49.8864
2019-09-30,50.8574
2019-08-30,50.6090
2019-07-31,52.4399
2019-06-28,51.4777
2019-05-31,49.2240
2019-04-30,48.0394
2019-03-29,46.3724
2019-02-28,46.1606
2019-01-31,46.1021
2018-12-31,45.9303
2018-11-30,47.3047
2018-10-31,47.6990
2018-09-28,49.3271
2018-08-31,49.3005
2018-07-31,49.1808
2018-06-29,48.7073
2018-05-31,49.6209
2018-04-30,50.5263
2018-03-29,49.4663
2018-02-28,49.6120
2018-01-31,49.9974
2017-12-29,48.9766
2017-11-30,48.4263
2017-10-31,47.3511
2017-09-29,46.5673
2017-08-31,46.4017
2017-07-31,46.9024
2017-06-30,46.2214
2017-05-31,46.3187
2017-04-28,46.1166
2017-03-31,46.0753
2017-02-28,45.7706
2017-01-31,45.0288
2016-12-30,44.0761
2016-11-30,42.3640
2016-10-31,41.1247
2016-09-30,40.2843
2016-08-31,40.1722
2016-07-29,39.4679
2016-06-30,38.7366
2016-05-31,37.7537
2016-04-29,36.6603
2016-03-31,35.5944
2016-02-29,34.9581
2016-01-29,35.2921
2015-12-31,35.4525
2015-11-30,34.8548
2015-10-30,34.3778
2015-09-30,34.7290
2015-08-31,35.5581
2015-07-31,36.6799
2015-06-30,37.3945
2015-05-29,38.2595
2015-04-30,38.5604
2015-03-31,38.1257
2015-02-27,38.0658
2015-01-30,37.9403
2014-12-31,39.6282
2014-11-28,39.7843
2014-10-31,40.3084
2014-09-30,39.9226
2014-08-29,40.6418
2014-07-31,40.4308
2014-06-30,41.2332
2014-05-30,41.2657
2014-04-30,41.9100
2014-03-31,42.3933
2014-02-28,43.0663
2014-01-31,44.4083
2013-12-31,45.6736
2013-11-29,45.1397
2013-10-31,44.8167
2013-09-30,43.6744
2013-08-30,42.8975
2013-07-31,43.1175
2013-06-28,42.7091
2013-05-31,42.7433
2013-04-30,41.8021
2013-03-28,41.0908
2013-02-28,40.3440
2013-01-31,39.8204
2012-12-31,38.8297
2012-11-30,38.9776
2012-10-31,39.0706
2012-09-28,38.3186
2012-08-31,37.8118
2012-07-31,37.4197
2012-06-29,37.5246
2012-05-31,36.8295
2012-04-30,37.0594
2012-03-30,36.0239
2012-02-29,35.2958
2012-01-31,34.7122
2011-12-30,35.0852
2011-11-30,35.4724
2011-10-31,35.5992
2011-09-30,35.0795
2011-08-31,37.5751
2011-07-29,39.3350
2011-06-30,40.5060
2011-05-31,40.7430
2011-04-29,41.0019
2011-03-31,39.8740
2011-02-28,38.7887
2011-01-31,36.9543
2010-12-31,36.1710
2010-11-30,35.6329
2010-10-29,35.6831
2010-09-30,34.4141
2010-08-31,33.4519
2010-07-30,33.6851
2010-06-30,32.7602
2010-05-28,33.7168
2010-04-30,35.5372
2010-03-31,35.2002
2010-02-26,34.5254
2010-01-29,33.8853
2009-12-31,33.2566
2009-11-30,31.8298
2009-10-30,30.1832
2009-09-30,29.1412
2009-08-31,26.8508
2009-07-31,23.5545
2009-06-30,21.3874
2009-05-29,20.0071
2009-04-30,18.4682
2009-03-31,17.9250
2009-02-27,19.2597
2009-01-30,23.0484
2008-12-31,26.2895
2008-11-28,29.0655
2008-10-31,33.9841
2008-09-30,37.9351
2008-08-29,40.0355
2008-07-31,40.7845
2008-06-30,41.2695
2008-05-30,40.5807
2008-04-30,37.9815
2008-03-31,38.8251
2008-02-29,41.3137
2008-01-31,44.0342
2007-12-31,45.2078
2007-11-30,44.5279
2007-10-31,44.9804
2007-09-28,44.7830
2007-08-31,44.8079
2007-07-31,45.5011
2007-06-29,46.1281
2007-05-31,44.6465
2007-04-30,42.1964
2007-03-30,40.6623
2007-02-28,39.3607
2007-01-31,38.4988
2006-12-29,37.0648
2006-11-30,36.0010
2006-10-31,35.2277
2006-09-29,34.5901
2006-08-31,34.1257
2006-07-31,32.9481
2006-06-30,31.9710
2006-05-31,31.3750
2006-04-28,31.2561
2006-03-31,30.1405
2006-02-28,29.3593
2006-01-31,29.8720
2005-12-30,29.2219
2005-11-30,28.8722
2005-10-31,27.8434
2005-09-30,26.9115
2005-08-31,25.4949
2005-07-29,24.2105
2005-06-30,23.0374
2005-05-31,22.4276
2005-04-29,21.8717
2005-03-31,21.8674
2005-02-28,21.2296
2005-01-31,20.6378
2004-12-31,20.3478
2004-11-30,19.3649
2004-10-29,17.9085
2004-09-30,17.7147
2004-08-31,17.6502
2004-07-30,17.8297
2004-06-30,18.0830
2004-05-28,17.7087
2004-04-30,17.5228
2004-03-31,17.1050
2004-02-27,16.1846
2004-01-30,14.5037
2003-12-31,13.3121
2003-11-28,12.3686
2003-10-31,12.3294
2003-09-30,12.2479
2003-08-29,12.6661
2003-07-31,13.1445
2003-06-30,12.9425
2003-05-30,12.4064
2003-04-30,11.4893
2003-03-31,11.5539
2003-02-28,11.9950
2003-01-31,11.9593
2002-12-31,11.9492
2002-11-29,11.9323
2002-10-31,12.7692
2002-09-30,13.5681
2002-08-30,14.8866
2002-07-31,15.0099
2002-06-28,16.1981
2002-05-31,16.9107
2002-04-30,17.1470
2002-03-28,16.9110
