,TEMA_monthly_10
2022-04-04,176.7947
2022-03-31,173.9835
2022-02-28,168.3739
2022-01-31,163.1765
2021-12-31,160.9201
2021-11-30,154.2196
2021-10-29,155.6129
2021-09-30,148.7284
2021-08-31,146.0204
2021-07-30,150.1571
2021-06-30,148.3315
2021-05-28,151.2145
2021-04-30,149.8466
2021-03-31,143.5556
2021-02-26,133.6445
2021-01-29,118.3391
2020-12-31,116.6021
2020-11-30,103.3031
2020-10-30,87.0997
2020-09-30,86.4030
2020-08-31,86.1970
2020-07-31,79.7175
2020-06-30,83.8854
2020-05-29,89.7547
2020-04-30,97.5025
2020-03-31,108.1220
2020-02-28,135.1349
2020-01-31,142.0327
2019-12-31,141.5162
2019-11-29,132.8229
2019-10-31,127.1839
2019-09-30,128.3100
2019-08-30,131.3345
2019-07-31,134.4929
2019-06-28,130.5882
2019-05-31,123.7947
2019-04-30,123.9071
2019-03-29,116.7136
2019-02-28,113.6755
2019-01-31,109.3031
2018-12-31,110.5275
2018-11-30,116.6097
2018-10-31,121.5626
2018-09-28,128.0043
2018-08-31,127.5175
2018-07-31,130.3018
2018-06-29,133.5477
2018-05-31,138.7535
2018-04-30,140.1281
2018-03-29,140.8209
2018-02-28,141.4295
2018-01-31,137.9309
2017-12-29,127.9852
2017-11-30,119.9467
2017-10-31,112.9759
2017-09-29,107.0979
2017-08-31,103.7985
2017-07-31,102.6797
2017-06-30,100.2470
2017-05-31,98.5398
2017-04-28,90.6601
2017-03-31,87.2510
2017-02-28,81.9230
2017-01-31,78.3202
2016-12-30,74.4316
2016-11-30,69.7105
2016-10-31,65.1399
2016-09-30,65.0300
2016-08-31,65.7656
2016-07-29,64.5062
2016-06-30,62.4606
2016-05-31,62.8747
2016-04-29,63.8611
2016-03-31,63.0442
2016-02-29,61.2783
2016-01-29,60.7756
2015-12-31,64.7347
2015-11-30,67.0804
2015-10-30,68.1748
2015-09-30,66.3026
2015-08-31,69.0025
2015-07-31,71.4525
2015-06-30,73.9288
2015-05-29,76.3054
2015-04-30,77.2990
2015-03-31,77.2968
2015-02-27,76.7385
2015-01-30,73.7588
2014-12-31,74.4257
2014-11-28,72.7394
2014-10-31,69.2860
2014-09-30,65.7410
2014-08-29,63.7146
2014-07-31,60.6184
2014-06-30,58.6899
2014-05-30,55.8445
2014-04-30,52.8352
2014-03-31,50.4947
2014-02-28,47.9457
2014-01-31,45.0546
2013-12-31,43.7402
2013-11-29,41.6057
2013-10-31,39.7629
2013-09-30,38.2485
2013-08-30,37.8042
