,TEMA_monthly_10
2016-11-09,3.0979
2016-10-31,2.9799
2016-09-30,2.8340
2016-08-31,2.5226
2016-07-29,2.0818
2016-06-30,2.2570
2016-05-31,2.6842
2016-04-29,3.2134
2016-03-31,3.6928
2016-02-29,4.4194
2016-01-29,5.7227
2015-12-31,6.3160
2015-11-30,6.6933
2015-10-30,6.7602
2015-09-30,6.9522
2015-08-31,7.1073
2015-07-31,6.7330
2015-06-30,6.2987
2015-05-29,5.9789
2015-04-30,5.8083
2015-03-31,5.6683
2015-02-27,5.1570
2015-01-30,4.1599
2014-12-31,4.4578
2014-11-28,4.6076
2014-10-31,5.0460
2014-09-30,6.0482
2014-08-29,6.4352
2014-07-31,6.8179
2014-06-30,6.8752
2014-05-30,6.9091
2014-04-30,7.5181
2014-03-31,7.5475
2014-02-28,7.1430
2014-01-31,6.1721
2013-12-31,5.9503
2013-11-29,4.9312
2013-10-31,4.4395
2013-09-30,4.6161
2013-08-30,4.8375
2013-07-31,5.1370
2013-06-28,4.7878
2013-05-31,4.8508
2013-04-30,4.5728
2013-03-28,4.9877
2013-02-28,5.1941
2013-01-31,5.5226
2012-12-31,5.6104
2012-11-30,5.9233
2012-10-31,6.5688
2012-09-28,7.0552
2012-08-31,7.0820
2012-07-31,7.4188
2012-06-29,7.7853
2012-05-31,7.6742
2012-04-30,7.3849
2012-03-30,7.0257
2012-02-29,5.8605
2012-01-31,6.1774
2011-12-30,6.6443
2011-11-30,7.0274
2011-10-31,8.1986
2011-09-30,8.8275
2011-08-31,11.3070
2011-07-29,13.5891
2011-06-30,15.5012
2011-05-31,16.4064
2011-04-29,17.2433
2011-03-31,17.8005
