,TEMA_monthly_10
2022-04-04,19.4708
2022-03-31,17.9975
2022-02-28,16.0676
2022-01-31,14.8216
2021-12-31,13.4331
2021-11-30,13.2957
2021-10-29,14.2153
2021-09-30,14.1604
2021-08-31,14.6639
2021-07-30,15.3328
2021-06-30,15.8399
2021-05-28,15.5135
2021-04-30,14.4330
2021-03-31,13.5735
2021-02-26,13.1046
2021-01-29,11.4992
2020-12-31,10.9877
2020-11-30,9.4197
2020-10-30,8.2248
2020-09-30,9.2215
2020-08-31,10.4554
2020-07-31,10.5223
2020-06-30,11.1688
2020-05-29,11.8682
2020-04-30,13.0036
2020-03-31,14.8163
2020-02-28,19.5832
2020-01-31,20.9233
2019-12-31,21.7529
2019-11-29,20.1502
2019-10-31,19.6308
2019-09-30,19.0227
2019-08-30,19.3104
2019-07-31,20.5463
2019-06-28,20.4223
2019-05-31,21.6000
2019-04-30,24.5972
2019-03-29,25.8298
2019-02-28,27.5924
2019-01-31,29.4966
2018-12-31,31.6551
2018-11-30,37.4934
2018-10-31,41.9840
2018-09-28,45.4505
2018-08-31,46.2548
2018-07-31,44.6116
2018-06-29,40.9341
2018-05-31,38.7452
2018-04-30,36.7176
2018-03-29,35.4406
2018-02-28,34.7205
2018-01-31,34.7781
2017-12-29,33.7951
2017-11-30,32.7659
2017-10-31,32.9087
2017-09-29,32.7263
2017-08-31,31.4907
2017-07-31,33.0543
2017-06-30,34.0765
2017-05-31,35.4490
2017-04-28,37.6573
2017-03-31,39.3377
2017-02-28,38.3596
2017-01-31,36.6089
2016-12-30,35.6258
2016-11-30,34.3518
2016-10-31,32.4980
2016-09-30,33.2207
2016-08-31,31.3147
2016-07-29,30.6906
2016-06-30,30.6630
2016-05-31,29.9367
2016-04-29,29.5462
2016-03-31,27.2301
2016-02-29,27.3473
2016-01-29,29.3721
2015-12-31,30.6856
2015-11-30,32.4392
2015-10-30,33.3007
2015-09-30,34.8426
2015-08-31,37.5854
2015-07-31,39.4675
2015-06-30,42.8280
2015-05-29,44.3993
2015-04-30,46.8638
2015-03-31,47.7067
2015-02-27,52.0920
2015-01-30,56.5414
2014-12-31,63.3146
2014-11-28,66.6479
2014-10-31,70.9188
2014-09-30,73.7043
2014-08-29,75.4889
2014-07-31,71.8620
2014-06-30,69.4959
2014-05-30,65.0063
2014-04-30,63.6570
2014-03-31,63.3762
2014-02-28,63.2250
2014-01-31,63.4864
2013-12-31,64.8368
2013-11-29,64.2266
2013-10-31,62.2265
2013-09-30,59.3024
2013-08-30,56.5537
2013-07-31,54.6612
2013-06-28,54.1186
