,TEMA_monthly_10
2022-04-04,45.1413
2022-03-31,44.4923
2022-02-28,44.2550
2022-01-31,45.2160
2021-12-31,49.3275
2021-11-30,49.8577
2021-10-29,51.0799
2021-09-30,48.0182
2021-08-31,47.0162
2021-07-30,44.4771
2021-06-30,45.3926
2021-05-28,46.9144
2021-04-30,49.5607
2021-03-31,51.5665
2021-02-26,50.8505
2021-01-29,49.1527
2020-12-31,47.4308
2020-11-30,43.2382
2020-10-30,42.7597
2020-09-30,44.0322
2020-08-31,43.6366
2020-07-31,42.4393
2020-06-30,38.5608
2020-05-29,35.4246
2020-04-30,32.5439
2020-03-31,32.6905
2020-02-28,34.0915
2020-01-31,31.6099
2019-12-31,31.5020
2019-11-29,31.2242
2019-10-31,30.7151
2019-09-30,30.8115
2019-08-30,32.5255
2019-07-31,34.4648
2019-06-28,32.8780
2019-05-31,32.4102
2019-04-30,32.0656
2019-03-29,30.4910
2019-02-28,28.2245
2019-01-31,24.7526
2018-12-31,24.2629
2018-11-30,25.7640
2018-10-31,24.9148
2018-09-28,23.8609
2018-08-31,24.3928
2018-07-31,24.9866
2018-06-29,24.7589
2018-05-31,23.5951
2018-04-30,23.8116
2018-03-29,23.5304
2018-02-28,22.5632
2018-01-31,20.9891
2017-12-29,19.0998
2017-11-30,19.3463
2017-10-31,19.4128
2017-09-29,19.1981
2017-08-31,18.4548
2017-07-31,17.8527
2017-06-30,16.6186
2017-05-31,15.5697
2017-04-28,14.0087
2017-03-31,13.7005
2017-02-28,13.2655
2017-01-31,12.5933
2016-12-30,12.1678
2016-11-30,11.6913
2016-10-31,11.1919
2016-09-30,11.8316
2016-08-31,12.1359
2016-07-29,11.9537
2016-06-30,11.6685
2016-05-31,11.8553
2016-04-29,12.1526
2016-03-31,12.1334
2016-02-29,12.3702
2016-01-29,12.6535
2015-12-31,12.6537
2015-11-30,12.5496
2015-10-30,11.9757
2015-09-30,11.6524
2015-08-31,12.1587
2015-07-31,12.6979
2015-06-30,12.8220
2015-05-29,12.7542
2015-04-30,12.4933
2015-03-31,12.4338
2015-02-27,12.1430
2015-01-30,11.5838
2014-12-31,11.6712
2014-11-28,11.4622
2014-10-31,11.5271
2014-09-30,11.5712
2014-08-29,12.7185
2014-07-31,13.6991
2014-06-30,15.0605
2014-05-30,15.3351
2014-04-30,15.8806
2014-03-31,15.8199
2014-02-28,14.9918
2014-01-31,14.0971
2013-12-31,14.0973
2013-11-29,12.9387
2013-10-31,12.3234
2013-09-30,11.4122
2013-08-30,10.8062
2013-07-31,10.7299
2013-06-28,9.9153
2013-05-31,9.3563
2013-04-30,8.7949
2013-03-28,8.9950
2013-02-28,8.6711
2013-01-31,8.2407
2012-12-31,8.0819
2012-11-30,8.0289
2012-10-31,8.1862
2012-09-28,8.3437
2012-08-31,7.5607
2012-07-31,6.7385
2012-06-29,6.4183
2012-05-31,5.9282
2012-04-30,5.9455
2012-03-30,6.2142
2012-02-29,6.3436
2012-01-31,6.6879
2011-12-30,6.6883
2011-11-30,6.5434
2011-10-31,6.6433
2011-09-30,6.6177
2011-08-31,7.7405
2011-07-29,7.9464
2011-06-30,8.0134
2011-05-31,8.0357
2011-04-29,8.5114
2011-03-31,9.1424
2011-02-28,9.2241
2011-01-31,8.7444
2010-12-31,8.2024
2010-11-30,7.5954
2010-10-29,7.2199
2010-09-30,7.5145
2010-08-31,7.9338
2010-07-30,8.9170
2010-06-30,9.3957
2010-05-28,10.1352
2010-04-30,10.7901
2010-03-31,11.2903
2010-02-26,11.1880
2010-01-29,11.0559
2009-12-31,9.5337
2009-11-30,7.5663
2009-10-30,7.0706
2009-09-30,6.6296
2009-08-31,5.9028
2009-07-31,5.1898
2009-06-30,4.0521
2009-05-29,3.9536
2009-04-30,3.2776
2009-03-31,3.2188
2009-02-27,3.8751
2009-01-30,5.3049
2008-12-31,7.1028
2008-11-28,8.4794
2008-10-31,10.5470
2008-09-30,12.2557
2008-08-29,12.2432
2008-07-31,13.1323
2008-06-30,14.9230
2008-05-30,15.9382
2008-04-30,16.2530
2008-03-31,15.6548
2008-02-29,15.2033
2008-01-31,14.7706
2007-12-31,15.4867
2007-11-30,16.1814
2007-10-31,17.9056
2007-09-28,18.8644
2007-08-31,20.1995
2007-07-31,20.8862
2007-06-29,21.5120
2007-05-31,20.9461
2007-04-30,20.2597
2007-03-30,20.3510
2007-02-28,20.4247
2007-01-31,19.8433
2006-12-29,20.0326
2006-11-30,19.6188
2006-10-31,19.1741
2006-09-29,18.6603
2006-08-31,18.6584
2006-07-31,19.0169
2006-06-30,19.9449
2006-05-31,20.0953
2006-04-28,20.6381
2006-03-31,21.2975
2006-02-28,22.0915
2006-01-31,21.7591
2005-12-30,21.4443
2005-11-30,22.1509
2005-10-31,22.7747
2005-09-30,24.0867
2005-08-31,24.7982
2005-07-29,24.8039
2005-06-30,25.2901
2005-05-31,26.3804
2005-04-29,28.0321
2005-03-31,29.6183
2005-02-28,30.3272
2005-01-31,31.4299
2004-12-31,32.0271
2004-11-30,31.9510
2004-10-29,31.8184
2004-09-30,32.3165
2004-08-31,33.6590
2004-07-30,34.8967
2004-06-30,36.3254
2004-05-28,36.7806
2004-04-30,36.4221
2004-03-31,36.4153
2004-02-27,37.2645
2004-01-30,37.7300
2003-12-31,36.8868
2003-11-28,36.0553
2003-10-31,35.8350
2003-09-30,34.7377
2003-08-29,35.3135
2003-07-31,35.7034
2003-06-30,36.2694
2003-05-30,36.6390
2003-04-30,35.9187
2003-03-31,35.7496
2003-02-28,37.2179
2003-01-31,37.6272
2002-12-31,37.0222
2002-11-29,37.7341
2002-10-31,37.5266
2002-09-30,37.0473
2002-08-30,37.8409
2002-07-31,38.0233
2002-06-28,39.2859
2002-05-31,37.7561
2002-04-30,36.0275
2002-03-28,35.3987
