,TEMA_monthly_10
2022-04-04,45.2608
2022-03-31,44.3830
2022-02-28,43.1645
2022-01-31,42.5235
2021-12-31,41.3655
2021-11-30,42.9189
2021-10-29,46.1242
2021-09-30,46.9434
2021-08-31,49.9750
2021-07-30,49.3717
2021-06-30,47.9409
2021-05-28,44.9279
2021-04-30,42.9132
2021-03-31,41.7353
2021-02-26,37.6597
2021-01-29,34.6337
2020-12-31,26.9065
2020-11-30,24.3137
2020-10-30,20.8444
2020-09-30,21.8720
2020-08-31,23.4220
2020-07-31,23.0446
2020-06-30,23.3274
2020-05-29,22.7460
2020-04-30,21.0584
2020-03-31,20.2557
2020-02-28,22.9860
2020-01-31,22.2519
2019-12-31,22.1893
2019-11-29,18.6689
2019-10-31,16.9548
2019-09-30,15.8694
2019-08-30,16.4638
2019-07-31,20.5925
2019-06-28,22.2336
2019-05-31,24.6579
2019-04-30,28.9537
2019-03-29,32.6188
2019-02-28,30.0823
2019-01-31,27.2756
2018-12-31,26.5637
2018-11-30,27.8636
2018-10-31,25.6806
2018-09-28,26.8653
2018-08-31,24.5926
2018-07-31,20.4861
2018-06-29,20.0532
2018-05-31,19.4782
2018-04-30,20.1795
2018-03-29,22.2000
2018-02-28,26.4304
2018-01-31,30.2090
2017-12-29,32.2671
2017-11-30,33.7632
2017-10-31,37.8138
2017-09-29,45.0733
2017-08-31,47.0181
2017-07-31,51.2402
2017-06-30,47.8824
2017-05-31,44.0896
2017-04-28,41.5429
2017-03-31,38.7139
2017-02-28,36.3840
2017-01-31,36.1294
2016-12-30,34.2297
2016-11-30,31.2310
2016-10-31,25.0783
2016-09-30,26.8658
2016-08-31,27.6223
2016-07-29,28.7421
2016-06-30,32.5306
2016-05-31,39.6716
2016-04-29,49.1678
2016-03-31,50.0401
2016-02-29,44.5348
2016-01-29,48.7931
2015-12-31,55.1456
2015-11-30,61.9900
2015-10-30,66.6977
2015-09-30,67.6591
2015-08-31,76.1155
2015-07-31,79.4981
2015-06-30,83.6869
2015-05-29,85.4275
2015-04-30,83.7201
2015-03-31,80.7483
2015-02-27,75.7257
2015-01-30,66.6180
2014-12-31,63.0209
2014-11-28,51.5182
2014-10-31,45.7290
2014-09-30,45.3711
2014-08-29,45.2321
2014-07-31,45.0544
2014-06-30,45.3365
2014-05-30,41.6478
2014-04-30,39.5111
2014-03-31,42.4076
2014-02-28,46.3714
2014-01-31,47.3288
2013-12-31,48.7120
2013-11-29,48.0702
2013-10-31,45.8798
2013-09-30,41.4238
2013-08-30,39.0404
2013-07-31,39.0457
2013-06-28,37.9774
2013-05-31,38.8373
2013-04-30,36.6295
2013-03-28,36.3071
2013-02-28,35.1116
2013-01-31,32.4541
2012-12-31,26.5167
2012-11-30,23.7945
2012-10-31,19.2707
2012-09-28,17.8448
2012-08-31,15.4270
2012-07-31,18.1401
2012-06-29,20.8813
2012-05-31,22.8535
2012-04-30,25.9422
2012-03-30,25.3404
2012-02-29,22.1407
2012-01-31,18.5027
2011-12-30,16.8167
2011-11-30,18.1657
2011-10-31,20.0284
2011-09-30,23.0062
2011-08-31,29.1813
2011-07-29,35.4378
2011-06-30,37.9258
2011-05-31,39.1412
2011-04-29,41.0978
2011-03-31,43.4625
2011-02-28,45.0839
2011-01-31,43.4613
2010-12-31,41.4378
2010-11-30,37.6628
2010-10-29,38.4577
2010-09-30,39.0328
2010-08-31,39.4755
2010-07-30,47.3534
2010-06-30,53.7047
2010-05-28,64.5975
2010-04-30,69.9186
2010-03-31,70.9256
2010-02-26,65.1317
2010-01-29,60.4197
2009-12-31,61.9553
2009-11-30,59.0985
2009-10-30,56.1317
2009-09-30,51.7726
2009-08-31,41.6096
2009-07-31,34.7233
2009-06-30,28.6411
2009-05-29,20.0219
2009-04-30,7.5043
2009-03-31,2.4715
2009-02-27,4.2229
2009-01-30,10.2253
2008-12-31,14.5982
2008-11-28,18.4520
2008-10-31,32.4734
2008-09-30,45.9789
2008-08-29,55.2269
2008-07-31,64.1275
2008-06-30,81.1544
2008-05-30,84.3881
2008-04-30,81.4725
2008-03-31,80.3723
2008-02-29,91.8289
2008-01-31,110.5165
2007-12-31,121.4737
2007-11-30,146.6949
2007-10-31,168.4380
2007-09-28,194.2642
2007-08-31,224.3354
2007-07-31,248.5861
2007-06-29,283.2379
2007-05-31,304.1341
2007-04-30,299.7911
2007-03-30,310.3802
2007-02-28,317.5490
2007-01-31,338.7898
2006-12-29,346.1242
2006-11-30,351.6677
2006-10-31,360.6490
2006-09-29,348.2715
2006-08-31,342.1220
2006-07-31,348.4563
2006-06-30,360.6708
2006-05-31,364.8892
2006-04-28,347.3770
2006-03-31,324.6502
2006-02-28,308.2920
2006-01-31,291.0563
2005-12-30,278.4049
2005-11-30,268.0378
2005-10-31,260.9009
2005-09-30,260.9933
2005-08-31,246.1949
2005-07-29,220.5422
2005-06-30,190.6213
2005-05-31,178.0336
2005-04-29,177.0853
2005-03-31,175.7940
2005-02-28,157.9075
2005-01-31,148.3565
2004-12-31,145.6527
2004-11-30,141.2245
2004-10-29,140.4042
2004-09-30,140.5414
2004-08-31,147.6523
2004-07-30,152.3138
2004-06-30,156.6615
2004-05-28,153.8259
2004-04-30,158.4551
2004-03-31,157.8617
2004-02-27,148.6944
2004-01-30,142.8829
2003-12-31,142.6606
2003-11-28,137.5326
2003-10-31,134.7624
2003-09-30,135.8701
2003-08-29,142.4028
2003-07-31,127.0370
2003-06-30,113.9127
