,TEMA_monthly_10
2022-04-04,137.0628
2022-03-31,131.8850
2022-02-28,125.5701
2022-01-31,127.3951
2021-12-31,130.3525
2021-11-30,121.9636
2021-10-29,120.4361
2021-09-30,114.8077
2021-08-31,113.4897
2021-07-30,109.5750
2021-06-30,103.6235
2021-05-28,99.0432
2021-04-30,95.8826
2021-03-31,93.6263
2021-02-26,89.5543
2021-01-29,87.7451
2020-12-31,87.1978
2020-11-30,82.6552
2020-10-30,75.7224
2020-09-30,72.4682
2020-08-31,69.6632
2020-07-31,67.7305
2020-06-30,67.9514
2020-05-29,66.3931
2020-04-30,66.5245
2020-03-31,69.7733
2020-02-28,78.2558
2020-01-31,81.5124
2019-12-31,80.9050
2019-11-29,80.6467
2019-10-31,79.3849
2019-09-30,78.8628
2019-08-30,78.7878
2019-07-31,79.0787
2019-06-28,78.3595
2019-05-31,77.8184
2019-04-30,74.5027
2019-03-29,70.5965
2019-02-28,67.1166
2019-01-31,63.7663
2018-12-31,62.5422
2018-11-30,64.4373
2018-10-31,63.6858
2018-09-28,65.6395
2018-08-31,63.7286
2018-07-31,60.9634
2018-06-29,59.3001
2018-05-31,57.4790
2018-04-30,56.3826
2018-03-29,58.0388
2018-02-28,59.7733
2018-01-31,60.0649
2017-12-29,58.4456
2017-11-30,56.2699
2017-10-31,53.3721
2017-09-29,51.0915
2017-08-31,50.2318
2017-07-31,50.6703
2017-06-30,50.8204
2017-05-31,51.8280
2017-04-28,51.9243
2017-03-31,52.2260
2017-02-28,52.7855
2017-01-31,52.0292
2016-12-30,51.4280
2016-11-30,50.3289
2016-10-31,49.6823
2016-09-30,50.7386
2016-08-31,50.8748
2016-07-29,49.2926
2016-06-30,47.5607
2016-05-31,44.9848
2016-04-29,44.0406
2016-03-31,43.9713
2016-02-29,42.7169
2016-01-29,42.2423
2015-12-31,43.4241
2015-11-30,42.5096
2015-10-30,40.2961
2015-09-30,38.4349
2015-08-31,38.0526
2015-07-31,39.0924
2015-06-30,39.6209
2015-05-29,40.2889
2015-04-30,39.7930
2015-03-31,39.7026
2015-02-27,38.7844
2015-01-30,37.1946
2014-12-31,37.2190
2014-11-28,36.8657
2014-10-31,35.5780
2014-09-30,33.8465
2014-08-29,32.9004
2014-07-31,32.8272
2014-06-30,33.0284
2014-05-30,33.1923
2014-04-30,33.6148
2014-03-31,33.9808
2014-02-28,34.0100
2014-01-31,34.3726
2013-12-31,34.7316
2013-11-29,33.3544
2013-10-31,32.0924
2013-09-30,30.8436
2013-08-30,29.8859
2013-07-31,29.3610
2013-06-28,28.0857
2013-05-31,27.7764
2013-04-30,26.8615
2013-03-28,25.8474
2013-02-28,24.9741
2013-01-31,24.6316
2012-12-31,24.3165
2012-11-30,24.5989
2012-10-31,24.5565
2012-09-28,24.4965
2012-08-31,24.0794
2012-07-31,23.4198
2012-06-29,22.6793
2012-05-31,22.3324
2012-04-30,22.4942
2012-03-30,22.3655
2012-02-29,22.1341
2012-01-31,21.6091
2011-12-30,20.7102
2011-11-30,20.2035
2011-10-31,19.9463
2011-09-30,19.5751
2011-08-31,20.5175
2011-07-29,21.6293
2011-06-30,22.6567
2011-05-31,23.0976
2011-04-29,22.9334
2011-03-31,22.4173
2011-02-28,22.3320
2011-01-31,21.0839
2010-12-31,19.9376
2010-11-30,18.8571
2010-10-29,18.3436
2010-09-30,17.9627
2010-08-31,17.6776
2010-07-30,18.4668
2010-06-30,19.1471
2010-05-28,20.2922
2010-04-30,20.7928
2010-03-31,20.5651
2010-02-26,20.2402
2010-01-29,20.0507
2009-12-31,20.1354
2009-11-30,19.6097
2009-10-30,18.4682
2009-09-30,18.0455
2009-08-31,17.2621
2009-07-31,16.4433
2009-06-30,16.0454
2009-05-29,16.2007
2009-04-30,15.5691
2009-03-31,14.8626
2009-02-27,14.6334
2009-01-30,15.9620
2008-12-31,17.0939
2008-11-28,18.1539
2008-10-31,18.9693
2008-09-30,20.1216
2008-08-29,20.1450
2008-07-31,19.7928
2008-06-30,19.8172
