,TEMA_monthly_10
2013-10-17,12.2163
2013-09-30,12.2382
2013-08-30,12.2291
2013-07-31,12.1691
2013-06-28,12.0299
2013-05-31,11.7720
2013-04-30,11.3404
2013-03-28,10.6595
2013-02-28,10.2533
2013-01-31,10.3674
2012-12-31,10.3568
2012-11-30,10.3737
2012-10-31,9.8950
2012-09-28,9.4644
2012-08-31,7.8232
2012-07-31,6.7669
2012-06-29,5.9374
2012-05-31,6.6375
2012-04-30,7.5468
2012-03-30,8.3847
2012-02-29,8.5584
2012-01-31,8.0516
2011-12-30,8.3944
2011-11-30,9.1261
2011-10-31,10.5161
2011-09-30,12.5676
2011-08-31,15.4846
2011-07-29,18.0928
2011-06-30,18.3837
2011-05-31,18.0253
2011-04-29,16.8594
2011-03-31,15.6889
2011-02-28,14.2065
2011-01-31,13.1240
2010-12-31,12.4023
2010-11-30,11.4422
2010-10-29,10.2696
2010-09-30,9.6580
2010-08-31,8.6814
2010-07-30,8.2480
2010-06-30,7.6105
2010-05-28,7.2091
2010-04-30,6.1353
2010-03-31,5.5525
2010-02-26,5.1861
2010-01-29,5.4088
2009-12-31,6.2692
2009-11-30,6.3756
2009-10-30,7.6117
2009-09-30,9.6626
2009-08-31,10.7458
