,TEMA_monthly_10
2022-04-04,53.0770
2022-03-31,53.3369
2022-02-28,52.9178
2022-01-31,55.2480
2021-12-31,54.4709
2021-11-30,48.9734
2021-10-29,44.0962
2021-09-30,43.5850
2021-08-31,43.1126
2021-07-30,40.2003
2021-06-30,37.8964
2021-05-28,37.0264
2021-04-30,35.9365
2021-03-31,34.5637
2021-02-26,34.0644
2021-01-29,35.0689
2020-12-31,34.9431
2020-11-30,34.3686
2020-10-30,32.5187
2020-09-30,32.9736
2020-08-31,32.9031
2020-07-31,32.1372
2020-06-30,30.6071
2020-05-29,32.0554
2020-04-30,30.9634
2020-03-31,29.5428
2020-02-28,30.9082
2020-01-31,32.5438
2019-12-31,32.7570
2019-11-29,32.2061
2019-10-31,31.8353
2019-09-30,31.6661
2019-08-30,32.9058
2019-07-31,35.0104
2019-06-28,36.4325
2019-05-31,35.9363
2019-04-30,36.1927
2019-03-29,37.2398
2019-02-28,37.6422
2019-01-31,37.6210
2018-12-31,37.9629
2018-11-30,37.8334
2018-10-31,36.0175
2018-09-28,35.1468
2018-08-31,33.1561
2018-07-31,31.5299
2018-06-29,30.1304
2018-05-31,30.0337
2018-04-30,30.0379
2018-03-29,29.8106
2018-02-28,30.0321
2018-01-31,29.8436
2017-12-29,29.2807
2017-11-30,28.8288
2017-10-31,28.0809
2017-09-29,27.7510
2017-08-31,26.8796
2017-07-31,26.5249
2017-06-30,26.5641
2017-05-31,26.3745
2017-04-28,26.5765
2017-03-31,26.3482
2017-02-28,25.8370
2017-01-31,25.1199
2016-12-30,25.4924
2016-11-30,25.6491
2016-10-31,26.0484
2016-09-30,27.0012
2016-08-31,27.2402
2016-07-29,27.0456
2016-06-30,25.7716
2016-05-31,24.7075
2016-04-29,23.3818
2016-03-31,22.6116
2016-02-29,23.0718
2016-01-29,23.7690
2015-12-31,24.5526
2015-11-30,24.8054
2015-10-30,24.9168
2015-09-30,24.6707
2015-08-31,25.4848
2015-07-31,26.2349
2015-06-30,25.4957
2015-05-29,25.5865
2015-04-30,25.0411
2015-03-31,24.7071
2015-02-27,23.7219
2015-01-30,22.4458
2014-12-31,22.1735
2014-11-28,21.8017
2014-10-31,21.2421
2014-09-30,21.1253
2014-08-29,21.1405
2014-07-31,21.2527
2014-06-30,21.7481
2014-05-30,22.1155
2014-04-30,22.6479
2014-03-31,22.7248
2014-02-28,22.3765
2014-01-31,21.8024
2013-12-31,21.8254
2013-11-29,21.6837
2013-10-31,20.8865
2013-09-30,20.2494
2013-08-30,20.1683
2013-07-31,20.2301
2013-06-28,19.7795
2013-05-31,19.7223
2013-04-30,19.9235
2013-03-28,19.3940
2013-02-28,18.6224
2013-01-31,18.0890
2012-12-31,17.2726
2012-11-30,17.1157
2012-10-31,16.8502
2012-09-28,16.5664
2012-08-31,16.0948
2012-07-31,15.7864
2012-06-29,15.2932
2012-05-31,14.9789
2012-04-30,14.9706
2012-03-30,14.5457
2012-02-29,13.9829
2012-01-31,13.7834
2011-12-30,13.4262
2011-11-30,12.7616
2011-10-31,12.4472
2011-09-30,12.4070
2011-08-31,13.0152
2011-07-29,13.3166
2011-06-30,13.6874
2011-05-31,13.5916
2011-04-29,13.0159
2011-03-31,12.3939
2011-02-28,11.7022
2011-01-31,11.0947
2010-12-31,10.6835
2010-11-30,10.3560
2010-10-29,10.3685
2010-09-30,9.9830
2010-08-31,9.5138
2010-07-30,9.3547
2010-06-30,9.5812
2010-05-28,10.2305
2010-04-30,10.7851
2010-03-31,11.0415
2010-02-26,11.2125
2010-01-29,11.2610
2009-12-31,10.9078
2009-11-30,10.5333
2009-10-30,9.9538
2009-09-30,9.5989
2009-08-31,9.2537
2009-07-31,8.6821
2009-06-30,8.2234
2009-05-29,7.9448
2009-04-30,7.5042
2009-03-31,7.6993
2009-02-27,7.9535
2009-01-30,8.9076
2008-12-31,9.6037
2008-11-28,9.4760
2008-10-31,9.8216
2008-09-30,10.0115
2008-08-29,10.0621
