,TEMA_monthly_10
2022-04-04,157.5995
2022-03-31,158.0001
2022-02-28,159.0152
2022-01-31,157.9307
2021-12-31,152.7314
2021-11-30,143.0805
2021-10-29,141.1902
2021-09-30,139.2102
2021-08-31,138.7546
2021-07-30,136.1265
2021-06-30,132.1477
2021-05-28,131.5247
2021-04-30,130.5263
2021-03-31,129.8624
2021-02-26,128.0023
2021-01-29,132.8968
2020-12-31,136.7907
2020-11-30,135.5265
2020-10-30,133.3768
2020-09-30,130.8897
2020-08-31,126.0457
2020-07-31,118.9538
2020-06-30,112.9163
2020-05-29,111.8454
2020-04-30,112.5321
2020-03-31,112.1900
2020-02-28,117.0556
2020-01-31,121.8817
2019-12-31,121.2776
2019-11-29,120.1409
2019-10-31,119.6759
2019-09-30,116.7948
2019-08-30,112.4768
2019-07-31,108.1034
2019-06-28,102.4673
2019-05-31,99.3923
2019-04-30,98.6177
2019-03-29,94.7744
2019-02-28,90.6535
2019-01-31,87.6273
2018-12-31,84.1438
2018-11-30,82.0264
2018-10-31,77.1039
2018-09-28,73.3371
2018-08-31,71.5949
2018-07-31,69.2624
2018-06-29,67.2268
2018-05-31,66.5919
2018-04-30,68.8700
2018-03-29,72.9568
2018-02-28,75.3819
2018-01-31,79.4845
2017-12-29,80.8194
2017-11-30,79.8050
2017-10-31,79.3563
2017-09-29,80.7853
2017-08-31,80.4166
2017-07-31,78.9783
2017-06-30,77.5981
2017-05-31,78.0304
2017-04-28,78.0021
2017-03-31,78.2706
2017-02-28,77.4350
2017-01-31,75.3380
2016-12-30,74.1386
2016-11-30,74.6903
2016-10-31,76.3028
2016-09-30,75.9872
2016-08-31,74.0126
2016-07-29,72.3102
2016-06-30,70.6252
2016-05-31,68.9159
2016-04-29,68.3592
2016-03-31,67.9728
2016-02-29,66.4560
2016-01-29,65.3038
2015-12-31,62.7977
2015-11-30,60.8199
2015-10-30,60.5621
2015-09-30,59.4613
2015-08-31,60.8505
2015-07-31,63.7622
2015-06-30,64.8236
2015-05-29,65.9622
2015-04-30,67.6025
2015-03-31,69.4050
2015-02-27,71.0366
2015-01-30,71.5911
2014-12-31,72.7096
2014-11-28,70.8072
2014-10-31,68.1763
2014-09-30,65.8708
2014-08-29,64.6359
2014-07-31,63.0955
2014-06-30,63.8986
2014-05-30,64.6829
2014-04-30,64.5868
2014-03-31,63.4148
2014-02-28,62.9833
2014-01-31,63.2891
2013-12-31,64.7111
2013-11-29,64.4487
2013-10-31,62.4176
2013-09-30,61.0934
2013-08-30,62.0124
2013-07-31,62.0038
2013-06-28,60.5468
2013-05-31,60.2323
2013-04-30,59.6914
2013-03-28,58.6825
2013-02-28,57.1490
2013-01-31,55.1518
2012-12-31,52.5775
2012-11-30,52.6769
2012-10-31,51.7300
2012-09-28,50.5348
2012-08-31,48.9182
2012-07-31,47.5865
2012-06-29,46.9492
2012-05-31,47.9381
2012-04-30,48.8597
2012-03-30,49.4967
2012-02-29,48.8610
2012-01-31,47.6539
2011-12-30,48.0944
2011-11-30,47.1298
2011-10-31,46.7146
2011-09-30,46.3504
2011-08-31,46.4278
2011-07-29,46.2595
2011-06-30,47.0349
2011-05-31,47.3472
2011-04-29,46.0644
2011-03-31,45.1215
2011-02-28,45.5182
2011-01-31,45.3454
2010-12-31,44.9839
2010-11-30,44.0352
2010-10-29,44.1352
2010-09-30,43.0376
2010-08-31,43.3085
2010-07-30,43.8012
2010-06-30,43.7564
2010-05-28,44.3899
2010-04-30,44.6991
2010-03-31,44.5266
2010-02-26,43.8388
2010-01-29,42.6859
2009-12-31,41.6736
2009-11-30,40.7135
2009-10-30,38.4272
2009-09-30,37.0413
2009-08-31,35.2606
2009-07-31,34.4575
2009-06-30,32.7511
2009-05-29,32.6207
2009-04-30,32.2599
2009-03-31,33.1111
2009-02-27,35.8739
2009-01-30,39.6654
2008-12-31,42.5259
2008-11-28,43.6896
2008-10-31,44.2903
2008-09-30,45.0876
2008-08-29,44.1466
2008-07-31,42.7183
2008-06-30,42.5482
2008-05-30,44.5760
2008-04-30,45.2407
2008-03-31,45.7394
2008-02-29,45.2590
2008-01-31,46.1955
2007-12-31,47.8125
2007-11-30,46.6971
2007-10-31,44.6540
2007-09-28,43.4886
2007-08-31,41.4789
2007-07-31,40.6585
2007-06-29,40.9240
2007-05-31,41.7197
2007-04-30,41.8117
2007-03-30,41.5051
2007-02-28,41.6588
2007-01-31,41.6500
2006-12-29,40.9382
2006-11-30,40.1758
2006-10-31,39.5919
2006-09-29,38.3883
2006-08-31,37.2831
2006-07-31,35.6488
2006-06-30,35.6631
2006-05-31,36.0689
2006-04-28,37.2250
2006-03-31,37.2071
2006-02-28,37.5030
2006-01-31,36.8990
2005-12-30,36.2363
2005-11-30,35.8857
2005-10-31,35.6028
2005-09-30,35.6332
2005-08-31,34.2889
2005-07-29,33.9304
2005-06-30,33.3125
2005-05-31,33.6969
2005-04-29,33.2422
2005-03-31,32.9657
2005-02-28,33.1323
2005-01-31,33.3158
2004-12-31,33.4931
2004-11-30,33.0452
2004-10-29,32.9987
2004-09-30,33.8247
2004-08-31,33.8596
2004-07-30,33.0627
2004-06-30,33.3627
2004-05-28,32.8696
2004-04-30,32.2530
2004-03-31,31.6632
2004-02-27,30.9751
2004-01-30,30.3490
2003-12-31,29.6304
2003-11-28,28.8310
2003-10-31,28.3235
2003-09-30,27.1081
2003-08-29,26.4788
2003-07-31,26.6456
2003-06-30,26.7552
2003-05-30,26.7186
2003-04-30,26.1084
2003-03-31,25.5837
2003-02-28,25.0444
2003-01-31,25.6826
2002-12-31,25.8761
2002-11-29,26.1486
2002-10-31,26.7950
2002-09-30,26.9154
2002-08-30,26.9174
2002-07-31,26.9812
2002-06-28,26.9123
2002-05-31,26.7316
2002-04-30,26.2996
2002-03-28,25.4045
