,TEMA_monthly_10
2022-04-04,246.1263
2022-03-31,247.4944
2022-02-28,251.4658
2022-01-31,254.1439
2021-12-31,269.9469
2021-11-30,270.9567
2021-10-29,274.9338
2021-09-30,274.1521
2021-08-31,270.8195
2021-07-30,246.0852
2021-06-30,220.9287
2021-05-28,199.7572
2021-04-30,195.1699
2021-03-31,200.2274
2021-02-26,203.1696
2021-01-29,207.6473
2020-12-31,207.7665
2020-11-30,199.6207
2020-10-30,188.6007
2020-09-30,183.4775
2020-08-31,188.7061
2020-07-31,189.2293
2020-06-30,174.7755
2020-05-29,159.4809
2020-04-30,156.8769
2020-03-31,156.3054
2020-02-28,160.0673
2020-01-31,157.0706
2019-12-31,151.9705
2019-11-29,146.1882
2019-10-31,140.3490
2019-09-30,132.3314
2019-08-30,128.2426
2019-07-31,118.8704
2019-06-28,111.8191
2019-05-31,105.5089
2019-04-30,101.2448
2019-03-29,101.4319
2019-02-28,102.0269
2019-01-31,103.8393
2018-12-31,111.3245
2018-11-30,109.8725
2018-10-31,108.6711
2018-09-28,110.4991
2018-08-31,106.5699
2018-07-31,102.7979
2018-06-29,100.6264
2018-05-31,98.3593
2018-04-30,95.0317
2018-03-29,95.1411
2018-02-28,92.3339
2018-01-31,89.7398
2017-12-29,82.1294
2017-11-30,80.8409
2017-10-31,78.1419
2017-09-29,74.8542
2017-08-31,74.3315
2017-07-31,72.8848
2017-06-30,71.0013
2017-05-31,67.4901
2017-04-28,66.4002
2017-03-31,66.7808
2017-02-28,64.6141
2017-01-31,61.1917
2016-12-30,59.0574
2016-11-30,59.2781
2016-10-31,59.8728
2016-09-30,61.9144
2016-08-31,61.6040
2016-07-29,59.7517
2016-06-30,55.6774
2016-05-31,53.0830
2016-04-29,51.8179
2016-03-31,52.1617
2016-02-29,51.4224
2016-01-29,50.9116
2015-12-31,50.5035
2015-11-30,51.7933
2015-10-30,50.1015
2015-09-30,49.0507
2015-08-31,51.6490
2015-07-31,54.9032
2015-06-30,56.1507
2015-05-29,58.8189
2015-04-30,61.0376
2015-03-31,61.0664
2015-02-27,56.0067
2015-01-30,52.7561
2014-12-31,49.0602
2014-11-28,47.3349
2014-10-31,46.4139
2014-09-30,45.7287
2014-08-29,46.4055
2014-07-31,45.0359
2014-06-30,43.8834
2014-05-30,42.7817
2014-04-30,41.4558
2014-03-31,39.7623
2014-02-28,40.3533
2014-01-31,41.6386
2013-12-31,43.8931
2013-11-29,45.0780
2013-10-31,45.6580
2013-09-30,44.7486
2013-08-30,42.5863
2013-07-31,42.5117
2013-06-28,42.1273
2013-05-31,42.8394
2013-04-30,41.9803
2013-03-28,40.5527
2013-02-28,39.1768
2013-01-31,38.0084
2012-12-31,36.5652
2012-11-30,35.5200
2012-10-31,34.0537
2012-09-28,32.4717
2012-08-31,29.6731
2012-07-31,27.2139
2012-06-29,26.9955
2012-05-31,26.8437
2012-04-30,26.7101
2012-03-30,24.7405
2012-02-29,23.6321
2012-01-31,22.9744
2011-12-30,22.2388
2011-11-30,23.3453
2011-10-31,24.6937
2011-09-30,25.4515
2011-08-31,26.3310
2011-07-29,26.3987
2011-06-30,26.9078
2011-05-31,27.2847
2011-04-29,27.1157
2011-03-31,27.0374
2011-02-28,27.9972
2011-01-31,28.4545
2010-12-31,29.1295
2010-11-30,28.2266
2010-10-29,28.3570
2010-09-30,28.4979
2010-08-31,28.0504
2010-07-30,28.8006
2010-06-30,28.1960
2010-05-28,28.5389
2010-04-30,28.2513
2010-03-31,26.0260
2010-02-26,23.9400
2010-01-29,22.6120
2009-12-31,22.2426
2009-11-30,21.2569
2009-10-30,20.2745
2009-09-30,19.0444
2009-08-31,18.3212
2009-07-31,17.0073
2009-06-30,16.4675
2009-05-29,15.7548
2009-04-30,15.7814
2009-03-31,15.4569
2009-02-27,15.9159
2009-01-30,16.1901
2008-12-31,15.7651
2008-11-28,15.8861
2008-10-31,16.4486
2008-09-30,17.9221
2008-08-29,17.6002
2008-07-31,16.0590
2008-06-30,16.4313
2008-05-30,17.6443
2008-04-30,18.4269
2008-03-31,18.5333
2008-02-29,18.9808
2008-01-31,20.1346
2007-12-31,20.1041
2007-11-30,18.2909
2007-10-31,17.5714
2007-09-28,17.8111
2007-08-31,17.7974
2007-07-31,18.4612
2007-06-29,18.8104
2007-05-31,19.8459
2007-04-30,20.2762
2007-03-30,21.7024
2007-02-28,21.4179
2007-01-31,21.6915
2006-12-29,20.6230
2006-11-30,19.9490
2006-10-31,18.6803
2006-09-29,18.5098
2006-08-31,19.3074
2006-07-31,20.3083
2006-06-30,20.0516
2006-05-31,19.4227
2006-04-28,18.8317
2006-03-31,18.5356
2006-02-28,17.7705
2006-01-31,17.5327
2005-12-30,17.4254
2005-11-30,17.4952
2005-10-31,16.7732
2005-09-30,16.3690
2005-08-31,15.1801
2005-07-29,14.3883
2005-06-30,13.9115
2005-05-31,13.2824
2005-04-29,12.7975
2005-03-31,12.0796
2005-02-28,11.7956
2005-01-31,10.9717
2004-12-31,10.8320
2004-11-30,10.6343
2004-10-29,10.4739
2004-09-30,10.6595
2004-08-31,10.8211
2004-07-30,11.0031
2004-06-30,11.0516
2004-05-28,10.7914
2004-04-30,10.3806
2004-03-31,9.9485
2004-02-27,9.8601
2004-01-30,9.4221
2003-12-31,9.1756
2003-11-28,9.1433
2003-10-31,9.4280
2003-09-30,9.4071
2003-08-29,9.0115
2003-07-31,8.4837
2003-06-30,8.1906
2003-05-30,7.8047
2003-04-30,7.1335
2003-03-31,6.5936
2003-02-28,6.4907
2003-01-31,6.4464
2002-12-31,6.1631
2002-11-29,6.1593
2002-10-31,5.9404
2002-09-30,5.4867
2002-08-30,5.6440
2002-07-31,5.6073
2002-06-28,6.2296
2002-05-31,6.9155
2002-04-30,8.2933
2002-03-28,8.9959
