,TEMA_monthly_10
2022-04-04,69.5224
2022-03-31,69.1649
2022-02-28,68.7741
2022-01-31,67.8562
2021-12-31,65.5859
2021-11-30,62.1586
2021-10-29,60.4612
2021-09-30,59.4863
2021-08-31,60.7057
2021-07-30,58.0720
2021-06-30,56.6103
2021-05-28,52.3897
2021-04-30,47.5332
2021-03-31,45.0416
2021-02-26,43.5254
2021-01-29,43.7937
2020-12-31,43.7375
2020-11-30,41.1148
2020-10-30,37.6519
2020-09-30,36.0228
2020-08-31,34.0717
2020-07-31,30.9727
2020-06-30,28.8486
2020-05-29,27.7238
2020-04-30,26.8727
2020-03-31,28.1656
2020-02-28,32.8546
2020-01-31,36.4095
2019-12-31,38.3862
2019-11-29,38.5419
2019-10-31,40.2567
2019-09-30,40.1763
2019-08-30,40.2086
2019-07-31,41.4253
2019-06-28,41.9036
2019-05-31,41.8994
2019-04-30,42.4660
2019-03-29,40.1860
2019-02-28,37.1271
2019-01-31,34.3025
2018-12-31,32.8732
2018-11-30,33.9015
2018-10-31,34.6230
2018-09-28,38.4914
2018-08-31,39.3537
2018-07-31,40.8127
2018-06-29,40.5005
2018-05-31,41.0996
2018-04-30,41.3120
2018-03-29,41.5678
2018-02-28,42.6286
2018-01-31,44.5464
2017-12-29,44.1965
2017-11-30,42.3977
2017-10-31,40.5060
2017-09-29,40.2269
2017-08-31,40.8004
2017-07-31,40.6469
2017-06-30,41.1014
2017-05-31,41.0300
2017-04-28,41.1746
2017-03-31,41.7723
2017-02-28,42.9498
2017-01-31,42.9831
2016-12-30,41.7772
2016-11-30,41.9666
2016-10-31,42.1028
2016-09-30,42.3965
2016-08-31,42.7173
2016-07-29,42.3794
2016-06-30,41.9486
2016-05-31,42.0632
2016-04-29,42.0470
2016-03-31,41.4649
2016-02-29,40.2271
2016-01-29,39.9199
2015-12-31,42.6873
2015-11-30,44.2744
2015-10-30,46.1569
2015-09-30,46.5087
2015-08-31,48.2048
2015-07-31,47.7582
2015-06-30,45.7797
2015-05-29,43.6832
2015-04-30,42.0542
2015-03-31,41.2995
2015-02-27,39.9802
2015-01-30,36.9442
2014-12-31,36.2882
2014-11-28,33.9913
2014-10-31,32.2990
2014-09-30,31.6735
2014-08-29,31.4793
2014-07-31,30.4371
2014-06-30,31.1881
2014-05-30,30.9459
2014-04-30,31.2699
2014-03-31,30.7587
2014-02-28,30.6836
2014-01-31,29.7525
2013-12-31,29.8669
2013-11-29,28.1098
2013-10-31,26.5353
2013-09-30,25.1612
2013-08-30,24.7231
2013-07-31,23.2515
2013-06-28,21.5975
2013-05-31,20.9540
2013-04-30,19.9060
2013-03-28,19.3505
2013-02-28,17.2513
2013-01-31,15.1977
2012-12-31,14.2583
2012-11-30,13.5881
2012-10-31,13.0357
2012-09-28,12.6983
2012-08-31,12.7141
2012-07-31,13.5082
2012-06-29,13.7221
2012-05-31,14.5481
2012-04-30,15.7082
2012-03-30,15.5284
2012-02-29,15.2368
2012-01-31,14.6877
2011-12-30,13.8689
2011-11-30,14.3136
2011-10-31,14.8606
2011-09-30,15.7592
2011-08-31,17.8052
2011-07-29,19.9180
2011-06-30,21.3800
2011-05-31,22.2369
2011-04-29,22.4518
2011-03-31,22.6242
2011-02-28,22.2747
2011-01-31,21.2405
2010-12-31,20.0697
2010-11-30,18.9439
2010-10-29,18.5042
2010-09-30,17.8578
2010-08-31,17.2304
2010-07-30,17.4244
2010-06-30,17.0657
2010-05-28,17.5420
2010-04-30,17.6524
2010-03-31,17.4003
2010-02-26,17.1970
2010-01-29,17.2516
2009-12-31,17.5812
2009-11-30,16.8990
2009-10-30,15.6525
2009-09-30,15.4036
2009-08-31,14.7833
2009-07-31,14.2951
2009-06-30,13.8406
2009-05-29,13.1430
2009-04-30,11.3797
2009-03-31,9.3679
2009-02-27,9.3333
2009-01-30,10.9181
2008-12-31,12.1682
2008-11-28,13.4307
2008-10-31,15.0186
2008-09-30,16.8910
2008-08-29,17.0823
2008-07-31,16.3213
2008-06-30,16.5870
2008-05-30,18.4521
2008-04-30,18.5565
2008-03-31,18.2829
2008-02-29,17.9634
2008-01-31,18.1659
2007-12-31,17.5608
2007-11-30,18.3161
2007-10-31,19.4670
2007-09-28,20.4537
2007-08-31,21.6500
2007-07-31,23.0458
2007-06-29,24.6920
2007-05-31,25.1548
2007-04-30,25.1097
2007-03-30,24.7013
2007-02-28,24.6642
2007-01-31,24.1985
2006-12-29,23.0927
2006-11-30,21.6287
2006-10-31,20.7825
2006-09-29,19.5420
2006-08-31,19.0713
2006-07-31,18.9601
2006-06-30,20.0142
2006-05-31,20.3540
2006-04-28,20.9657
2006-03-31,21.2999
2006-02-28,20.7391
2006-01-31,20.1911
2005-12-30,19.7148
2005-11-30,18.7676
2005-10-31,18.4830
2005-09-30,18.4235
2005-08-31,19.0587
2005-07-29,19.1748
2005-06-30,18.7650
2005-05-31,18.9768
2005-04-29,18.7891
2005-03-31,19.3458
2005-02-28,19.2809
2005-01-31,19.0864
2004-12-31,19.0265
2004-11-30,18.4338
2004-10-29,18.0218
2004-09-30,17.8896
2004-08-31,18.5013
2004-07-30,18.7111
2004-06-30,19.4256
2004-05-28,18.9939
2004-04-30,19.0728
2004-03-31,19.4467
2004-02-27,19.7807
2004-01-30,20.1689
2003-12-31,20.6594
2003-11-28,20.1773
2003-10-31,19.6802
2003-09-30,18.7047
2003-08-29,18.6414
2003-07-31,18.0643
2003-06-30,17.3173
2003-05-30,16.1135
2003-04-30,15.1774
2003-03-31,13.9744
2003-02-28,12.8228
2003-01-31,12.0592
2002-12-31,10.5701
2002-11-29,8.5219
2002-10-31,5.3895
2002-09-30,6.6741
2002-08-30,8.3847
2002-07-31,11.4360
2002-06-28,16.2910
2002-05-31,17.0317
2002-04-30,16.9708
2002-03-28,16.8584
