,TEMA_monthly_10
2022-04-04,76.5710
2022-03-31,81.0196
2022-02-28,86.0740
2022-01-31,94.5404
2021-12-31,95.8236
2021-11-30,96.3141
2021-10-29,89.2384
2021-09-30,83.0927
2021-08-31,79.9713
2021-07-30,74.2057
2021-06-30,74.6042
2021-05-28,63.3118
2021-04-30,59.1343
2021-03-31,52.6224
2021-02-26,43.3735
2021-01-29,34.5221
2020-12-31,27.0780
2020-11-30,24.6508
2020-10-30,18.8222
2020-09-30,15.4311
2020-08-31,12.7948
2020-07-31,9.9327
2020-06-30,10.2165
2020-05-29,11.1470
2020-04-30,12.5395
2020-03-31,15.1153
2020-02-28,21.4578
2020-01-31,19.6350
2019-12-31,16.3543
2019-11-29,13.5974
2019-10-31,12.0265
2019-09-30,11.6186
2019-08-30,11.2512
2019-07-31,14.1286
2019-06-28,15.3749
2019-05-31,17.9354
2019-04-30,21.6597
2019-03-29,25.2106
2019-02-28,28.4924
2019-01-31,33.2086
2018-12-31,42.8497
2018-11-30,52.9492
2018-10-31,55.0406
2018-09-28,56.1190
2018-08-31,51.5250
2018-07-31,45.6707
2018-06-29,41.1894
2018-05-31,35.9699
2018-04-30,36.2846
2018-03-29,39.8760
2018-02-28,45.7766
2018-01-31,47.7919
2017-12-29,49.6600
2017-11-30,50.5203
2017-10-31,54.5680
2017-09-29,52.9195
2017-08-31,50.3834
2017-07-31,49.0948
2017-06-30,48.8275
2017-05-31,48.0004
2017-04-28,56.3110
2017-03-31,58.7826
2017-02-28,61.1778
2017-01-31,68.5770
2016-12-30,71.7514
2016-11-30,67.3822
2016-10-31,63.2511
2016-09-30,63.7548
2016-08-31,69.4043
2016-07-29,74.2600
2016-06-30,78.7789
2016-05-31,89.4897
2016-04-29,96.2676
2016-03-31,101.1091
2016-02-29,99.7757
2016-01-29,107.0894
2015-12-31,113.6402
2015-11-30,118.9622
2015-10-30,122.1606
2015-09-30,115.3113
2015-08-31,113.5722
2015-07-31,109.7179
2015-06-30,113.4751
2015-05-29,114.8388
2015-04-30,115.8404
2015-03-31,114.0996
2015-02-27,108.5036
2015-01-30,110.6106
2014-12-31,112.4743
2014-11-28,108.6960
2014-10-31,102.8107
2014-09-30,99.7785
2014-08-29,98.2980
2014-07-31,93.2492
2014-06-30,94.3802
2014-05-30,90.4894
2014-04-30,86.6584
2014-03-31,83.0938
2014-02-28,74.7728
2014-01-31,67.9064
2013-12-31,66.5460
2013-11-29,64.8109
2013-10-31,63.0170
2013-09-30,61.3285
2013-08-30,60.3541
2013-07-31,61.6003
2013-06-28,59.3018
2013-05-31,58.8586
2013-04-30,57.2306
2013-03-28,54.4237
2013-02-28,50.9231
2013-01-31,48.7323
2012-12-31,44.4937
2012-11-30,43.3031
2012-10-31,41.2130
2012-09-28,39.1501
2012-08-31,37.8051
2012-07-31,37.4241
2012-06-29,37.9340
2012-05-31,38.6705
2012-04-30,39.8898
2012-03-30,38.7312
2012-02-29,37.8305
2012-01-31,36.6359
2011-12-30,35.5531
2011-11-30,34.8748
2011-10-31,33.6752
2011-09-30,32.5618
2011-08-31,36.1628
2011-07-29,38.5530
2011-06-30,39.7594
2011-05-31,39.1218
2011-04-29,38.3925
2011-03-31,38.3243
2011-02-28,36.6918
2011-01-31,35.2099
2010-12-31,33.5372
2010-11-30,30.3201
2010-10-29,27.3739
2010-09-30,25.4871
2010-08-31,24.5311
2010-07-30,25.9922
2010-06-30,26.1867
2010-05-28,27.5906
2010-04-30,27.4958
2010-03-31,26.5961
2010-02-26,24.8679
2010-01-29,24.0720
2009-12-31,23.4982
2009-11-30,22.7964
2009-10-30,22.0299
2009-09-30,21.0398
2009-08-31,18.7526
2009-07-31,16.3819
2009-06-30,13.9714
2009-05-29,11.0741
2009-04-30,8.4150
2009-03-31,5.8049
2009-02-27,4.6401
2009-01-30,5.4703
2008-12-31,7.2178
2008-11-28,9.2091
2008-10-31,12.9110
2008-09-30,17.3007
2008-08-29,16.6032
2008-07-31,16.0375
2008-06-30,16.8406
2008-05-30,18.5478
2008-04-30,18.5587
2008-03-31,17.9836
2008-02-29,19.0079
2008-01-31,20.9734
2007-12-31,22.3807
2007-11-30,24.4505
2007-10-31,28.9818
2007-09-28,29.4543
2007-08-31,32.0022
2007-07-31,33.9073
2007-06-29,35.9669
2007-05-31,37.6498
2007-04-30,38.4675
2007-03-30,37.8823
2007-02-28,36.6864
2007-01-31,36.6060
2006-12-29,35.6126
2006-11-30,34.4029
2006-10-31,32.6564
2006-09-29,30.2523
2006-08-31,28.9179
2006-07-31,27.4959
2006-06-30,26.7929
2006-05-31,26.9191
2006-04-28,27.2595
2006-03-31,26.7156
2006-02-28,26.2220
2006-01-31,26.3688
2005-12-30,26.5811
2005-11-30,26.4692
2005-10-31,27.0227
2005-09-30,27.8235
2005-08-31,28.9242
2005-07-29,29.0029
2005-06-30,28.3701
2005-05-31,28.4096
2005-04-29,29.5203
2005-03-31,30.5792
2005-02-28,30.9453
2005-01-31,30.2987
2004-12-31,29.9643
2004-11-30,29.0333
2004-10-29,28.7516
2004-09-30,29.2927
2004-08-31,28.9580
2004-07-30,30.3581
2004-06-30,30.7176
2004-05-28,30.0152
2004-04-30,29.0556
2004-03-31,27.7627
2004-02-27,26.2505
2004-01-30,25.6852
2003-12-31,25.9207
2003-11-28,25.0133
2003-10-31,24.5867
2003-09-30,23.6861
2003-08-29,22.1613
2003-07-31,20.1433
2003-06-30,18.5665
2003-05-30,17.1721
2003-04-30,16.2826
2003-03-31,15.3942
2003-02-28,15.7889
2003-01-31,16.3627
2002-12-31,16.7210
2002-11-29,18.6485
2002-10-31,18.8149
2002-09-30,18.9243
2002-08-30,19.7782
2002-07-31,20.4550
2002-06-28,22.5900
2002-05-31,23.5978
2002-04-30,22.4466
2002-03-28,21.2534
