,TEMA_monthly_10
2022-04-04,72.0030
2022-03-31,69.7411
2022-02-28,66.6035
2022-01-31,66.9923
2021-12-31,64.7138
2021-11-30,61.8190
2021-10-29,62.4165
2021-09-30,62.8252
2021-08-31,63.5275
2021-07-30,61.9398
2021-06-30,61.0852
2021-05-28,61.8580
2021-04-30,60.6111
2021-03-31,57.5791
2021-02-26,55.5741
2021-01-29,56.0429
2020-12-31,55.6442
2020-11-30,53.3881
2020-10-30,51.0394
2020-09-30,49.4984
2020-08-31,49.3404
2020-07-31,50.4869
2020-06-30,51.1330
2020-05-29,53.8554
2020-04-30,54.6168
2020-03-31,56.3244
2020-02-28,60.3163
2020-01-31,62.1461
2019-12-31,58.7454
2019-11-29,57.5150
2019-10-31,56.4548
2019-09-30,54.5704
2019-08-30,52.0543
2019-07-31,50.2192
2019-06-28,48.9010
2019-05-31,47.3059
2019-04-30,45.8355
2019-03-29,44.0390
2019-02-28,42.1738
2019-01-31,40.5121
2018-12-31,39.0094
2018-11-30,39.5073
2018-10-31,38.2452
2018-09-28,38.0674
2018-08-31,38.6499
2018-07-31,39.4167
2018-06-29,38.1268
2018-05-31,37.5478
2018-04-30,37.5391
2018-03-29,37.2501
2018-02-28,37.7059
2018-01-31,39.3311
2017-12-29,40.9300
2017-11-30,41.6190
2017-10-31,40.8704
2017-09-29,39.5025
2017-08-31,39.1498
2017-07-31,39.1153
2017-06-30,39.5628
2017-05-31,40.2421
2017-04-28,39.7448
2017-03-31,39.7352
2017-02-28,39.7065
2017-01-31,39.0821
2016-12-30,39.1855
2016-11-30,39.4399
2016-10-31,41.0234
2016-09-30,41.0856
2016-08-31,41.2112
2016-07-29,41.2552
2016-06-30,40.3433
2016-05-31,38.7959
2016-04-29,38.5599
2016-03-31,38.0409
2016-02-29,36.3312
2016-01-29,35.5350
2015-12-31,34.1953
2015-11-30,33.2542
2015-10-30,32.9837
2015-09-30,32.5716
2015-08-31,32.1643
2015-07-31,32.2171
2015-06-30,31.9092
2015-05-29,32.8650
2015-04-30,33.3890
2015-03-31,34.1075
2015-02-27,35.1262
2015-01-30,35.8083
2014-12-31,34.5787
2014-11-28,33.4389
2014-10-31,32.4856
2014-09-30,31.5331
2014-08-29,31.6216
2014-07-31,31.3486
2014-06-30,31.4262
2014-05-30,30.7534
2014-04-30,30.4697
2014-03-31,29.3000
2014-02-28,28.4427
2014-01-31,27.9314
2013-12-31,27.7248
2013-11-29,27.7568
2013-10-31,28.0704
2013-09-30,28.4472
2013-08-30,29.1456
2013-07-31,29.9946
2013-06-28,30.0151
2013-05-31,30.3536
2013-04-30,30.9339
2013-03-28,30.0428
2013-02-28,29.2851
2013-01-31,29.0070
2012-12-31,28.9425
2012-11-30,29.6827
2012-10-31,30.4272
2012-09-28,30.2528
2012-08-31,30.2662
2012-07-31,30.5515
2012-06-29,29.8858
2012-05-31,29.6219
2012-04-30,29.3220
2012-03-30,28.9971
2012-02-29,28.8624
2012-01-31,28.8852
2011-12-30,28.4368
2011-11-30,27.3627
2011-10-31,26.6854
2011-09-30,26.0959
2011-08-31,25.4927
2011-07-29,24.9505
2011-06-30,24.8394
2011-05-31,24.4518
2011-04-29,23.9322
2011-03-31,23.5261
2011-02-28,23.4322
2011-01-31,23.2241
2010-12-31,23.2242
2010-11-30,22.8970
2010-10-29,22.5337
2010-09-30,21.8530
2010-08-31,21.2021
2010-07-30,20.3932
2010-06-30,19.6869
2010-05-28,19.5849
2010-04-30,19.6226
2010-03-31,18.9090
2010-02-26,18.5427
2010-01-29,18.5172
2009-12-31,18.3694
2009-11-30,17.7971
2009-10-30,17.4160
2009-09-30,17.2024
2009-08-31,16.8834
2009-07-31,16.6150
2009-06-30,16.1821
2009-05-29,15.8472
2009-04-30,16.4411
2009-03-31,17.2060
2009-02-27,17.9070
2009-01-30,19.0855
2008-12-31,19.6807
2008-11-28,19.4141
2008-10-31,19.2532
2008-09-30,19.7183
2008-08-29,19.3343
2008-07-31,18.8150
2008-06-30,18.7980
2008-05-30,19.0800
2008-04-30,19.0315
2008-03-31,18.7294
2008-02-29,18.8365
2008-01-31,19.3543
2007-12-31,19.4478
2007-11-30,18.8650
2007-10-31,18.3652
2007-09-28,18.0806
2007-08-31,17.7776
2007-07-31,17.5934
2007-06-29,18.0779
2007-05-31,18.5566
2007-04-30,18.6508
2007-03-30,18.2843
2007-02-28,18.0852
2007-01-31,18.0372
2006-12-29,17.9400
2006-11-30,17.5171
2006-10-31,17.0581
2006-09-29,16.4318
2006-08-31,16.1264
2006-07-31,15.7322
2006-06-30,15.4409
2006-05-31,15.5804
2006-04-28,15.8216
2006-03-31,16.0964
2006-02-28,16.4480
2006-01-31,16.5483
2005-12-30,16.5481
2005-11-30,16.6045
2005-10-31,16.5968
2005-09-30,16.5756
2005-08-31,16.2607
2005-07-29,16.1776
2005-06-30,15.8268
2005-05-31,15.4811
2005-04-29,15.1562
2005-03-31,14.9526
2005-02-28,15.0768
2005-01-31,15.1327
2004-12-31,14.7760
2004-11-30,14.2836
2004-10-29,13.7443
2004-09-30,13.2887
2004-08-31,13.1917
2004-07-30,12.9287
2004-06-30,12.8548
2004-05-28,12.8861
2004-04-30,12.9946
2004-03-31,13.1915
2004-02-27,13.0609
2004-01-30,12.9037
2003-12-31,12.8076
2003-11-28,12.6214
2003-10-31,12.6157
2003-09-30,12.4404
2003-08-29,12.3957
2003-07-31,12.5909
2003-06-30,12.8393
2003-05-30,12.5081
2003-04-30,11.9010
2003-03-31,11.7560
2003-02-28,11.7069
2003-01-31,11.6810
2002-12-31,11.6341
2002-11-29,11.5761
2002-10-31,12.0746
2002-09-30,11.7966
2002-08-30,11.6836
2002-07-31,11.4201
2002-06-28,11.1276
2002-05-31,11.0173
2002-04-30,10.9094
2002-03-28,10.4220
