,TEMA_monthly_10
2022-04-04,58.3544
2022-03-31,60.5163
2022-02-28,62.6411
2022-01-31,61.9028
2021-12-31,60.5264
2021-11-30,61.1374
2021-10-29,61.3034
2021-09-30,58.8386
2021-08-31,58.1369
2021-07-30,57.9006
2021-06-30,59.2972
2021-05-28,60.3075
2021-04-30,57.2795
2021-03-31,54.3216
2021-02-26,50.2533
2021-01-29,44.8669
2020-12-31,42.8562
2020-11-30,39.8288
2020-10-30,36.3197
2020-09-30,34.2542
2020-08-31,33.9589
2020-07-31,33.2368
2020-06-30,33.5449
2020-05-29,34.2064
2020-04-30,35.9415
2020-03-31,38.7426
2020-02-28,47.0879
2020-01-31,49.8981
2019-12-31,50.8326
2019-11-29,49.1454
2019-10-31,47.5238
2019-09-30,46.3403
2019-08-30,44.3407
2019-07-31,44.8676
2019-06-28,43.5539
2019-05-31,43.0731
2019-04-30,43.8223
2019-03-29,42.5018
2019-02-28,43.3881
2019-01-31,42.0548
2018-12-31,41.6739
2018-11-30,44.4356
2018-10-31,43.8845
2018-09-28,44.4652
2018-08-31,45.6744
2018-07-31,45.5675
2018-06-29,46.0856
2018-05-31,46.9794
2018-04-30,46.9668
2018-03-29,46.8360
2018-02-28,46.9208
2018-01-31,45.5425
2017-12-29,43.0549
2017-11-30,42.4133
2017-10-31,41.5161
2017-09-29,40.3801
2017-08-31,39.9219
2017-07-31,39.6320
2017-06-30,38.5802
2017-05-31,38.0231
2017-04-28,39.2485
2017-03-31,40.2153
2017-02-28,40.5965
2017-01-31,38.9507
2016-12-30,37.6375
2016-11-30,35.0485
2016-10-31,32.0894
2016-09-30,31.2224
2016-08-31,30.7219
2016-07-29,29.5141
2016-06-30,28.7999
2016-05-31,28.4585
2016-04-29,27.5646
2016-03-31,27.0112
2016-02-29,27.4316
2016-01-29,28.7373
2015-12-31,30.5900
2015-11-30,30.5264
2015-10-30,29.9929
2015-09-30,30.1593
2015-08-31,31.2493
2015-07-31,32.1224
2015-06-30,31.7004
2015-05-29,31.0092
2015-04-30,30.4055
2015-03-31,30.2651
2015-02-27,29.6643
2015-01-30,29.2694
2014-12-31,30.2734
2014-11-28,29.8214
2014-10-31,29.8176
2014-09-30,29.7560
2014-08-29,29.9841
2014-07-31,30.2117
2014-06-30,30.7770
2014-05-30,30.2676
2014-04-30,30.2190
2014-03-31,30.4840
2014-02-28,29.2868
2014-01-31,28.6512
2013-12-31,27.9424
2013-11-29,26.8589
2013-10-31,26.5245
2013-09-30,26.4823
2013-08-30,26.4597
2013-07-31,26.2365
2013-06-28,25.0534
2013-05-31,24.1645
2013-04-30,23.2950
2013-03-28,23.1901
2013-02-28,22.6934
2013-01-31,22.4604
2012-12-31,22.2535
2012-11-30,22.6159
2012-10-31,23.5889
2012-09-28,24.5730
2012-08-31,23.9290
2012-07-31,23.6855
2012-06-29,23.3103
2012-05-31,23.0093
2012-04-30,22.7687
2012-03-30,21.4082
2012-02-29,19.7341
2012-01-31,18.2645
2011-12-30,17.0954
2011-11-30,16.4591
2011-10-31,16.5392
2011-09-30,16.6268
2011-08-31,17.8578
2011-07-29,19.2355
2011-06-30,19.6213
2011-05-31,19.6825
2011-04-29,19.4067
2011-03-31,19.2704
2011-02-28,18.8709
2011-01-31,18.1936
2010-12-31,17.1774
2010-11-30,16.4207
2010-10-29,16.8245
2010-09-30,17.3722
2010-08-31,17.9765
2010-07-30,19.8163
2010-06-30,21.2300
2010-05-28,22.6159
2010-04-30,22.7019
2010-03-31,21.2897
2010-02-26,19.5627
2010-01-29,18.7414
2009-12-31,17.7824
2009-11-30,17.5659
2009-10-30,17.4356
2009-09-30,17.6752
2009-08-31,16.5187
2009-07-31,14.4896
2009-06-30,13.8885
2009-05-29,13.5783
2009-04-30,13.0302
2009-03-31,11.9438
2009-02-27,13.6791
2009-01-30,16.7548
2008-12-31,19.7581
2008-11-28,21.0370
2008-10-31,21.8153
2008-09-30,20.3638
2008-08-29,17.6164
2008-07-31,17.0059
2008-06-30,17.0752
2008-05-30,19.7697
2008-04-30,20.1517
2008-03-31,19.5963
2008-02-29,19.9970
2008-01-31,21.0665
2007-12-31,20.6051
2007-11-30,22.5336
2007-10-31,23.2198
2007-09-28,23.9037
2007-08-31,23.7175
2007-07-31,23.7356
2007-06-29,24.7225
2007-05-31,25.0504
2007-04-30,24.9550
2007-03-30,25.0020
2007-02-28,25.4704
2007-01-31,25.5692
2006-12-29,25.7552
2006-11-30,25.4941
2006-10-31,25.4247
2006-09-29,25.0748
2006-08-31,24.5742
2006-07-31,24.1795
2006-06-30,23.8817
2006-05-31,23.7382
2006-04-28,23.5095
