,TEMA_monthly_10
2022-04-04,210.9606
2022-03-31,213.3002
2022-02-28,210.0163
2022-01-31,207.3067
2021-12-31,209.1814
2021-11-30,203.1879
2021-10-29,204.2572
2021-09-30,195.7212
2021-08-31,203.1223
2021-07-30,204.1125
2021-06-30,207.8609
2021-05-28,201.0389
2021-04-30,185.1773
2021-03-31,168.2843
2021-02-26,164.6161
2021-01-29,166.2725
2020-12-31,170.1614
2020-11-30,165.9207
2020-10-30,156.6077
2020-09-30,151.3265
2020-08-31,136.1897
2020-07-31,114.8934
2020-06-30,97.1120
2020-05-29,91.1846
2020-04-30,90.0467
2020-03-31,92.5513
2020-02-28,97.3165
2020-01-31,106.3753
2019-12-31,112.0723
2019-11-29,111.7334
2019-10-31,109.2896
2019-09-30,108.8696
2019-08-30,105.1101
2019-07-31,100.1239
2019-06-28,92.8457
2019-05-31,92.2842
2019-04-30,98.0514
2019-03-29,99.0389
2019-02-28,97.1641
2019-01-31,95.4432
2018-12-31,96.5548
2018-11-30,103.1075
2018-10-31,101.9763
2018-09-28,106.1324
2018-08-31,105.9918
2018-07-31,101.9541
2018-06-29,98.2836
2018-05-31,101.0685
2018-04-30,99.2453
2018-03-29,98.6649
2018-02-28,103.0686
2018-01-31,109.6046
2017-12-29,106.0088
2017-11-30,105.2512
2017-10-31,102.5232
2017-09-29,101.0863
2017-08-31,97.2731
2017-07-31,94.8699
2017-06-30,94.1084
2017-05-31,92.7570
2017-04-28,93.4093
2017-03-31,93.9479
2017-02-28,94.7539
2017-01-31,96.7076
2016-12-30,97.9418
2016-11-30,96.3675
2016-10-31,93.0727
2016-09-30,93.0997
2016-08-31,92.0281
2016-07-29,90.3247
2016-06-30,88.6982
2016-05-31,86.3596
2016-04-29,85.4051
2016-03-31,83.2443
2016-02-29,79.7968
2016-01-29,79.7390
2015-12-31,81.9941
2015-11-30,83.6457
2015-10-30,82.2849
2015-09-30,80.6584
2015-08-31,80.6620
2015-07-31,81.2639
2015-06-30,79.9748
2015-05-29,81.0861
2015-04-30,81.4769
2015-03-31,81.7297
2015-02-27,84.0262
2015-01-30,84.7279
2014-12-31,87.5748
2014-11-28,84.9144
2014-10-31,81.4716
2014-09-30,79.3150
2014-08-29,79.5919
2014-07-31,80.4119
2014-06-30,81.9638
2014-05-30,81.0865
2014-04-30,78.9268
2014-03-31,78.7504
2014-02-28,78.8659
2014-01-31,79.6339
2013-12-31,81.0895
2013-11-29,77.6911
2013-10-31,73.7456
2013-09-30,70.1298
2013-08-30,68.1610
2013-07-31,68.0878
2013-06-28,67.4666
2013-05-31,66.5039
2013-04-30,65.1719
2013-03-28,63.3473
2013-02-28,60.4534
2013-01-31,57.7413
2012-12-31,55.7208
2012-11-30,55.5747
2012-10-31,55.6826
2012-09-28,56.0729
2012-08-31,57.4843
2012-07-31,58.3775
2012-06-29,58.9747
2012-05-31,58.1516
2012-04-30,58.7300
2012-03-30,58.1143
2012-02-29,55.7662
2012-01-31,54.0475
2011-12-30,52.3809
2011-11-30,51.0990
2011-10-31,49.9114
2011-09-30,49.1874
2011-08-31,51.6338
2011-07-29,53.1360
2011-06-30,54.6544
2011-05-31,54.9519
2011-04-29,54.9490
2011-03-31,54.2849
2011-02-28,53.4174
2011-01-31,52.1854
2010-12-31,51.4630
2010-11-30,49.7378
2010-10-29,48.1910
2010-09-30,47.3131
2010-08-31,46.1787
2010-07-30,45.7452
2010-06-30,44.6185
2010-05-28,46.6605
2010-04-30,46.6977
2010-03-31,43.7418
2010-02-26,41.4354
2010-01-29,40.5764
2009-12-31,39.8834
2009-11-30,38.9539
2009-10-30,37.4625
2009-09-30,37.1856
2009-08-31,35.4618
2009-07-31,34.3321
2009-06-30,32.8154
2009-05-29,32.4109
2009-04-30,31.4408
2009-03-31,29.8698
2009-02-27,29.2477
2009-01-30,32.3104
2008-12-31,36.7173
2008-11-28,37.7211
2008-10-31,38.2944
2008-09-30,41.6901
2008-08-29,42.3155
2008-07-31,42.8065
2008-06-30,44.3114
2008-05-30,47.3270
2008-04-30,47.5589
2008-03-31,47.4878
2008-02-29,47.1180
2008-01-31,47.8073
2007-12-31,47.8190
2007-11-30,48.8115
2007-10-31,48.9456
2007-09-28,48.6651
2007-08-31,48.2086
2007-07-31,47.3546
2007-06-29,46.1429
2007-05-31,45.5516
2007-04-30,45.1657
2007-03-30,45.4999
2007-02-28,46.1883
2007-01-31,47.2044
2006-12-29,47.9938
2006-11-30,47.9976
2006-10-31,46.7394
2006-09-29,46.1599
2006-08-31,46.7975
2006-07-31,48.5689
2006-06-30,51.7972
2006-05-31,50.7693
2006-04-28,49.9002
2006-03-31,48.4645
2006-02-28,46.9957
2006-01-31,46.7658
2005-12-30,46.4745
