,TEMA_monthly_10
2022-04-04,146.4012
2022-03-31,142.6309
2022-02-28,138.4268
2022-01-31,141.8001
2021-12-31,143.6325
2021-11-30,142.9720
2021-10-29,144.9396
2021-09-30,141.8184
2021-08-31,143.7099
2021-07-30,140.4968
2021-06-30,139.6019
2021-05-28,139.1092
2021-04-30,137.5164
2021-03-31,136.7342
2021-02-26,138.0579
2021-01-29,143.9699
2020-12-31,145.2746
2020-11-30,144.1944
2020-10-30,136.6558
2020-09-30,134.1576
2020-08-31,129.1888
2020-07-31,122.0984
2020-06-30,117.8352
2020-05-29,117.5607
2020-04-30,114.1206
2020-03-31,110.8285
2020-02-28,110.9645
2020-01-31,115.1516
2019-12-31,116.6294
2019-11-29,115.6042
2019-10-31,113.8381
2019-09-30,111.9630
2019-08-30,107.8414
2019-07-31,104.2071
2019-06-28,101.3429
2019-05-31,96.7552
2019-04-30,95.5556
2019-03-29,93.0463
2019-02-28,92.5599
2019-01-31,91.0930
2018-12-31,90.7782
2018-11-30,91.8448
2018-10-31,90.7021
2018-09-28,87.1561
2018-08-31,85.7814
2018-07-31,82.4100
2018-06-29,81.8759
2018-05-31,83.2776
2018-04-30,87.1853
2018-03-29,89.3697
2018-02-28,91.9416
2018-01-31,94.9606
2017-12-29,88.5926
2017-11-30,83.5421
2017-10-31,76.9368
2017-09-29,73.0069
2017-08-31,72.6424
2017-07-31,71.9468
2017-06-30,69.8431
2017-05-31,69.1937
2017-04-28,66.2859
2017-03-31,64.2735
2017-02-28,63.1173
2017-01-31,62.3813
2016-12-30,63.7900
2016-11-30,64.3723
2016-10-31,64.6509
2016-09-30,65.1961
2016-08-31,64.6098
2016-07-29,64.0145
2016-06-30,62.3840
2016-05-31,59.8524
2016-04-29,57.4140
2016-03-31,56.4690
2016-02-29,54.1994
2016-01-29,52.5585
2015-12-31,50.3533
2015-11-30,50.3738
2015-10-30,52.4840
2015-09-30,56.8610
2015-08-31,59.1701
2015-07-31,62.8505
2015-06-30,64.4865
2015-05-29,67.5936
2015-04-30,70.2633
2015-03-31,72.2356
2015-02-27,72.6019
2015-01-30,72.2979
2014-12-31,71.0649
2014-11-28,68.5592
2014-10-31,64.0758
2014-09-30,63.8143
2014-08-29,63.3080
2014-07-31,63.1123
2014-06-30,64.1807
2014-05-30,64.8930
2014-04-30,64.9349
2014-03-31,63.5557
2014-02-28,63.3132
2014-01-31,64.1475
2013-12-31,65.3164
2013-11-29,64.7000
2013-10-31,62.6485
2013-09-30,61.8913
2013-08-30,62.2413
2013-07-31,63.2034
2013-06-28,62.0128
2013-05-31,62.0211
2013-04-30,61.6975
2013-03-28,59.7414
2013-02-28,58.3062
2013-01-31,58.5379
2012-12-31,59.2021
2012-11-30,60.9443
2012-10-31,61.4360
2012-09-28,60.2569
2012-08-31,58.8777
2012-07-31,57.1940
2012-06-29,53.6569
2012-05-31,50.7433
2012-04-30,48.3735
2012-03-30,48.6732
2012-02-29,47.7639
2012-01-31,47.6297
2011-12-30,46.0902
2011-11-30,44.5530
2011-10-31,42.8527
2011-09-30,41.4480
2011-08-31,41.8984
2011-07-29,41.8659
2011-06-30,42.2537
2011-05-31,42.5636
2011-04-29,41.8860
2011-03-31,41.1603
2011-02-28,41.5810
2011-01-31,42.3824
2010-12-31,41.3953
2010-11-30,40.9900
2010-10-29,40.4206
2010-09-30,39.5086
2010-08-31,38.4870
2010-07-30,38.7261
2010-06-30,38.7112
2010-05-28,40.2884
2010-04-30,41.3204
2010-03-31,41.3711
2010-02-26,40.3836
2010-01-29,39.7998
2009-12-31,39.2180
2009-11-30,38.3202
2009-10-30,36.5752
2009-09-30,36.4779
2009-08-31,36.6810
2009-07-31,36.1439
2009-06-30,36.0539
2009-05-29,36.7207
2009-04-30,37.1321
2009-03-31,37.6154
2009-02-27,37.5497
2009-01-30,39.0720
2008-12-31,42.3854
2008-11-28,42.8111
2008-10-31,43.5526
2008-09-30,44.5507
2008-08-29,43.8506
2008-07-31,43.0397
2008-06-30,42.0019
2008-05-30,41.4782
2008-04-30,39.7780
2008-03-31,37.1208
2008-02-29,35.6832
2008-01-31,35.1164
2007-12-31,33.6766
2007-11-30,33.0908
2007-10-31,32.1572
2007-09-28,32.1048
2007-08-31,32.8138
2007-07-31,33.8888
2007-06-29,34.4613
2007-05-31,34.2455
2007-04-30,34.1470
2007-03-30,33.9311
2007-02-28,34.0538
2007-01-31,33.6714
2006-12-29,33.3836
2006-11-30,33.6633
2006-10-31,34.1729
2006-09-29,33.3874
2006-08-31,32.1938
2006-07-31,32.6218
2006-06-30,33.4434
2006-05-31,32.9154
2006-04-28,32.0068
2006-03-31,32.3798
2006-02-28,31.9183
2006-01-31,32.2384
2005-12-30,32.3993
2005-11-30,32.3551
2005-10-31,31.5857
2005-09-30,31.1114
2005-08-31,32.1393
2005-07-29,33.2109
2005-06-30,32.8881
2005-05-31,33.0309
2005-04-29,33.7834
2005-03-31,35.0845
2005-02-28,35.6831
2005-01-31,35.9838
2004-12-31,36.1017
2004-11-30,36.1219
2004-10-29,36.6044
2004-09-30,36.4953
2004-08-31,36.7071
2004-07-30,37.3027
2004-06-30,38.1084
2004-05-28,39.4152
2004-04-30,39.9445
2004-03-31,40.1486
2004-02-27,39.1496
2004-01-30,37.7486
2003-12-31,38.2765
2003-11-28,39.3881
2003-10-31,39.8192
2003-09-30,38.8556
2003-08-29,38.8152
2003-07-31,37.1645
2003-06-30,36.1737
2003-05-30,35.7164
2003-04-30,35.5596
2003-03-31,33.6441
2003-02-28,32.8276
2003-01-31,33.5544
2002-12-31,34.8229
2002-11-29,35.5148
2002-10-31,35.0704
2002-09-30,34.6277
2002-08-30,35.9997
2002-07-31,36.1755
2002-06-28,38.4176
2002-05-31,39.0616
2002-04-30,40.4063
2002-03-28,41.4990
