,TEMA_monthly_10
2022-04-04,434.9329
2022-03-31,456.2478
2022-02-28,500.8094
2022-01-31,566.9464
2021-12-31,598.7609
2021-11-30,585.1893
2021-10-29,566.3149
2021-09-30,571.9744
2021-08-31,588.9574
2021-07-30,561.3979
2021-06-30,539.2952
2021-05-28,517.4504
2021-04-30,502.3017
2021-03-31,481.4312
2021-02-26,447.6133
2021-01-29,383.8821
2020-12-31,361.2755
2020-11-30,327.4829
2020-10-30,279.4409
2020-09-30,270.7744
2020-08-31,277.8505
2020-07-31,264.2830
2020-06-30,247.0760
2020-05-29,237.5418
2020-04-30,219.3767
2020-03-31,213.6239
2020-02-28,235.8982
2020-01-31,249.8468
2019-12-31,250.5502
2019-11-29,239.2943
2019-10-31,224.4999
2019-09-30,210.4688
2019-08-30,210.1242
2019-07-31,209.7488
2019-06-28,204.4198
2019-05-31,196.6544
2019-04-30,209.8313
2019-03-29,201.5364
2019-02-28,189.2011
2019-01-31,176.0479
2018-12-31,173.8617
2018-11-30,179.4316
2018-10-31,172.8568
2018-09-28,171.1372
2018-08-31,160.4592
2018-07-31,147.1510
2018-06-29,149.3710
2018-05-31,148.2234
2018-04-30,138.7306
2018-03-29,136.3794
2018-02-28,129.1518
2018-01-31,118.4408
2017-12-29,112.0948
2017-11-30,115.2131
2017-10-31,114.8718
2017-09-29,109.9263
2017-08-31,106.9714
2017-07-31,105.6768
2017-06-30,104.0419
2017-05-31,101.7578
2017-04-28,95.1530
2017-03-31,91.5499
2017-02-28,87.7081
2017-01-31,81.9111
2016-12-30,77.6812
2016-11-30,69.7594
2016-10-31,62.4681
2016-09-30,60.6517
2016-08-31,55.6616
2016-07-29,48.4523
2016-06-30,49.7708
2016-05-31,54.3420
2016-04-29,59.7116
2016-03-31,61.8833
2016-02-29,61.3501
2016-01-29,66.0163
2015-12-31,74.3863
2015-11-30,80.9419
2015-10-30,83.7990
2015-09-30,90.3692
2015-08-31,100.2568
2015-07-31,110.2709
2015-06-30,107.8402
2015-05-29,101.2622
2015-04-30,91.8875
2015-03-31,89.3490
2015-02-27,86.1027
2015-01-30,80.7152
2014-12-31,77.5580
