,TRIMA_monthly_10
2022-04-04,579.4157
2022-03-31,599.5350
2022-02-28,608.0937
2022-01-31,607.9150
2021-12-31,597.8573
2021-11-30,578.0877
2021-10-29,552.2700
2021-09-30,529.1107
2021-08-31,509.8150
2021-07-30,491.8230
2021-06-30,481.1340
2021-05-28,477.6643
2021-04-30,476.5637
2021-03-31,474.1730
2021-02-26,470.7613
2021-01-29,463.7323
2020-12-31,449.1730
2020-11-30,429.4863
2020-10-30,408.8540
2020-09-30,387.7673
2020-08-31,367.2270
2020-07-31,349.9027
2020-06-30,336.7877
2020-05-29,324.7583
2020-04-30,314.5030
2020-03-31,305.6447
2020-02-28,298.0223
2020-01-31,292.1770
2019-12-31,288.0267
2019-11-29,284.8853
2019-10-31,281.2147
2019-09-30,276.5513
2019-08-30,270.8437
2019-07-31,264.0117
2019-06-28,258.0287
2019-05-31,253.7807
2019-04-30,251.7083
2019-03-29,250.8887
2019-02-28,251.4650
2019-01-31,251.1207
2018-12-31,248.9470
2018-11-30,245.0653
2018-10-31,239.1007
2018-09-28,230.9040
2018-08-31,221.2523
2018-07-31,211.8483
2018-06-29,202.0270
2018-05-31,191.9040
2018-04-30,182.2910
2018-03-29,173.8117
2018-02-28,165.5600
2018-01-31,158.1577
2017-12-29,151.9193
2017-11-30,146.2293
2017-10-31,140.5623
2017-09-29,134.9327
2017-08-31,129.3820
2017-07-31,123.5920
2017-06-30,118.3097
2017-05-31,113.5967
2017-04-28,109.6493
2017-03-31,106.7650
2017-02-28,104.6437
2017-01-31,102.7990
2016-12-30,100.9973
2016-11-30,99.1410
2016-10-31,97.2323
2016-09-30,95.3733
2016-08-31,93.6903
2016-07-29,92.3133
2016-06-30,91.1223
2016-05-31,90.0030
2016-04-29,88.7073
2016-03-31,87.2477
2016-02-29,85.5610
2016-01-29,83.8403
2015-12-31,82.0630
2015-11-30,80.5413
2015-10-30,79.0553
2015-09-30,77.7047
2015-08-31,76.5937
2015-07-31,75.5607
2015-06-30,74.3517
2015-05-29,73.2980
2015-04-30,72.4920
2015-03-31,71.8550
2015-02-27,71.1113
2015-01-30,70.2450
2014-12-31,69.5036
2014-11-28,68.6826
2014-10-31,67.5377
2014-09-30,66.2813
2014-08-29,65.0473
2014-07-31,63.6792
2014-06-30,61.9602
2014-05-30,59.8138
2014-04-30,57.6865
2014-03-31,55.3405
2014-02-28,52.7812
2014-01-31,50.3773
2013-12-31,48.4551
2013-11-29,46.7153
2013-10-31,45.1378
2013-09-30,43.7600
2013-08-30,42.4102
2013-07-31,40.9727
2013-06-28,39.3805
2013-05-31,37.8353
2013-04-30,36.3212
2013-03-28,34.9067
2013-02-28,33.7420
2013-01-31,32.9308
2012-12-31,32.4502
2012-11-30,32.2552
2012-10-31,32.2395
2012-09-28,32.2058
2012-08-31,32.0670
2012-07-31,31.7277
2012-06-29,30.9963
2012-05-31,30.0077
2012-04-30,29.0477
2012-03-30,28.3147
2012-02-29,27.9600
2012-01-31,28.0813
2011-12-30,28.7573
2011-11-30,29.8500
2011-10-31,31.0147
2011-09-30,31.9167
2011-08-31,32.4530
2011-07-29,32.5097
2011-06-30,32.0240
2011-05-31,31.1337
2011-04-29,30.1213
2011-03-31,29.1917
2011-02-28,28.5847
2011-01-31,28.3930
2010-12-31,28.7353
2010-11-30,29.4537
2010-10-29,30.4363
2010-09-30,31.6213
2010-08-31,32.7247
2010-07-30,33.4987
2010-06-30,33.9633
2010-05-28,34.2010
2010-04-30,34.0977
2010-03-31,33.6117
2010-02-26,32.9177
2010-01-29,32.1150
2009-12-31,31.0317
2009-11-30,29.4537
2009-10-30,27.7213
2009-09-30,25.9853
2009-08-31,24.2683
2009-07-31,22.9160
2009-06-30,22.6570
2009-05-29,23.7060
2009-04-30,25.7233
2009-03-31,28.5113
2009-02-27,32.0197
2009-01-30,35.2803
2008-12-31,37.5407
2008-11-28,38.7603
2008-10-31,39.1627
2008-09-30,38.9797
2008-08-29,38.3777
2008-07-31,38.2587
2008-06-30,38.7147
2008-05-30,39.6880
2008-04-30,40.7287
2008-03-31,41.7473
2008-02-29,42.4763
2008-01-31,42.7250
2007-12-31,42.6050
2007-11-30,42.1897
2007-10-31,41.8130
2007-09-28,41.4047
2007-08-31,41.0777
2007-07-31,40.7057
2007-06-29,40.3090
2007-05-31,39.7327
2007-04-30,38.7787
2007-03-30,37.5960
2007-02-28,36.1393
2007-01-31,34.8557
2006-12-29,33.7153
2006-11-30,33.1240
2006-10-31,33.2653
2006-09-29,34.0110
2006-08-31,34.8577
2006-07-31,35.5563
2006-06-30,35.8813
2006-05-31,35.4487
2006-04-28,34.4597
2006-03-31,33.0597
2006-02-28,31.9083
2006-01-31,30.8432
2005-12-30,30.2862
2005-11-30,30.1931
2005-10-31,30.3386
2005-09-30,30.5589
2005-08-31,30.7679
2005-07-29,30.7948
2005-06-30,30.3986
2005-05-31,29.7774
2005-04-29,28.8188
2005-03-31,27.6842
2005-02-28,26.3415
2005-01-31,25.0517
2004-12-31,23.8571
2004-11-30,22.7642
2004-10-29,21.8772
2004-09-30,21.1318
2004-08-31,20.5732
2004-07-30,20.2215
2004-06-30,20.0149
2004-05-28,19.8991
2004-04-30,19.8145
2004-03-31,19.6688
2004-02-27,19.3858
2004-01-30,18.9478
2003-12-31,18.3410
2003-11-28,17.6385
2003-10-31,16.9475
2003-09-30,16.2351
2003-08-29,15.5801
2003-07-31,14.8864
2003-06-30,14.1863
2003-05-30,13.4680
2003-04-30,12.8300
2003-03-31,12.3497
2003-02-28,12.1594
2003-01-31,12.4348
2002-12-31,13.1849
2002-11-29,14.2462
2002-10-31,15.4076
2002-09-30,16.5025
2002-08-30,17.2598
2002-07-31,17.4404
2002-06-28,17.0801
2002-05-31,16.5121
2002-04-30,15.9645
2002-03-28,15.7480
2002-02-28,15.8838
2002-01-31,16.5972
2001-12-31,17.5389
2001-11-30,18.3425
2001-10-31,18.9845
2001-09-28,19.6841
2001-08-31,20.4678
2001-07-31,21.5849
2001-06-29,23.4842
2001-05-31,25.8762
2001-04-30,28.3078
2001-03-30,30.4614
2001-02-28,31.9979
2001-01-31,32.5690
2000-12-29,32.1804
2000-11-30,31.3354
2000-10-31,29.8854
2000-09-29,28.0175
