,TRIMA_monthly_10
2018-11-28,187.1384
2018-10-31,183.1654
2018-09-28,180.3049
2018-08-31,178.2208
2018-07-31,176.9628
2018-06-29,176.1479
2018-05-31,174.7488
2018-04-30,172.3814
2018-03-29,168.9395
2018-02-28,164.6330
2018-01-31,159.5065
2017-12-29,153.9872
2017-11-30,148.5917
2017-10-31,142.9691
2017-09-29,137.6065
2017-08-31,132.9407
2017-07-31,128.4098
2017-06-30,124.4491
2017-05-31,121.2933
2017-04-28,118.9458
2017-03-31,117.0042
2017-02-28,115.4017
2017-01-31,114.3544
2016-12-30,113.5863
2016-11-30,112.6537
2016-10-31,111.3504
2016-09-30,110.1666
2016-08-31,108.4835
2016-07-29,106.9818
2016-06-30,105.6606
2016-05-31,104.9627
2016-04-29,105.0787
2016-03-31,106.1562
2016-02-29,107.6440
2016-01-29,108.9725
2015-12-31,110.0189
2015-11-30,110.2249
2015-10-30,109.1301
2015-09-30,106.3044
2015-08-31,102.7472
2015-07-31,98.5016
2015-06-30,93.9190
2015-05-29,89.4571
2015-04-30,85.7787
2015-03-31,82.8394
2015-02-27,80.3723
2015-01-30,78.3720
2014-12-31,76.7393
2014-11-28,75.2653
2014-10-31,73.7482
2014-09-30,72.1446
2014-08-29,70.6204
2014-07-31,69.0117
2014-06-30,67.3572
2014-05-30,65.7008
2014-04-30,64.3105
2014-03-31,63.0358
2014-02-28,61.7696
2014-01-31,60.6856
2013-12-31,59.4926
2013-11-29,57.9239
2013-10-31,56.0150
2013-09-30,53.8355
2013-08-30,51.2829
2013-07-31,48.7043
2013-06-28,46.2746
2013-05-31,44.0721
2013-04-30,42.0319
2013-03-28,40.2970
2013-02-28,38.9221
2013-01-31,37.9175
2012-12-31,37.5125
2012-11-30,37.7450
2012-10-31,38.4486
2012-09-28,39.3306
2012-08-31,40.2326
2012-07-31,40.6786
2012-06-29,40.4434
2012-05-31,39.7657
2012-04-30,38.9140
2012-03-30,38.0915
2012-02-29,37.4574
2012-01-31,37.2974
2011-12-30,37.3791
2011-11-30,37.4491
2011-10-31,37.2027
2011-09-30,36.4927
2011-08-31,35.3116
2011-07-29,33.7506
2011-06-30,32.1021
2011-05-31,30.3987
2011-04-29,28.9566
2011-03-31,27.8195
2011-02-28,27.0225
2011-01-31,26.3935
2010-12-31,26.1937
2010-11-30,26.2479
2010-10-29,26.4924
2010-09-30,26.9129
2010-08-31,27.3412
2010-07-30,27.5561
2010-06-30,27.4508
2010-05-28,27.2351
2010-04-30,26.7667
2010-03-31,26.0976
2010-02-26,25.4644
2010-01-29,24.9312
2009-12-31,24.3384
2009-11-30,23.6977
2009-10-30,23.3808
2009-09-30,23.2398
2009-08-31,23.0703
2009-07-31,23.0917
2009-06-30,23.6069
2009-05-29,24.5804
2009-04-30,25.7499
2009-03-31,27.4306
2009-02-27,29.7893
2009-01-30,32.3587
2008-12-31,34.5286
2008-11-28,36.5930
2008-10-31,38.6656
2008-09-30,40.4937
2008-08-29,42.0199
2008-07-31,43.7437
2008-06-30,45.6387
2008-05-30,47.2027
2008-04-30,48.0904
2008-03-31,48.4629
2008-02-29,48.3673
2008-01-31,47.6257
2007-12-31,46.5299
2007-11-30,45.3901
2007-10-31,44.3245
2007-09-28,43.1616
2007-08-31,41.9285
2007-07-31,40.8394
2007-06-29,39.8229
2007-05-31,38.7741
2007-04-30,37.5902
2007-03-30,36.6573
2007-02-28,35.8092
2007-01-31,35.0082
2006-12-29,34.7064
2006-11-30,35.1404
2006-10-31,36.1827
2006-09-29,37.5294
2006-08-31,39.1925
2006-07-31,40.7402
2006-06-30,41.6913
2006-05-31,41.7966
2006-04-28,41.3919
2006-03-31,40.5793
2006-02-28,39.3748
2006-01-31,38.1251
2005-12-30,37.0436
2005-11-30,36.1545
2005-10-31,35.2301
2005-09-30,34.2166
2005-08-31,33.1495
2005-07-29,31.8612
2005-06-30,30.2969
2005-05-31,28.5396
2005-04-29,26.7794
2005-03-31,25.0020
2005-02-28,23.3333
2005-01-31,21.9487
2004-12-31,20.8890
2004-11-30,20.0507
2004-10-29,19.3929
2004-09-30,18.8850
2004-08-31,18.3427
2004-07-30,17.6863
2004-06-30,16.9031
2004-05-28,16.0595
2004-04-30,15.2835
2004-03-31,14.5783
2004-02-27,14.0113
2004-01-30,13.6031
2003-12-31,13.2860
2003-11-28,12.9204
2003-10-31,12.4743
2003-09-30,11.9375
2003-08-29,11.3101
2003-07-31,10.6991
2003-06-30,10.0983
2003-05-30,9.6370
2003-04-30,9.3203
2003-03-31,9.2025
2003-02-28,9.2320
2003-01-31,9.4179
2002-12-31,9.6230
2002-11-29,9.7704
2002-10-31,9.7969
2002-09-30,9.6353
2002-08-30,9.2937
2002-07-31,8.7794
2002-06-28,8.2469
2002-05-31,7.7451
2002-04-30,7.3093
2002-03-28,6.9450
2002-02-28,6.6720
2002-01-31,6.4779
2001-12-31,6.3756
2001-11-30,6.3749
2001-10-31,6.5028
2001-09-28,6.8035
2001-08-31,7.1772
2001-07-31,7.5037
2001-06-29,7.7227
2001-05-31,7.7966
2001-04-30,7.6774
2001-03-30,7.4112
2001-02-28,7.1348
2001-01-31,6.9089
2000-12-29,6.7404
2000-11-30,6.5937
2000-10-31,6.5055
2000-09-29,6.3880
