,TRIMA_monthly_10
2022-04-04,112.4317
2022-03-31,111.7690
2022-02-28,111.6567
2022-01-31,112.1457
2021-12-31,112.3787
2021-11-30,111.8077
2021-10-29,110.9550
2021-09-30,109.6650
2021-08-31,107.9103
2021-07-30,105.7927
2021-06-30,104.5880
2021-05-28,104.4107
2021-04-30,104.6673
2021-03-31,105.3507
2021-02-26,106.5630
2021-01-29,107.5737
2020-12-31,107.2183
2020-11-30,105.8187
2020-10-30,103.7127
2020-09-30,100.8400
2020-08-31,97.2583
2020-07-31,93.9380
2020-06-30,91.6113
2020-05-29,90.0083
2020-04-30,88.9217
2020-03-31,88.2497
2020-02-28,87.5593
2020-01-31,86.6580
2019-12-31,85.0137
2019-11-29,82.8943
2019-10-31,80.2153
2019-09-30,77.2930
2019-08-30,74.3650
2019-07-31,71.8323
2019-06-28,69.9967
2019-05-31,69.1113
2019-04-30,69.2000
2019-03-29,69.9140
2019-02-28,71.1093
2019-01-31,72.2367
2018-12-31,73.1090
2018-11-30,73.3867
2018-10-31,72.9837
2018-09-28,72.0867
2018-08-31,70.5563
2018-07-31,68.4517
2018-06-29,65.8610
2018-05-31,62.8690
2018-04-30,59.4883
2018-03-29,56.2533
2018-02-28,53.3773
2018-01-31,51.5330
2017-12-29,50.7317
2017-11-30,51.1070
2017-10-31,52.7050
2017-09-29,55.1530
2017-08-31,57.9630
2017-07-31,60.6913
2017-06-30,62.6810
2017-05-31,63.6990
2017-04-28,63.5527
2017-03-31,62.3963
2017-02-28,60.5517
2017-01-31,58.3147
2016-12-30,56.4203
2016-11-30,55.0970
2016-10-31,53.9683
2016-09-30,53.1337
2016-08-31,53.0160
2016-07-29,53.1400
2016-06-30,53.7447
2016-05-31,55.0910
2016-04-29,57.5837
2016-03-31,60.5483
2016-02-29,63.8073
2016-01-29,67.0487
2015-12-31,69.7782
2015-11-30,71.4113
2015-10-30,71.8530
2015-09-30,71.4440
2015-08-31,70.2143
2015-07-31,68.4692
2015-06-30,66.4092
2015-05-29,64.6647
2015-04-30,63.1777
2015-03-31,62.0160
2015-02-27,60.9613
2015-01-30,60.0405
2014-12-31,59.3697
2014-11-28,58.6937
2014-10-31,57.7030
2014-09-30,56.5920
2014-08-29,55.4013
2014-07-31,53.9865
2014-06-30,52.3310
2014-05-30,50.5485
2014-04-30,49.2127
2014-03-31,48.0432
2014-02-28,47.1975
2014-01-31,46.5407
2013-12-31,45.8428
2013-11-29,44.8603
2013-10-31,43.8158
2013-09-30,42.6700
2013-08-30,41.2357
2013-07-31,40.1500
2013-06-28,39.4630
2013-05-31,39.0107
2013-04-30,38.4287
2013-03-28,37.8580
2013-02-28,37.2420
2013-01-31,36.3480
2012-12-31,35.3837
2012-11-30,34.5533
2012-10-31,33.9300
2012-09-28,33.5670
2012-08-31,33.3697
2012-07-31,33.0360
