,TRIMA_monthly_10
2022-04-04,200.7468
2022-03-31,199.5063
2022-02-28,197.5156
2022-01-31,195.1024
2021-12-31,191.2544
2021-11-30,185.6673
2021-10-29,180.3145
2021-09-30,175.5549
2021-08-31,171.0847
2021-07-30,166.5349
2021-06-30,163.3751
2021-05-28,161.6183
2021-04-30,160.3215
2021-03-31,158.9819
2021-02-26,158.2820
2021-01-29,157.9015
2020-12-31,156.5134
2020-11-30,154.2674
2020-10-30,152.0761
2020-09-30,150.1800
2020-08-31,148.3808
2020-07-31,147.3623
2020-06-30,147.4102
2020-05-29,147.8623
2020-04-30,147.8156
2020-03-31,146.8555
2020-02-28,145.3437
2020-01-31,142.7856
2019-12-31,139.9325
2019-11-29,137.1773
2019-10-31,134.6129
2019-09-30,131.7614
2019-08-30,128.7474
2019-07-31,125.4735
2019-06-28,122.1150
2019-05-31,118.9748
2019-04-30,116.4953
2019-03-29,115.0248
2019-02-28,114.1911
2019-01-31,113.9495
2018-12-31,113.9185
2018-11-30,113.8149
2018-10-31,113.4490
2018-09-28,113.2028
2018-08-31,112.9522
2018-07-31,112.7147
2018-06-29,112.5153
2018-05-31,112.2537
2018-04-30,111.6135
2018-03-29,110.6108
2018-02-28,109.3223
2018-01-31,107.8753
2017-12-29,106.1825
2017-11-30,104.6824
2017-10-31,103.1806
2017-09-29,101.7134
2017-08-31,100.3777
2017-07-31,99.1544
2017-06-30,97.9420
2017-05-31,96.7699
2017-04-28,95.9148
2017-03-31,95.0506
2017-02-28,93.9647
2017-01-31,92.5112
2016-12-30,90.8185
2016-11-30,88.2114
2016-10-31,84.8865
2016-09-30,81.5496
2016-08-31,78.4990
2016-07-29,75.8667
2016-06-30,73.9370
2016-05-31,73.1388
2016-04-29,73.0932
2016-03-31,73.1043
2016-02-29,73.2220
2016-01-29,73.5847
2015-12-31,74.1214
2015-11-30,74.5542
2015-10-30,75.1996
2015-09-30,75.8682
2015-08-31,76.2856
2015-07-31,76.0872
2015-06-30,74.9632
2015-05-29,73.2552
2015-04-30,71.0008
2015-03-31,68.6311
2015-02-27,66.2501
2015-01-30,64.2799
2014-12-31,62.7356
2014-11-28,61.5291
2014-10-31,60.3998
2014-09-30,59.1678
2014-08-29,57.8480
2014-07-31,56.3497
2014-06-30,54.8003
2014-05-30,53.1967
2014-04-30,51.9187
2014-03-31,51.0319
2014-02-28,50.4916
2014-01-31,50.3574
2013-12-31,50.6854
2013-11-29,51.3021
2013-10-31,51.9680
2013-09-30,52.5942
2013-08-30,53.0352
2013-07-31,53.2407
2013-06-28,53.2712
2013-05-31,53.2743
2013-04-30,53.2143
2013-03-28,53.2547
2013-02-28,53.3723
2013-01-31,53.5410
2012-12-31,53.6327
2012-11-30,53.6486
2012-10-31,53.5555
2012-09-28,53.3571
2012-08-31,52.9804
2012-07-31,52.4006
2012-06-29,51.5912
2012-05-31,50.8344
2012-04-30,50.3983
2012-03-30,50.2337
2012-02-29,50.6923
2012-01-31,51.8217
2011-12-30,53.3258
2011-11-30,54.7808
2011-10-31,55.9169
2011-09-30,56.5487
2011-08-31,56.4224
2011-07-29,55.6922
2011-06-30,54.5968
2011-05-31,53.3666
2011-04-29,52.0842
2011-03-31,50.9465
2011-02-28,49.9929
2011-01-31,49.1692
2010-12-31,48.5477
2010-11-30,47.9016
2010-10-29,47.2382
2010-09-30,46.6243
2010-08-31,45.8621
2010-07-30,44.7715
2010-06-30,43.5556
2010-05-28,42.4563
2010-04-30,40.8389
2010-03-31,38.7785
2010-02-26,36.6336
2010-01-29,34.3891
2009-12-31,31.8686
2009-11-30,29.4691
2009-10-30,28.1844
2009-09-30,27.9046
2009-08-31,28.2011
2009-07-31,29.6197
2009-06-30,33.0676
2009-05-29,37.5284
2009-04-30,42.3993
2009-03-31,47.8938
2009-02-27,53.9751
2009-01-30,59.1622
2008-12-31,62.4291
2008-11-28,64.3881
2008-10-31,65.4217
2008-09-30,65.2322
2008-08-29,64.1341
2008-07-31,63.4237
2008-06-30,63.1354
2008-05-30,62.9967
2008-04-30,62.5159
2008-03-31,62.0641
2008-02-29,61.8023
2008-01-31,61.5199
2007-12-31,61.2899
2007-11-30,61.5608
2007-10-31,62.4016
2007-09-28,63.1726
2007-08-31,63.8451
2007-07-31,64.3043
2007-06-29,64.3809
2007-05-31,63.8444
2007-04-30,62.9459
2007-03-30,61.8528
2007-02-28,60.4982
2007-01-31,59.0935
2006-12-29,57.8692
2006-11-30,56.7317
2006-10-31,55.7113
2006-09-29,54.9194
2006-08-31,54.3175
2006-07-31,53.4907
2006-06-30,52.6125
2006-05-31,51.7379
2006-04-28,50.8714
2006-03-31,49.8643
2006-02-28,48.7636
2006-01-31,47.6819
2005-12-30,46.3622
2005-11-30,44.9045
2005-10-31,43.3131
2005-09-30,42.0298
2005-08-31,41.0330
2005-07-29,40.3451
2005-06-30,39.9811
2005-05-31,39.8519
2005-04-29,39.5846
2005-03-31,38.9318
2005-02-28,38.0119
2005-01-31,36.8899
2004-12-31,35.7564
2004-11-30,34.6814
2004-10-29,33.9792
2004-09-30,33.6221
2004-08-31,33.4666
2004-07-30,33.2602
2004-06-30,32.8430
2004-05-28,32.1242
2004-04-30,31.0874
2004-03-31,29.7809
2004-02-27,28.3653
2004-01-30,27.0705
2003-12-31,25.9388
2003-11-28,25.0127
2003-10-31,24.2563
2003-09-30,23.6840
2003-08-29,23.2095
2003-07-31,22.8399
2003-06-30,22.5640
2003-05-30,22.4109
2003-04-30,22.3249
2003-03-31,22.4108
2003-02-28,22.6027
2003-01-31,22.8615
2002-12-31,23.1164
2002-11-29,23.2967
2002-10-31,23.3240
2002-09-30,23.1110
2002-08-30,22.7481
2002-07-31,22.2548
2002-06-28,21.7190
2002-05-31,21.2070
2002-04-30,20.8181
2002-03-28,20.4943
2002-02-28,20.1811
2002-01-31,19.9045
2001-12-31,19.6232
2001-11-30,19.3278
2001-10-31,18.9990
2001-09-28,18.7124
2001-08-31,18.4794
2001-07-31,18.2231
2001-06-29,17.9461
2001-05-31,17.6780
2001-04-30,17.4520
2001-03-30,17.1853
2001-02-28,16.9315
2001-01-31,16.7041
2000-12-29,16.4643
2000-11-30,16.1566
2000-10-31,15.7897
2000-09-29,15.4237
