,TRIMA_monthly_10
2022-04-04,42.2046
2022-03-31,44.3293
2022-02-28,46.7504
2022-01-31,49.6871
2021-12-31,52.9802
2021-11-30,56.2466
2021-10-29,58.8993
2021-09-30,60.2315
2021-08-31,60.4582
2021-07-30,59.1804
2021-06-30,56.6499
2021-05-28,53.5198
2021-04-30,50.4811
2021-03-31,47.7143
2021-02-26,45.2239
2021-01-29,42.7320
2020-12-31,39.8069
2020-11-30,36.5399
2020-10-30,32.9016
2020-09-30,29.2446
2020-08-31,25.7877
2020-07-31,23.2342
2020-06-30,21.9963
2020-05-29,21.3750
2020-04-30,21.1420
2020-03-31,21.4716
2020-02-28,22.0661
2020-01-31,22.8089
2019-12-31,23.7408
2019-11-29,24.9841
2019-10-31,26.4136
2019-09-30,27.6507
2019-08-30,28.8931
2019-07-31,29.8561
2019-06-28,30.6614
2019-05-31,31.6245
2019-04-30,32.9248
2019-03-29,34.1318
2019-02-28,35.1364
2019-01-31,36.0607
2018-12-31,36.6982
2018-11-30,37.3657
2018-10-31,38.1540
2018-09-28,39.4332
2018-08-31,41.2094
2018-07-31,43.1922
2018-06-29,45.0874
2018-05-31,46.2414
2018-04-30,46.6663
2018-03-29,46.3456
2018-02-28,45.4776
2018-01-31,44.2987
2017-12-29,43.2262
2017-11-30,42.5786
2017-10-31,42.1652
2017-09-29,42.0997
2017-08-31,42.1101
2017-07-31,42.0630
2017-06-30,41.8859
2017-05-31,41.6457
2017-04-28,41.4429
2017-03-31,41.1882
2017-02-28,41.1805
2017-01-31,41.2695
2016-12-30,41.3473
2016-11-30,41.0902
2016-10-31,40.4357
2016-09-30,39.4132
2016-08-31,38.1169
2016-07-29,36.8942
2016-06-30,35.9893
2016-05-31,35.6928
2016-04-29,35.8399
2016-03-31,36.3699
2016-02-29,36.8658
2016-01-29,37.2768
2015-12-31,37.4831
2015-11-30,37.5605
2015-10-30,37.5355
2015-09-30,37.4053
2015-08-31,37.4774
2015-07-31,37.5493
2015-06-30,37.4937
2015-05-29,37.3260
2015-04-30,37.2350
2015-03-31,37.1068
2015-02-27,36.7513
2015-01-30,36.3666
2014-12-31,35.8808
2014-11-28,35.0066
2014-10-31,33.5314
2014-09-30,31.9304
2014-08-29,30.3935
2014-07-31,28.9201
2014-06-30,27.8825
2014-05-30,27.4635
2014-04-30,27.6567
2014-03-31,27.9401
2014-02-28,28.1927
2014-01-31,28.4680
2013-12-31,28.5363
2013-11-29,28.2963
2013-10-31,27.9697
2013-09-30,27.6756
2013-08-30,27.2214
2013-07-31,26.6200
2013-06-28,25.9225
2013-05-31,25.2552
2013-04-30,24.8954
2013-03-28,25.0259
2013-02-28,25.5837
2013-01-31,26.4967
2012-12-31,27.8483
2012-11-30,29.3358
2012-10-31,30.4640
2012-09-28,31.2796
2012-08-31,31.9835
2012-07-31,32.3540
2012-06-29,32.1433
2012-05-31,31.6924
2012-04-30,31.1975
2012-03-30,30.4882
2012-02-29,29.5704
2012-01-31,28.9650
2011-12-30,28.8587
2011-11-30,29.0697
2011-10-31,29.3229
2011-09-30,29.6840
2011-08-31,29.8788
2011-07-29,29.5801
2011-06-30,28.8156
2011-05-31,27.8701
2011-04-29,27.0647
2011-03-31,26.3775
2011-02-28,26.0783
2011-01-31,26.2368
2010-12-31,26.7435
2010-11-30,27.2426
2010-10-29,27.5391
2010-09-30,27.6260
2010-08-31,27.1990
2010-07-30,26.3329
2010-06-30,25.0997
2010-05-28,23.8078
2010-04-30,22.4552
2010-03-31,21.2187
2010-02-26,20.3348
2010-01-29,19.8273
2009-12-31,19.4232
2009-11-30,18.8969
2009-10-30,18.3264
2009-09-30,17.5813
2009-08-31,16.6188
2009-07-31,15.6841
2009-06-30,15.2056
2009-05-29,15.3636
2009-04-30,16.1552
2009-03-31,17.5453
2009-02-27,19.3860
2009-01-30,21.1071
2008-12-31,22.3010
2008-11-28,22.6949
2008-10-31,22.2856
2008-09-30,21.1017
2008-08-29,19.5144
2008-07-31,17.9938
2008-06-30,17.0184
2008-05-30,16.7432
2008-04-30,17.1070
2008-03-31,18.1655
2008-02-29,19.6514
2008-01-31,21.1555
2007-12-31,22.3508
2007-11-30,23.1892
2007-10-31,23.6682
2007-09-28,23.6270
2007-08-31,23.1174
2007-07-31,22.2698
2007-06-29,21.2416
2007-05-31,20.0324
2007-04-30,18.7351
2007-03-30,17.5281
2007-02-28,16.4563
2007-01-31,15.5148
2006-12-29,14.5951
2006-11-30,13.7865
2006-10-31,13.0600
2006-09-29,12.3609
2006-08-31,11.7345
2006-07-31,11.1880
2006-06-30,10.7134
2006-05-31,10.2896
2006-04-28,9.9914
2006-03-31,9.8321
2006-02-28,9.7603
2006-01-31,9.7310
2005-12-30,9.7536
2005-11-30,9.7832
2005-10-31,9.7337
2005-09-30,9.6443
2005-08-31,9.5639
2005-07-29,9.5152
2005-06-30,9.4759
2005-05-31,9.4966
2005-04-29,9.5736
2005-03-31,9.7417
2005-02-28,9.9317
2005-01-31,10.1636
2004-12-31,10.4427
2004-11-30,10.7548
2004-10-29,11.0551
2004-09-30,11.2674
2004-08-31,11.4332
2004-07-30,11.5607
2004-06-30,11.6640
2004-05-28,11.8214
2004-04-30,12.0200
2004-03-31,12.2399
2004-02-27,12.4086
2004-01-30,12.4750
2003-12-31,12.3139
2003-11-28,11.9231
2003-10-31,11.4318
2003-09-30,10.9200
2003-08-29,10.4508
2003-07-31,10.2140
2003-06-30,10.2955
2003-05-30,10.6114
2003-04-30,11.0863
2003-03-31,11.7593
2003-02-28,12.4624
2003-01-31,13.0116
2002-12-31,13.3568
2002-11-29,13.4773
2002-10-31,13.2661
2002-09-30,12.6653
2002-08-30,11.8664
2002-07-31,10.9006
2002-06-28,9.8943
2002-05-31,8.9923
2002-04-30,8.4046
2002-03-28,8.1335
2002-02-28,8.1731
2002-01-31,8.4621
2001-12-31,8.8521
2001-11-30,9.3093
2001-10-31,9.6750
2001-09-28,9.8628
2001-08-31,9.8374
2001-07-31,9.7885
2001-06-29,9.7007
2001-05-31,9.5658
2001-04-30,9.4845
2001-03-30,9.5587
2001-02-28,9.7554
2001-01-31,9.8744
2000-12-29,9.9869
2000-11-30,10.0640
2000-10-31,10.1663
2000-09-29,10.2368
