,TRIMA_monthly_10
2022-04-04,42.6063
2022-03-31,42.6740
2022-02-28,42.9253
2022-01-31,43.2223
2021-12-31,43.3287
2021-11-30,43.1327
2021-10-29,42.5887
2021-09-30,41.6683
2021-08-31,40.4190
2021-07-30,39.0167
2021-06-30,37.8120
2021-05-28,37.0207
2021-04-30,36.5607
2021-03-31,36.3860
2021-02-26,36.6837
2021-01-29,37.1030
2020-12-31,37.2617
2020-11-30,37.1950
2020-10-30,37.2663
2020-09-30,37.5133
2020-08-31,37.8287
2020-07-31,38.4707
2020-06-30,39.5023
2020-05-29,40.6020
2020-04-30,41.3843
2020-03-31,41.9167
2020-02-28,42.1470
2020-01-31,41.9560
2019-12-31,41.5100
2019-11-29,40.9573
2019-10-31,40.3357
2019-09-30,39.6207
2019-08-30,39.0337
2019-07-31,38.4910
2019-06-28,38.0393
2019-05-31,37.5793
2019-04-30,37.2227
2019-03-29,36.8027
2019-02-28,36.1727
2019-01-31,35.2913
2018-12-31,34.1893
2018-11-30,32.9620
2018-10-31,31.6343
2018-09-28,30.2857
2018-08-31,29.0473
2018-07-31,28.1623
2018-06-29,27.6157
2018-05-31,27.2670
2018-04-30,27.1373
2018-03-29,27.2423
2018-02-28,27.3917
2018-01-31,27.4207
2017-12-29,27.2967
2017-11-30,27.1173
2017-10-31,26.7550
2017-09-29,26.1647
2017-08-31,25.4140
2017-07-31,24.6607
2017-06-30,23.9717
2017-05-31,23.3437
2017-04-28,22.9260
2017-03-31,22.7853
2017-02-28,22.8657
2017-01-31,22.9790
2016-12-30,22.9503
2016-11-30,22.6863
2016-10-31,22.1393
2016-09-30,21.3530
2016-08-31,20.4217
2016-07-29,19.5353
2016-06-30,18.7970
2016-05-31,18.2757
2016-04-29,17.9123
2016-03-31,17.6720
2016-02-29,17.5527
2016-01-29,17.4980
2015-12-31,17.4960
2015-11-30,17.5057
2015-10-30,17.4557
2015-09-30,17.2577
2015-08-31,16.8950
2015-07-31,16.3363
2015-06-30,15.5743
2015-05-29,14.7560
2015-04-30,14.0183
2015-03-31,13.4447
2015-02-27,13.0210
2015-01-30,12.7730
2014-12-31,12.7227
2014-11-28,12.7540
2014-10-31,12.8263
2014-09-30,12.8750
2014-08-29,12.9043
2014-07-31,12.8460
2014-06-30,12.7143
2014-05-30,12.4737
2014-04-30,12.1710
2014-03-31,11.8183
2014-02-28,11.4183
2014-01-31,10.9377
2013-12-31,10.4100
2013-11-29,9.8630
2013-10-31,9.2927
2013-09-30,8.6823
2013-08-30,8.0887
2013-07-31,7.5477
2013-06-28,7.0440
2013-05-31,6.5890
2013-04-30,6.1753
2013-03-28,5.8830
2013-02-28,5.6757
2013-01-31,5.5747
2012-12-31,5.5480
2012-11-30,5.6253
2012-10-31,5.7310
2012-09-28,5.8190
2012-08-31,5.8750
2012-07-31,5.9107
2012-06-29,5.9167
2012-05-31,5.9150
2012-04-30,5.9643
2012-03-30,6.0607
2012-02-29,6.2120
2012-01-31,6.4190
2011-12-30,6.6500
2011-11-30,6.8537
2011-10-31,6.9990
2011-09-30,7.1237
2011-08-31,7.1697
2011-07-29,7.1363
2011-06-30,7.0550
2011-05-31,6.9140
2011-04-29,6.7050
2011-03-31,6.4623
2011-02-28,6.2440
2011-01-31,6.0773
2010-12-31,6.0127
2010-11-30,6.0790
2010-10-29,6.3053
2010-09-30,6.6507
2010-08-31,7.0570
2010-07-30,7.4683
2010-06-30,7.9070
2010-05-28,8.3783
2010-04-30,8.8133
2010-03-31,9.2090
2010-02-26,9.5977
2010-01-29,9.8837
2009-12-31,9.9480
2009-11-30,9.7843
2009-10-30,9.5203
2009-09-30,9.1420
2009-08-31,8.6463
2009-07-31,8.2593
2009-06-30,8.1740
2009-05-29,8.3357
2009-04-30,8.6780
2009-03-31,9.2797
2009-02-27,10.0980
2009-01-30,10.9157
2008-12-31,11.5687
2008-11-28,12.1220
2008-10-31,12.5323
2008-09-30,12.6833
2008-08-29,12.6690
2008-07-31,12.6527
2008-06-30,12.6713
2008-05-30,12.6893
2008-04-30,12.7627
2008-03-31,12.9817
2008-02-29,13.2840
2008-01-31,13.6027
2007-12-31,13.9330
2007-11-30,14.3460
2007-10-31,14.8120
2007-09-28,15.2380
2007-08-31,15.6177
2007-07-31,15.9933
2007-06-29,16.2613
2007-05-31,16.3903
2007-04-30,16.4100
2007-03-30,16.4123
2007-02-28,16.5600
2007-01-31,16.9437
2006-12-29,17.5650
2006-11-30,18.4670
2006-10-31,19.5423
2006-09-29,20.7117
2006-08-31,21.8300
2006-07-31,22.7357
2006-06-30,23.4193
2006-05-31,24.0230
2006-04-28,24.6077
2006-03-31,25.0827
2006-02-28,25.5153
2006-01-31,26.0860
2005-12-30,26.7720
2005-11-30,27.4147
2005-10-31,28.1107
2005-09-30,29.0713
2005-08-31,30.1407
2005-07-29,31.2033
2005-06-30,32.4213
2005-05-31,33.6047
2005-04-29,34.6763
2005-03-31,35.7323
2005-02-28,36.9140
2005-01-31,37.9440
2004-12-31,38.9600
2004-11-30,39.9733
2004-10-29,40.8293
2004-09-30,41.1677
2004-08-31,41.0293
2004-07-30,40.5583
2004-06-30,39.5673
