,TRIMA_monthly_10
2022-04-04,219.1877
2022-03-31,214.2103
2022-02-28,209.7433
2022-01-31,206.2386
2021-12-31,204.3344
2021-11-30,203.0445
2021-10-29,201.4010
2021-09-30,198.8340
2021-08-31,195.3894
2021-07-30,189.8831
2021-06-30,183.1819
2021-05-28,176.6176
2021-04-30,170.4716
2021-03-31,165.1164
2021-02-26,161.7124
2021-01-29,160.4384
2020-12-31,160.1884
2020-11-30,161.2314
2020-10-30,164.5662
2020-09-30,168.8621
2020-08-31,172.8463
2020-07-31,177.4384
2020-06-30,182.4332
2020-05-29,186.3309
2020-04-30,188.2592
2020-03-31,189.3616
2020-02-28,189.3634
2020-01-31,187.4324
2019-12-31,183.5868
2019-11-29,179.4393
2019-10-31,175.1988
2019-09-30,171.0967
2019-08-30,167.6944
2019-07-31,165.7970
2019-06-28,165.1065
2019-05-31,164.5235
2019-04-30,163.3854
2019-03-29,161.5917
2019-02-28,158.9105
2019-01-31,155.3455
2018-12-31,151.7961
2018-11-30,148.7350
2018-10-31,146.2868
2018-09-28,144.1228
2018-08-31,142.2244
2018-07-31,139.8809
2018-06-29,136.9326
2018-05-31,132.8756
2018-04-30,128.3562
2018-03-29,123.6377
2018-02-28,118.6940
2018-01-31,114.0126
2017-12-29,110.1238
2017-11-30,107.1039
2017-10-31,104.7385
2017-09-29,103.0174
2017-08-31,101.6916
2017-07-31,100.3245
2017-06-30,98.6032
2017-05-31,96.4784
2017-04-28,94.0315
2017-03-31,91.2179
2017-02-28,88.5241
2017-01-31,86.0923
2016-12-30,83.8824
2016-11-30,81.8212
2016-10-31,80.0021
2016-09-30,78.4095
2016-08-31,76.9535
2016-07-29,75.7222
2016-06-30,74.7878
2016-05-31,74.1983
2016-04-29,73.8858
2016-03-31,73.6546
2016-02-29,73.3465
2016-01-29,73.1164
2015-12-31,72.9348
2015-11-30,72.7050
2015-10-30,72.2116
2015-09-30,71.6957
2015-08-31,70.9823
2015-07-31,69.9931
2015-06-30,68.5477
2015-05-29,66.8437
2015-04-30,64.9257
2015-03-31,62.8111
2015-02-27,60.6103
2015-01-30,58.4976
2014-12-31,56.7723
2014-11-28,55.3079
2014-10-31,54.3510
2014-09-30,53.8915
2014-08-29,53.9455
2014-07-31,54.1862
2014-06-30,54.4367
2014-05-30,54.5502
2014-04-30,54.4087
2014-03-31,53.9689
2014-02-28,53.1642
2014-01-31,52.1090
2013-12-31,50.8834
2013-11-29,49.4662
2013-10-31,47.7929
2013-09-30,45.8630
2013-08-30,43.9204
2013-07-31,42.1229
2013-06-28,40.4631
2013-05-31,39.0393
2013-04-30,38.0410
2013-03-28,37.4048
2013-02-28,36.8322
2013-01-31,36.3272
2012-12-31,35.9749
2012-11-30,35.8348
2012-10-31,35.5554
2012-09-28,35.2413
2012-08-31,34.9449
2012-07-31,34.6696
2012-06-29,34.1481
2012-05-31,33.6389
2012-04-30,33.4660
2012-03-30,33.5481
2012-02-29,33.7601
2012-01-31,34.2598
2011-12-30,35.0905
2011-11-30,35.8964
2011-10-31,36.5799
2011-09-30,37.2351
2011-08-31,37.8168
2011-07-29,38.1403
2011-06-30,38.1062
2011-05-31,37.7285
2011-04-29,37.1013
2011-03-31,36.2958
2011-02-28,35.6350
2011-01-31,35.3117
2010-12-31,35.4848
2010-11-30,36.0065
2010-10-29,36.7313
2010-09-30,37.5638
2010-08-31,38.2797
2010-07-30,38.6532
2010-06-30,38.7705
2010-05-28,38.8097
2010-04-30,38.5902
2010-03-31,38.2195
2010-02-26,37.9315
2010-01-29,37.3431
2009-12-31,36.5454
2009-11-30,35.3358
2009-10-30,33.8009
2009-09-30,31.8716
2009-08-31,29.8255
2009-07-31,28.2783
2009-06-30,27.6803
2009-05-29,28.1139
2009-04-30,29.7058
2009-03-31,32.4360
2009-02-27,35.7808
2009-01-30,39.3043
2008-12-31,42.5928
2008-11-28,45.8527
2008-10-31,49.4456
2008-09-30,53.3798
2008-08-29,57.5376
2008-07-31,62.1571
2008-06-30,66.5400
2008-05-30,70.0694
2008-04-30,72.1436
2008-03-31,72.7135
2008-02-29,71.9518
2008-01-31,70.1306
2007-12-31,67.9272
2007-11-30,65.9185
2007-10-31,64.5524
2007-09-28,63.5943
2007-08-31,63.2467
2007-07-31,63.0555
2007-06-29,62.7138
2007-05-31,61.9412
2007-04-30,60.8654
2007-03-30,59.6988
2007-02-28,58.2237
2007-01-31,56.7933
2006-12-29,55.6319
2006-11-30,54.8160
2006-10-31,53.9244
2006-09-29,52.9187
2006-08-31,51.7414
2006-07-31,50.3217
2006-06-30,48.5274
2006-05-31,46.3040
2006-04-28,44.0887
2006-03-31,41.9339
2006-02-28,39.6047
2006-01-31,37.0454
2005-12-30,34.5059
2005-11-30,32.1678
2005-10-31,29.7733
2005-09-30,27.6568
2005-08-31,26.1239
2005-07-29,25.0746
2005-06-30,24.1762
2005-05-31,23.3320
2005-04-29,22.4048
2005-03-31,21.2305
2005-02-28,19.8755
2005-01-31,18.4215
2004-12-31,17.0026
2004-11-30,15.7751
2004-10-29,14.7279
2004-09-30,13.6605
2004-08-31,12.5854
2004-07-30,11.5700
2004-06-30,10.6014
2004-05-28,9.6926
2004-04-30,9.0098
2004-03-31,8.5517
2004-02-27,8.2583
2004-01-30,8.0296
2003-12-31,7.8101
2003-11-28,7.5394
2003-10-31,7.1599
