,TRIMA_monthly_10
2022-04-04,217.7848
2022-03-31,221.4710
2022-02-28,225.4759
2022-01-31,229.2351
2021-12-31,233.0726
2021-11-30,237.1059
2021-10-29,240.3833
2021-09-30,241.5668
2021-08-31,241.5084
2021-07-30,239.2845
2021-06-30,234.9521
2021-05-28,229.0559
2021-04-30,222.3801
2021-03-31,214.8311
2021-02-26,206.3513
2021-01-29,197.6193
2020-12-31,187.9561
2020-11-30,177.8290
2020-10-30,168.3649
2020-09-30,161.0488
2020-08-31,155.9526
2020-07-31,153.5613
2020-06-30,153.8299
2020-05-29,155.1094
2020-04-30,156.3422
2020-03-31,156.9186
2020-02-28,156.2064
2020-01-31,154.4283
2019-12-31,152.5564
2019-11-29,150.7143
2019-10-31,148.6100
2019-09-30,146.3651
2019-08-30,144.3380
2019-07-31,141.5667
2019-06-28,138.2915
2019-05-31,135.1613
2019-04-30,133.0588
2019-03-29,130.9320
2019-02-28,129.4462
2019-01-31,129.0188
2018-12-31,129.4456
2018-11-30,130.7924
2018-10-31,133.5011
2018-09-28,137.7793
2018-08-31,142.1112
2018-07-31,146.4719
2018-06-29,150.2241
2018-05-31,152.3739
2018-04-30,152.6244
2018-03-29,151.7017
2018-02-28,149.9897
2018-01-31,147.3412
2017-12-29,144.4601
2017-11-30,141.8609
2017-10-31,139.0853
2017-09-29,135.8595
2017-08-31,132.9369
2017-07-31,129.8463
2017-06-30,126.4135
2017-05-31,122.9324
2017-04-28,119.4973
2017-03-31,115.8335
2017-02-28,112.0546
2017-01-31,108.6327
2016-12-30,105.3529
2016-11-30,101.9777
2016-10-31,98.3708
2016-09-30,94.8628
2016-08-31,91.2664
2016-07-29,87.8061
2016-06-30,85.0967
2016-05-31,83.9813
2016-04-29,84.6474
2016-03-31,86.9063
2016-02-29,90.5174
2016-01-29,95.1355
2015-12-31,99.9197
2015-11-30,104.1758
2015-10-30,107.5218
2015-09-30,110.2648
2015-08-31,112.3307
2015-07-31,113.7894
2015-06-30,114.5140
2015-05-29,115.0443
2015-04-30,115.2210
2015-03-31,115.3959
2015-02-27,115.5526
2015-01-30,116.0173
2014-12-31,116.8669
2014-11-28,117.7432
2014-10-31,118.0281
2014-09-30,117.7696
2014-08-29,116.8421
2014-07-31,114.8275
2014-06-30,112.3654
2014-05-30,109.6288
2014-04-30,107.0961
2014-03-31,104.2534
2014-02-28,101.7084
2014-01-31,99.0547
2013-12-31,96.5582
2013-11-29,94.0250
2013-10-31,92.1902
2013-09-30,90.6974
2013-08-30,89.1891
2013-07-31,87.8016
2013-06-28,85.9955
2013-05-31,83.8674
2013-04-30,81.2482
2013-03-28,78.8925
2013-02-28,76.8387
2013-01-31,75.9763
2012-12-31,76.3235
2012-11-30,77.7701
2012-10-31,79.7297
2012-09-28,81.5000
2012-08-31,82.6855
2012-07-31,82.7359
2012-06-29,81.2027
2012-05-31,78.7510
2012-04-30,76.5437
2012-03-30,74.7430
2012-02-29,73.5871
2012-01-31,73.9413
2011-12-30,75.7176
2011-11-30,77.6862
2011-10-31,79.2946
2011-09-30,80.8511
2011-08-31,81.6821
2011-07-29,80.9953
2011-06-30,79.6236
2011-05-31,77.5529
2011-04-29,74.6538
2011-03-31,70.8284
2011-02-28,67.0804
2011-01-31,63.4161
2010-12-31,59.7076
2010-11-30,56.2226
2010-10-29,53.0099
2010-09-30,50.0535
2010-08-31,46.9213
2010-07-30,43.7815
2010-06-30,40.6573
2010-05-28,38.1102
2010-04-30,35.9920
2010-03-31,34.1873
2010-02-26,32.8033
2010-01-29,31.6230
2009-12-31,30.2498
2009-11-30,28.3232
2009-10-30,26.1897
2009-09-30,24.1549
2009-08-31,22.1752
2009-07-31,20.4791
2009-06-30,19.8308
2009-05-29,20.7297
2009-04-30,22.8656
2009-03-31,26.1107
2009-02-27,30.6378
2009-01-30,35.6108
2008-12-31,39.5865
2008-11-28,42.1802
2008-10-31,43.4029
2008-09-30,43.4970
2008-08-29,42.4170
2008-07-31,41.1958
2008-06-30,40.7452
2008-05-30,40.9416
2008-04-30,41.4476
2008-03-31,41.9285
2008-02-29,42.2022
2008-01-31,41.7303
2007-12-31,40.3803
2007-11-30,38.1534
2007-10-31,35.6267
2007-09-28,32.8698
2007-08-31,30.0375
2007-07-31,27.5293
2007-06-29,25.4827
2007-05-31,23.9343
2007-04-30,22.7853
2007-03-30,22.0704
2007-02-28,21.6410
2007-01-31,21.2308
2006-12-29,20.8550
2006-11-30,20.5456
2006-10-31,20.0961
2006-09-29,19.5126
2006-08-31,18.9376
2006-07-31,18.3339
2006-06-30,17.6681
2006-05-31,16.9902
2006-04-28,16.4346
2006-03-31,15.9156
2006-02-28,15.3859
2006-01-31,14.8553
2005-12-30,14.3498
2005-11-30,13.8376
2005-10-31,13.3681
2005-09-30,13.0752
2005-08-31,12.9520
2005-07-29,12.9448
2005-06-30,13.0352
2005-05-31,13.1362
2005-04-29,13.1365
2005-03-31,12.9458
2005-02-28,12.6192
2005-01-31,12.2126
2004-12-31,11.7520
2004-11-30,11.2364
2004-10-29,10.7365
2004-09-30,10.2823
2004-08-31,9.8200
2004-07-30,9.3761
2004-06-30,8.9550
2004-05-28,8.6440
2004-04-30,8.3859
2004-03-31,8.1218
2004-02-27,7.8603
2004-01-30,7.5650
2003-12-31,7.1562
2003-11-28,6.6272
2003-10-31,6.0504
2003-09-30,5.4982
2003-08-29,5.0435
2003-07-31,4.6827
2003-06-30,4.4621
2003-05-30,4.3949
2003-04-30,4.4131
2003-03-31,4.4750
2003-02-28,4.5829
2003-01-31,4.7964
2002-12-31,5.1052
2002-11-29,5.4359
2002-10-31,5.7688
2002-09-30,6.1025
