,TRIMA_monthly_10
2022-04-04,58.1720
2022-03-31,57.4000
2022-02-28,56.4600
2022-01-31,55.6807
2021-12-31,55.3620
2021-11-30,54.8407
2021-10-29,54.0883
2021-09-30,52.9133
2021-08-31,50.9660
2021-07-30,47.8037
2021-06-30,43.8693
2021-05-28,39.3957
2021-04-30,34.5390
2021-03-31,29.5143
2021-02-26,24.9403
2021-01-29,21.2673
2020-12-31,18.3817
2020-11-30,16.7180
2020-10-30,16.4327
2020-09-30,17.5760
2020-08-31,19.6550
2020-07-31,22.5017
2020-06-30,25.7613
2020-05-29,28.5403
2020-04-30,30.7563
2020-03-31,32.1200
2020-02-28,32.8010
2020-01-31,33.1700
2019-12-31,33.9400
2019-11-29,35.1630
2019-10-31,36.7313
2019-09-30,38.5630
2019-08-30,40.3367
2019-07-31,42.0683
2019-06-28,43.9197
2019-05-31,46.4420
2019-04-30,49.6647
2019-03-29,53.4677
2019-02-28,57.3477
2019-01-31,60.9010
2018-12-31,63.3377
2018-11-30,64.6430
2018-10-31,64.9680
2018-09-28,64.7167
2018-08-31,64.0667
2018-07-31,62.9790
2018-06-29,61.7400
2018-05-31,59.8350
2018-04-30,57.0663
2018-03-29,53.3727
2018-02-28,49.4907
2018-01-31,45.7003
2017-12-29,42.2757
2017-11-30,39.6457
2017-10-31,38.1180
2017-09-29,37.6567
2017-08-31,38.0217
2017-07-31,39.1597
2017-06-30,40.7777
2017-05-31,42.5983
2017-04-28,44.4917
2017-03-31,46.1580
2017-02-28,47.2503
2017-01-31,48.0827
2016-12-30,48.8390
2016-11-30,49.5550
2016-10-31,49.6603
2016-09-30,49.5773
2016-08-31,49.4750
2016-07-29,48.5997
2016-06-30,46.9770
2016-05-31,45.3087
2016-04-29,44.0240
2016-03-31,42.7970
2016-02-29,42.1200
2016-01-29,42.7077
2015-12-31,44.5187
2015-11-30,47.0583
2015-10-30,50.4903
2015-09-30,54.9067
2015-08-31,59.5560
2015-07-31,63.9793
2015-06-30,67.7923
2015-05-29,71.0690
2015-04-30,73.6017
2015-03-31,75.5790
2015-02-27,77.5877
2015-01-30,79.8287
2014-12-31,82.3753
2014-11-28,85.1627
2014-10-31,87.4467
2014-09-30,88.8930
2014-08-29,89.4913
2014-07-31,88.8853
2014-06-30,87.0573
2014-05-30,84.4830
2014-04-30,81.7377
2014-03-31,78.7810
2014-02-28,75.6750
2014-01-31,72.5270
2013-12-31,69.5860
2013-11-29,66.5710
2013-10-31,63.8213
2013-09-30,61.3297
2013-08-30,59.1827
2013-07-31,57.5517
2013-06-28,56.2940
2013-05-31,55.2323
2013-04-30,54.0423
2013-03-28,52.8683
2013-02-28,51.3103
2013-01-31,49.5720
2012-12-31,47.7917
2012-11-30,46.1493
2012-10-31,44.4687
