,TRIMA_monthly_10
2022-04-04,488.8887
2022-03-31,495.6452
2022-02-28,496.3548
2022-01-31,492.5403
2021-12-31,482.3035
2021-11-30,464.0794
2021-10-29,443.9819
2021-09-30,424.3584
2021-08-31,405.8073
2021-07-30,389.4138
2021-06-30,380.5516
2021-05-28,378.8754
2021-04-30,380.4796
2021-03-31,382.7660
2021-02-26,386.2922
2021-01-29,387.3958
2020-12-31,383.1227
2020-11-30,376.0466
2020-10-30,365.9976
2020-09-30,353.6940
2020-08-31,338.9342
2020-07-31,324.5470
2020-06-30,309.8507
2020-05-29,294.9223
2020-04-30,281.2664
2020-03-31,270.1040
2020-02-28,261.4140
2020-01-31,255.2878
2019-12-31,253.2768
2019-11-29,253.2644
2019-10-31,255.0318
2019-09-30,256.3019
2019-08-30,257.5353
2019-07-31,258.2696
2019-06-28,259.4051
2019-05-31,260.8125
2019-04-30,262.5278
2019-03-29,265.4258
2019-02-28,267.5574
2019-01-31,267.6396
2018-12-31,264.2132
2018-11-30,259.0175
2018-10-31,251.2457
2018-09-28,241.3092
2018-08-31,230.1465
2018-07-31,219.0730
2018-06-29,209.3280
2018-05-31,199.7732
2018-04-30,192.2462
2018-03-29,187.5407
2018-02-28,185.5403
2018-01-31,184.6191
2017-12-29,184.5318
2017-11-30,185.6607
2017-10-31,185.6909
2017-09-29,183.2410
2017-08-31,179.4521
2017-07-31,175.7335
2017-06-30,170.7450
2017-05-31,164.8623
2017-04-28,159.7844
2017-03-31,155.2180
2017-02-28,149.5479
2017-01-31,143.3802
2016-12-30,137.8575
2016-11-30,132.6756
2016-10-31,127.3228
2016-09-30,122.8293
2016-08-31,119.4483
2016-07-29,116.2570
2016-06-30,112.8388
2016-05-31,109.6265
2016-04-29,107.0485
2016-03-31,104.9602
2016-02-29,103.3576
2016-01-29,102.5478
2015-12-31,102.3606
2015-11-30,102.0397
2015-10-30,101.1908
2015-09-30,99.7049
2015-08-31,97.7221
2015-07-31,95.3774
2015-06-30,92.4399
2015-05-29,89.1586
2015-04-30,85.6420
2015-03-31,81.9356
2015-02-27,78.1611
2015-01-30,74.6740
2014-12-31,71.9957
2014-11-28,70.2669
2014-10-31,69.1496
2014-09-30,68.5903
2014-08-29,68.3780
2014-07-31,67.9435
2014-06-30,67.1230
2014-05-30,65.8076
2014-04-30,64.3546
2014-03-31,62.6530
2014-02-28,60.8757
2014-01-31,59.0149
2013-12-31,57.1907
2013-11-29,55.1921
2013-10-31,53.0582
2013-09-30,50.7825
2013-08-30,48.3383
2013-07-31,45.9611
2013-06-28,43.5939
2013-05-31,41.3567
2013-04-30,39.1982
2013-03-28,37.1993
2013-02-28,35.3188
2013-01-31,33.7757
2012-12-31,32.5590
2012-11-30,31.7223
2012-10-31,31.1485
2012-09-28,30.9189
2012-08-31,30.7665
2012-07-31,30.4082
2012-06-29,29.7099
2012-05-31,28.8311
2012-04-30,27.7761
2012-03-30,26.4851
2012-02-29,25.2180
2012-01-31,23.9104
2011-12-30,22.6564
2011-11-30,21.2601
2011-10-31,19.8146
2011-09-30,18.3335
2011-08-31,16.9451
2011-07-29,15.6991
2011-06-30,14.6114
2011-05-31,13.7034
2011-04-29,12.9545
2011-03-31,12.3595
2011-02-28,11.8194
2011-01-31,11.4412
2010-12-31,11.1881
2010-11-30,11.0268
2010-10-29,10.9540
2010-09-30,10.8490
2010-08-31,10.5844
2010-07-30,10.0821
2010-06-30,9.4547
2010-05-28,8.7458
2010-04-30,8.0324
2010-03-31,7.4377
2010-02-26,7.1023
2010-01-29,6.9601
2009-12-31,6.8769
2009-11-30,6.8447
2009-10-30,6.7946
2009-09-30,6.6333
2009-08-31,6.2677
2009-07-31,5.8684
2009-06-30,5.6610
2009-05-29,5.6803
2009-04-30,5.9530
2009-03-31,6.5614
2009-02-27,7.5363
2009-01-30,8.5599
2008-12-31,9.4373
2008-11-28,10.1351
2008-10-31,10.6609
2008-09-30,10.9663
2008-08-29,11.0778
2008-07-31,11.2119
2008-06-30,11.4370
2008-05-30,11.7654
2008-04-30,12.2005
2008-03-31,12.7655
2008-02-29,13.4313
2008-01-31,14.1130
2007-12-31,14.7474
2007-11-30,15.2461
2007-10-31,15.5415
2007-09-28,15.6286
2007-08-31,15.5172
2007-07-31,15.2456
2007-06-29,14.8395
2007-05-31,14.3856
2007-04-30,13.8785
2007-03-30,13.4095
2007-02-28,12.9602
2007-01-31,12.6076
2006-12-29,12.4082
2006-11-30,12.3222
2006-10-31,12.3258
2006-09-29,12.3830
2006-08-31,12.4767
2006-07-31,12.4844
2006-06-30,12.3901
2006-05-31,12.2203
2006-04-28,12.0616
2006-03-31,11.8502
2006-02-28,11.6440
2006-01-31,11.4306
2005-12-30,11.1832
2005-11-30,10.8389
2005-10-31,10.3919
2005-09-30,9.9074
2005-08-31,9.4380
2005-07-29,9.0155
2005-06-30,8.6253
2005-05-31,8.3265
