,TRIMA_monthly_10
2022-04-04,116.4490
2022-03-31,114.3621
2022-02-28,113.2458
2022-01-31,112.9977
2021-12-31,112.8452
2021-11-30,112.1412
2021-10-29,111.2111
2021-09-30,109.7580
2021-08-31,107.7788
2021-07-30,105.2884
2021-06-30,102.9565
2021-05-28,101.1787
2021-04-30,99.5437
2021-03-31,97.8719
2021-02-26,96.1686
2021-01-29,94.4338
2020-12-31,92.1401
2020-11-30,89.7396
2020-10-30,88.1556
2020-09-30,87.6496
2020-08-31,88.1281
2020-07-31,89.7612
2020-06-30,92.5857
2020-05-29,95.4460
2020-04-30,97.5800
2020-03-31,99.2098
2020-02-28,100.2418
2020-01-31,100.2401
2019-12-31,99.5562
2019-11-29,98.8630
2019-10-31,97.9862
2019-09-30,96.6459
2019-08-30,95.2004
2019-07-31,93.6297
2019-06-28,91.8198
2019-05-31,89.9359
2019-04-30,88.2710
2019-03-29,86.5892
2019-02-28,84.8128
2019-01-31,83.2590
2018-12-31,81.9025
2018-11-30,80.5199
2018-10-31,79.2296
2018-09-28,78.5189
2018-08-31,78.3101
2018-07-31,78.3464
2018-06-29,78.7174
2018-05-31,79.4504
2018-04-30,80.0806
2018-03-29,80.3008
2018-02-28,80.2522
2018-01-31,79.9922
2017-12-29,79.3239
2017-11-30,78.3563
2017-10-31,77.2768
2017-09-29,76.1707
2017-08-31,74.8126
2017-07-31,73.3745
2017-06-30,71.9995
2017-05-31,70.6264
2017-04-28,69.4015
2017-03-31,68.5851
2017-02-28,67.9225
2017-01-31,67.3047
2016-12-30,66.8211
2016-11-30,66.1655
2016-10-31,65.2092
2016-09-30,63.8695
2016-08-31,62.4559
2016-07-29,60.9389
2016-06-30,59.3873
2016-05-31,57.9882
2016-04-29,56.9247
2016-03-31,55.9711
2016-02-29,55.1645
2016-01-29,54.5516
2015-12-31,54.0853
2015-11-30,53.8153
2015-10-30,53.8781
2015-09-30,54.2347
2015-08-31,54.6889
2015-07-31,55.1954
2015-06-30,55.5119
2015-05-29,55.5415
2015-04-30,54.9578
2015-03-31,54.1355
