,TRIMA_monthly_10
2022-04-04,3.7423
2022-03-31,3.9007
2022-02-28,4.0063
2022-01-31,4.1303
2021-12-31,4.4207
2021-11-30,4.8367
2021-10-29,5.2960
2021-09-30,5.8297
2021-08-31,6.2877
2021-07-30,6.5680
2021-06-30,6.5233
2021-05-28,6.2407
2021-04-30,5.7480
2021-03-31,5.1567
2021-02-26,4.5633
2021-01-29,4.1080
2020-12-31,3.8300
2020-11-30,3.7623
2020-10-30,3.8927
2020-09-30,4.1057
2020-08-31,4.3583
2020-07-31,4.5973
2020-06-30,4.7363
2020-05-29,4.6973
2020-04-30,4.5330
2020-03-31,4.3090
2020-02-28,4.0810
2020-01-31,3.9663
2019-12-31,4.1173
2019-11-29,4.6390
2019-10-31,5.3990
2019-09-30,6.2693
2019-08-30,7.2787
2019-07-31,8.4420
2019-06-28,9.6113
2019-05-31,10.7667
2019-04-30,11.9057
2019-03-29,12.8797
2019-02-28,13.3477
2019-01-31,13.1487
2018-12-31,12.3813
2018-11-30,11.1628
2018-10-31,9.6890
2018-09-28,8.3505
2018-08-31,7.4207
2018-07-31,6.8755
2018-06-29,6.7795
2018-05-31,6.9507
2018-04-30,7.3148
2018-03-29,7.7580
2018-02-28,8.3742
2018-01-31,9.0690
2017-12-29,9.7673
2017-11-30,10.4907
2017-10-31,11.1407
2017-09-29,11.7727
2017-08-31,12.3327
2017-07-31,13.0523
2017-06-30,13.9097
2017-05-31,14.9613
2017-04-28,16.0070
2017-03-31,16.9290
2017-02-28,17.5983
2017-01-31,18.2430
2016-12-30,18.9193
2016-11-30,20.1287
2016-10-31,22.6377
2016-09-30,26.6743
2016-08-31,31.9583
2016-07-29,38.0753
2016-06-30,44.8597
2016-05-31,51.5467
2016-04-29,57.7817
2016-03-31,63.1087
2016-02-29,68.0787
2016-01-29,72.4802
2015-12-31,76.3893
2015-11-30,79.5162
2015-10-30,81.7643
2015-09-30,83.0188
2015-08-31,83.1178
2015-07-31,81.9647
2015-06-30,79.8128
2015-05-29,77.1957
2015-04-30,74.4118
2015-03-31,71.9110
2015-02-27,69.8957
2015-01-30,68.4598
2014-12-31,67.7640
2014-11-28,68.0228
2014-10-31,68.3117
2014-09-30,68.6012
2014-08-29,68.9098
2014-07-31,68.5677
2014-06-30,66.9148
2014-05-30,64.0110
2014-04-30,60.2785
2014-03-31,55.6370
2014-02-28,50.6063
2014-01-31,46.1130
2013-12-31,42.4213
2013-11-29,39.3073
2013-10-31,36.9890
2013-09-30,35.3483
2013-08-30,33.6900
2013-07-31,32.2550
2013-06-28,31.1883
2013-05-31,30.3757
2013-04-30,29.8507
2013-03-28,29.7380
2013-02-28,30.0193
2013-01-31,30.4847
2012-12-31,31.1563
2012-11-30,32.0673
2012-10-31,33.0680
2012-09-28,34.0590
2012-08-31,34.8910
2012-07-31,35.3950
2012-06-29,35.3660
2012-05-31,34.9170
2012-04-30,34.3523
2012-03-30,33.9187
2012-02-29,33.8260
