,TRIMA_monthly_10
2022-04-04,18.9100
2022-03-31,20.7415
2022-02-28,22.8460
2022-01-31,25.0069
2021-12-31,26.9941
2021-11-30,28.5542
2021-10-29,29.2925
2021-09-30,29.0329
2021-08-31,28.0227
2021-07-30,26.3372
2021-06-30,24.3046
2021-05-28,22.3273
2021-04-30,20.5730
2021-03-31,18.9875
2021-02-26,17.4624
2021-01-29,15.9835
2020-12-31,14.4254
2020-11-30,12.9918
2020-10-30,11.9364
2020-09-30,11.4310
2020-08-31,11.5387
2020-07-31,12.2299
2020-06-30,13.3411
2020-05-29,14.3539
2020-04-30,15.2598
2020-03-31,15.9149
2020-02-28,16.3616
2020-01-31,16.7800
2019-12-31,17.4259
2019-11-29,18.3076
2019-10-31,19.3662
2019-09-30,20.6032
2019-08-30,21.8010
2019-07-31,22.7604
2019-06-28,23.5000
2019-05-31,24.2058
2019-04-30,24.8128
2019-03-29,25.3538
2019-02-28,25.8798
2019-01-31,26.3841
2018-12-31,26.8089
2018-11-30,27.1269
2018-10-31,27.3355
2018-09-28,27.5725
2018-08-31,27.8812
2018-07-31,28.0238
2018-06-29,28.0811
2018-05-31,27.8123
2018-04-30,27.2162
2018-03-29,26.1399
2018-02-28,24.8694
2018-01-31,23.6538
2017-12-29,22.5179
2017-11-30,21.6947
2017-10-31,21.1983
2017-09-29,21.0056
2017-08-31,20.8786
2017-07-31,20.9450
2017-06-30,20.9181
2017-05-31,20.9151
2017-04-28,20.9764
2017-03-31,20.9258
2017-02-28,20.6400
2017-01-31,20.2866
2016-12-30,20.1339
2016-11-30,19.9811
2016-10-31,19.8394
2016-09-30,19.9941
2016-08-31,20.5211
2016-07-29,20.9611
2016-06-30,21.2986
2016-05-31,21.8072
2016-04-29,22.5397
2016-03-31,23.3964
2016-02-29,24.4575
2016-01-29,25.8839
2015-12-31,27.5740
2015-11-30,29.1817
2015-10-30,30.5490
2015-09-30,31.7063
2015-08-31,32.5598
2015-07-31,32.9631
2015-06-30,33.0829
2015-05-29,33.1966
2015-04-30,33.1747
2015-03-31,33.1033
2015-02-27,33.1223
2015-01-30,33.2243
2014-12-31,33.1614
2014-11-28,33.0624
2014-10-31,32.9246
2014-09-30,32.6775
2014-08-29,32.3854
2014-07-31,32.0765
2014-06-30,31.8388
2014-05-30,31.5676
2014-04-30,31.5675
2014-03-31,31.6459
2014-02-28,31.7755
2014-01-31,31.9280
2013-12-31,32.0446
2013-11-29,31.7639
2013-10-31,31.0707
2013-09-30,30.1160
2013-08-30,28.9776
2013-07-31,27.9070
2013-06-28,27.0427
2013-05-31,26.5991
2013-04-30,26.3490
2013-03-28,26.1641
2013-02-28,25.8348
2013-01-31,25.3099
2012-12-31,24.4617
2012-11-30,23.3753
2012-10-31,22.1143
2012-09-28,20.8330
2012-08-31,19.5387
2012-07-31,18.2476
2012-06-29,17.0253
2012-05-31,15.8985
2012-04-30,15.0051
2012-03-30,14.2973
2012-02-29,13.8529
2012-01-31,13.7693
2011-12-30,14.0213
2011-11-30,14.4168
2011-10-31,14.8265
2011-09-30,15.3204
2011-08-31,15.7556
2011-07-29,15.9246
2011-06-30,15.8434
2011-05-31,15.6233
2011-04-29,15.2737
2011-03-31,14.8083
2011-02-28,14.4587
2011-01-31,14.3496
2010-12-31,14.4904
2010-11-30,14.7736
2010-10-29,15.1480
2010-09-30,15.5495
2010-08-31,15.8018
2010-07-30,15.8613
2010-06-30,15.7659
2010-05-28,15.6019
2010-04-30,15.3348
2010-03-31,14.9668
2010-02-26,14.5953
2010-01-29,14.1249
2009-12-31,13.4959
2009-11-30,12.7195
2009-10-30,11.9322
2009-09-30,11.1596
2009-08-31,10.4115
2009-07-31,9.8047
2009-06-30,9.5257
2009-05-29,9.5743
2009-04-30,9.8109
2009-03-31,10.2416
2009-02-27,10.8587
2009-01-30,11.4964
2008-12-31,11.9726
2008-11-28,12.3499
2008-10-31,12.7194
2008-09-30,13.0736
2008-08-29,13.3439
2008-07-31,13.5765
2008-06-30,13.7639
2008-05-30,13.8486
2008-04-30,13.7811
2008-03-31,13.6123
2008-02-29,13.3930
2008-01-31,13.1807
2007-12-31,12.9729
2007-11-30,12.8190
2007-10-31,12.7618
2007-09-28,12.7594
2007-08-31,12.7836
2007-07-31,12.9069
2007-06-29,13.0607
2007-05-31,13.1143
2007-04-30,13.1154
2007-03-30,13.0637
2007-02-28,12.9295
2007-01-31,12.6877
2006-12-29,12.4959
2006-11-30,12.3853
2006-10-31,12.3397
2006-09-29,12.3117
2006-08-31,12.3333
2006-07-31,12.3418
2006-06-30,12.2823
2006-05-31,12.2179
2006-04-28,12.2176
2006-03-31,12.2843
2006-02-28,12.4517
2006-01-31,12.7411
2005-12-30,13.1195
2005-11-30,13.4821
2005-10-31,13.8168
2005-09-30,14.1003
2005-08-31,14.3116
2005-07-29,14.3928
2005-06-30,14.3512
2005-05-31,14.2328
2005-04-29,14.1005
2005-03-31,14.0198
2005-02-28,14.0223
2005-01-31,14.1418
2004-12-31,14.3927
2004-11-30,14.6743
2004-10-29,14.7937
2004-09-30,14.8382
2004-08-31,14.7773
2004-07-30,14.5777
2004-06-30,14.2246
2004-05-28,13.9651
2004-04-30,13.7160
2004-03-31,13.4272
2004-02-27,13.1039
2004-01-30,12.8332
2003-12-31,12.5024
2003-11-28,12.0102
2003-10-31,11.5425
2003-09-30,11.1025
2003-08-29,10.6920
2003-07-31,10.2319
2003-06-30,9.8657
2003-05-30,9.5449
2003-04-30,9.2413
2003-03-31,8.9336
2003-02-28,8.7050
2003-01-31,8.6092
2002-12-31,8.6358
2002-11-29,8.7233
2002-10-31,8.8901
2002-09-30,9.0800
2002-08-30,9.1873
2002-07-31,9.1782
2002-06-28,9.0945
2002-05-31,9.1291
