,TRIMA_monthly_10
2022-04-04,69.1087
2022-03-31,68.4126
2022-02-28,67.6317
2022-01-31,66.6766
2021-12-31,65.6851
2021-11-30,64.4278
2021-10-29,62.8967
2021-09-30,60.9688
2021-08-31,58.5823
2021-07-30,55.4204
2021-06-30,51.8277
2021-05-28,48.4130
2021-04-30,45.2383
2021-03-31,42.4178
2021-02-26,40.2996
2021-01-29,39.1376
2020-12-31,38.2575
2020-11-30,37.8620
2020-10-30,38.3364
2020-09-30,39.7010
2020-08-31,41.8251
2020-07-31,44.6032
2020-06-30,47.8829
2020-05-29,50.8924
2020-04-30,53.1520
2020-03-31,54.5131
2020-02-28,54.9852
2020-01-31,54.5098
2019-12-31,53.4344
2019-11-29,52.1240
2019-10-31,50.6395
2019-09-30,49.0937
2019-08-30,47.4351
2019-07-31,45.9028
2019-06-28,44.6629
2019-05-31,43.7939
2019-04-30,43.4489
2019-03-29,43.5691
2019-02-28,44.1502
2019-01-31,44.9833
2018-12-31,45.8266
2018-11-30,46.5636
2018-10-31,47.2819
2018-09-28,47.9104
2018-08-31,48.4377
2018-07-31,48.9555
2018-06-29,49.5253
2018-05-31,49.9578
2018-04-30,50.1230
2018-03-29,50.0247
2018-02-28,49.6503
2018-01-31,48.9598
2017-12-29,48.0066
2017-11-30,47.0057
2017-10-31,45.9289
2017-09-29,44.9468
2017-08-31,44.0971
2017-07-31,43.3419
2017-06-30,42.5937
2017-05-31,41.8097
2017-04-28,40.9121
2017-03-31,39.9857
2017-02-28,39.1270
2017-01-31,38.4314
2016-12-30,38.0554
2016-11-30,37.9658
2016-10-31,37.9844
2016-09-30,38.0350
2016-08-31,38.0915
2016-07-29,38.1074
2016-06-30,38.0891
2016-05-31,38.1771
2016-04-29,38.5049
2016-03-31,38.7659
2016-02-29,38.8427
2016-01-29,38.7721
2015-12-31,38.4718
2015-11-30,37.8110
2015-10-30,36.9580
2015-09-30,36.2401
2015-08-31,35.6861
2015-07-31,35.2130
2015-06-30,34.7595
2015-05-29,34.4481
2015-04-30,33.9998
2015-03-31,33.3798
2015-02-27,32.6053
2015-01-30,31.8562
2014-12-31,31.1579
2014-11-28,30.5374
2014-10-31,30.0601
2014-09-30,29.7844
2014-08-29,29.6422
2014-07-31,29.4965
2014-06-30,29.2929
2014-05-30,28.9632
2014-04-30,28.5556
2014-03-31,27.9725
2014-02-28,27.3105
2014-01-31,26.6097
2013-12-31,25.9146
2013-11-29,25.1195
2013-10-31,24.3078
2013-09-30,23.4042
2013-08-30,22.3972
2013-07-31,21.3627
2013-06-28,20.3227
2013-05-31,19.2970
2013-04-30,18.2764
2013-03-28,17.3846
2013-02-28,16.5495
2013-01-31,15.8566
2012-12-31,15.3605
2012-11-30,15.1656
2012-10-31,15.1320
2012-09-28,15.1808
2012-08-31,15.2882
2012-07-31,15.3164
2012-06-29,15.1394
2012-05-31,14.8929
2012-04-30,14.8405
2012-03-30,15.0323
2012-02-29,15.4962
2012-01-31,16.3517
2011-12-30,17.5350
2011-11-30,18.8394
2011-10-31,19.9901
2011-09-30,20.9076
2011-08-31,21.4507
2011-07-29,21.5748
2011-06-30,21.3169
