,TRIMA_monthly_10
2022-04-04,143.0480
2022-03-31,139.6797
2022-02-28,136.2643
2022-01-31,132.9950
2021-12-31,130.1527
2021-11-30,127.7263
2021-10-29,125.4770
2021-09-30,123.2423
2021-08-31,120.7947
2021-07-30,117.3570
2021-06-30,112.7720
2021-05-28,108.0783
2021-04-30,102.8187
2021-03-31,97.0200
2021-02-26,91.7737
2021-01-29,87.3107
2020-12-31,83.3890
2020-11-30,80.5733
2020-10-30,80.1041
2020-09-30,81.6883
2020-08-31,84.5268
2020-07-31,88.6330
2020-06-30,93.3307
2020-05-29,96.7718
2020-04-30,98.5858
2020-03-31,99.1005
2020-02-28,98.3899
2020-01-31,96.5194
2019-12-31,94.4783
2019-11-29,92.5048
2019-10-31,90.2389
2019-09-30,87.6313
2019-08-30,84.8945
2019-07-31,81.9655
2019-06-28,79.2657
2019-05-31,77.1150
2019-04-30,75.9608
2019-03-29,75.5090
2019-02-28,75.7506
2019-01-31,76.3231
2018-12-31,77.0106
2018-11-30,77.6599
2018-10-31,78.2962
2018-09-28,78.7857
2018-08-31,78.9187
2018-07-31,78.9033
2018-06-29,78.4834
2018-05-31,77.2993
2018-04-30,75.3343
2018-03-29,72.8825
2018-02-28,70.2821
2018-01-31,67.5517
2017-12-29,64.9965
2017-11-30,62.9615
2017-10-31,61.3552
2017-09-29,59.9670
2017-08-31,58.5714
2017-07-31,57.1681
2017-06-30,55.6746
2017-05-31,54.1250
2017-04-28,52.4401
2017-03-31,50.8784
2017-02-28,49.3910
2017-01-31,48.1943
2016-12-30,47.1874
2016-11-30,46.2466
2016-10-31,45.2603
2016-09-30,44.4899
2016-08-31,43.9223
2016-07-29,43.5813
2016-06-30,43.4838
2016-05-31,44.0302
2016-04-29,45.2651
2016-03-31,46.7499
2016-02-29,48.4231
2016-01-29,50.3404
2015-12-31,52.4339
2015-11-30,54.1527
2015-10-30,55.4064
2015-09-30,56.1843
2015-08-31,56.5149
2015-07-31,56.1495
2015-06-30,55.2210
2015-05-29,54.1532
2015-04-30,53.0651
2015-03-31,51.9737
2015-02-27,50.8904
2015-01-30,49.9134
2014-12-31,48.9742
2014-11-28,47.9542
2014-10-31,46.9496
