,TRIMA_monthly_10
2022-04-04,26.7671
2022-03-31,26.1913
2022-02-28,25.3902
2022-01-31,24.1464
2021-12-31,22.8724
2021-11-30,21.7627
2021-10-29,20.7354
2021-09-30,19.5747
2021-08-31,18.4337
2021-07-30,17.3340
2021-06-30,16.1779
2021-05-28,14.8737
2021-04-30,13.5946
2021-03-31,12.4346
2021-02-26,11.4336
2021-01-29,10.5720
2020-12-31,9.7752
2020-11-30,9.1548
2020-10-30,8.9010
2020-09-30,8.9650
2020-08-31,9.2439
2020-07-31,9.8582
2020-06-30,10.7493
2020-05-29,11.5745
2020-04-30,12.2014
2020-03-31,12.5598
2020-02-28,12.6819
2020-01-31,12.5849
2019-12-31,12.3997
2019-11-29,12.3711
2019-10-31,12.4952
2019-09-30,12.7275
2019-08-30,13.0441
2019-07-31,13.5143
2019-06-28,14.0326
2019-05-31,14.5782
2019-04-30,15.3347
2019-03-29,16.2185
2019-02-28,17.2127
2019-01-31,18.2901
2018-12-31,19.4540
2018-11-30,20.5109
2018-10-31,21.4249
2018-09-28,22.2094
2018-08-31,22.7854
2018-07-31,23.0233
2018-06-29,23.0470
2018-05-31,22.7935
2018-04-30,22.1597
2018-03-29,21.2195
2018-02-28,20.1334
2018-01-31,19.0699
2017-12-29,18.1480
2017-11-30,17.6890
2017-10-31,17.6674
2017-09-29,18.1283
2017-08-31,18.8511
2017-07-31,19.7805
2017-06-30,20.5514
2017-05-31,21.0088
2017-04-28,21.1145
2017-03-31,20.8123
2017-02-28,20.1448
2017-01-31,19.1486
2016-12-30,18.0952
2016-11-30,16.9711
2016-10-31,15.8604
2016-09-30,14.8676
2016-08-31,14.0989
2016-07-29,13.4673
2016-06-30,12.9801
2016-05-31,12.7285
2016-04-29,12.6842
2016-03-31,12.7670
2016-02-29,12.9463
2016-01-29,13.3159
2015-12-31,13.6817
2015-11-30,13.9331
2015-10-30,14.0769
2015-09-30,14.1487
2015-08-31,14.0855
2015-07-31,13.8651
2015-06-30,13.6113
2015-05-29,13.4040
2015-04-30,13.2072
2015-03-31,13.0036
2015-02-27,12.7893
2015-01-30,12.4919
2014-12-31,12.1487
2014-11-28,11.7605
2014-10-31,11.3434
2014-09-30,11.0958
2014-08-29,11.0695
2014-07-31,11.2712
2014-06-30,11.6397
2014-05-30,12.1670
2014-04-30,12.7397
2014-03-31,13.1526
2014-02-28,13.4196
2014-01-31,13.5197
2013-12-31,13.4653
2013-11-29,13.2377
2013-10-31,12.9706
2013-09-30,12.6317
2013-08-30,12.2410
2013-07-31,11.8106
2013-06-28,11.3700
2013-05-31,10.9176
2013-04-30,10.4297
2013-03-28,10.0789
2013-02-28,9.8400
2013-01-31,9.7518
2012-12-31,9.8428
2012-11-30,10.0994
2012-10-31,10.4300
2012-09-28,10.7852
