,TRIMA_monthly_10
2022-04-04,578.4942
2022-03-31,581.3830
2022-02-28,573.1514
2022-01-31,555.8558
2021-12-31,530.3136
2021-11-30,499.7721
2021-10-29,468.7241
2021-09-30,441.1084
2021-08-31,417.7186
2021-07-30,396.2951
2021-06-30,378.8348
2021-05-28,365.4940
2021-04-30,354.0015
2021-03-31,342.6314
2021-02-26,332.4535
2021-01-29,322.6803
2020-12-31,311.2201
2020-11-30,298.9505
2020-10-30,288.5907
2020-09-30,279.1422
2020-08-31,270.1391
2020-07-31,263.9049
2020-06-30,261.4825
2020-05-29,260.6585
2020-04-30,260.8628
2020-03-31,262.0869
2020-02-28,263.2598
2020-01-31,263.0411
2019-12-31,261.9395
2019-11-29,259.5937
2019-10-31,255.2578
2019-09-30,249.2756
2019-08-30,242.5140
2019-07-31,234.5913
2019-06-28,226.9051
2019-05-31,220.3249
2019-04-30,215.4746
2019-03-29,211.8626
2019-02-28,209.1429
2019-01-31,206.6890
2018-12-31,203.3887
2018-11-30,198.7620
2018-10-31,192.7134
2018-09-28,185.5777
2018-08-31,177.8556
2018-07-31,170.7961
2018-06-29,164.4365
2018-05-31,158.4357
2018-04-30,152.9530
2018-03-29,148.1055
2018-02-28,143.8176
2018-01-31,139.7087
2017-12-29,135.5827
2017-11-30,131.9355
2017-10-31,128.4966
2017-09-29,125.0112
2017-08-31,121.4935
2017-07-31,118.2894
2017-06-30,115.4107
2017-05-31,112.6833
2017-04-28,110.2977
2017-03-31,108.6839
2017-02-28,107.3760
2017-01-31,106.0117
2016-12-30,104.9080
2016-11-30,103.5802
2016-10-31,101.8586
2016-09-30,99.8820
2016-08-31,97.9501
2016-07-29,96.0988
2016-06-30,94.2315
2016-05-31,92.5116
2016-04-29,91.5942
2016-03-31,91.0182
2016-02-29,90.6770
2016-01-29,90.9144
2015-12-31,91.7610
2015-11-30,92.6630
2015-10-30,92.8378
2015-09-30,92.6215
2015-08-31,91.9929
2015-07-31,90.7158
2015-06-30,88.7723
2015-05-29,86.9712
2015-04-30,85.2883
2015-03-31,83.5665
2015-02-27,81.7778
2015-01-30,79.9010
2014-12-31,78.1713
2014-11-28,76.4397
2014-10-31,74.8031
2014-09-30,73.4925
2014-08-29,72.4087
2014-07-31,71.4997
2014-06-30,70.3942
2014-05-30,69.1076
2014-04-30,67.6639
2014-03-31,65.9059
2014-02-28,63.7956
2014-01-31,61.6761
2013-12-31,59.9895
2013-11-29,58.6212
2013-10-31,57.6781
2013-09-30,57.1755
2013-08-30,57.0825
2013-07-31,57.0040
2013-06-28,56.6892
2013-05-31,56.2405
2013-04-30,55.7062
2013-03-28,55.1232
2013-02-28,54.4347
2013-01-31,53.9099
2012-12-31,53.6066
2012-11-30,53.4166
2012-10-31,53.1831
2012-09-28,52.8573
2012-08-31,52.4860
2012-07-31,51.9455
2012-06-29,51.0407
2012-05-31,49.9257
2012-04-30,48.7207
2012-03-30,47.5883
2012-02-29,46.6123
2012-01-31,46.0828
2011-12-30,45.9915
2011-11-30,46.3023
2011-10-31,46.6471
2011-09-30,46.8978
2011-08-31,46.8227
2011-07-29,46.3479
2011-06-30,45.4945
2011-05-31,44.3372
2011-04-29,43.0406
2011-03-31,41.5795
2011-02-28,40.0711
2011-01-31,38.4876
2010-12-31,36.9147
2010-11-30,35.2454
2010-10-29,33.7085
2010-09-30,32.3257
2010-08-31,31.1016
2010-07-30,29.9490
2010-06-30,28.9339
2010-05-28,28.0863
2010-04-30,27.3632
2010-03-31,26.7604
2010-02-26,26.3125
2010-01-29,25.8609
2009-12-31,25.5025
2009-11-30,24.9912
2009-10-30,24.3438
2009-09-30,23.6237
2009-08-31,22.9302
2009-07-31,22.3401
2009-06-30,22.0394
2009-05-29,22.1709
2009-04-30,22.5763
2009-03-31,23.2484
2009-02-27,24.0675
2009-01-30,24.8050
2008-12-31,25.1842
2008-11-28,25.3164
2008-10-31,25.4358
2008-09-30,25.4720
2008-08-29,25.4615
2008-07-31,25.7465
2008-06-30,26.2367
2008-05-30,26.6482
2008-04-30,26.8760
2008-03-31,27.0467
2008-02-29,27.0962
2008-01-31,26.9342
2007-12-31,26.6609
2007-11-30,26.5158
2007-10-31,26.5016
2007-09-28,26.4648
2007-08-31,26.5710
2007-07-31,26.9725
2007-06-29,27.4503
2007-05-31,27.8660
2007-04-30,28.2513
2007-03-30,28.5985
2007-02-28,28.6222
2007-01-31,28.2553
2006-12-29,27.7001
2006-11-30,26.9828
2006-10-31,26.1307
2006-09-29,25.2863
2006-08-31,24.6639
2006-07-31,24.0829
2006-06-30,23.5551
2006-05-31,23.1275
2006-04-28,22.7438
2006-03-31,22.2625
2006-02-28,21.7501
2006-01-31,21.2792
2005-12-30,20.8344
2005-11-30,20.4090
2005-10-31,19.9715
2005-09-30,19.6727
2005-08-31,19.4372
2005-07-29,19.2938
2005-06-30,19.2208
2005-05-31,19.2758
2005-04-29,19.3239
2005-03-31,19.3117
2005-02-28,19.1843
2005-01-31,18.9892
2004-12-31,18.7903
2004-11-30,18.6470
2004-10-29,18.7806
2004-09-30,19.1686
2004-08-31,19.7657
2004-07-30,20.4890
2004-06-30,21.2345
2004-05-28,21.8015
2004-04-30,22.0439
2004-03-31,21.9955
2004-02-27,21.7668
2004-01-30,21.3136
2003-12-31,20.6774
