,TRIMA_monthly_10
2022-04-04,178.8043
2022-03-31,178.5507
2022-02-28,175.8793
2022-01-31,171.8083
2021-12-31,166.3073
2021-11-30,159.6867
2021-10-29,154.0373
2021-09-30,149.3807
2021-08-31,145.1683
2021-07-30,140.3363
2021-06-30,135.2790
2021-05-28,129.5537
2021-04-30,123.1823
2021-03-31,116.5120
2021-02-26,110.7607
2021-01-29,106.2267
2020-12-31,102.6227
2020-11-30,100.2833
2020-10-30,98.7577
2020-09-30,97.6907
2020-08-31,96.8570
2020-07-31,96.6647
2020-06-30,97.0500
2020-05-29,97.7353
2020-04-30,98.2433
2020-03-31,98.3607
2020-02-28,97.2767
2020-01-31,95.2777
2019-12-31,92.8737
2019-11-29,90.1703
2019-10-31,87.3777
2019-09-30,84.7240
2019-08-30,82.0893
2019-07-31,78.7913
2019-06-28,75.2110
2019-05-31,71.4967
2019-04-30,68.1727
2019-03-29,65.1907
2019-02-28,63.1043
2019-01-31,61.5353
2018-12-31,60.1540
2018-11-30,58.7107
2018-10-31,56.9930
2018-09-28,54.7970
2018-08-31,52.2730
2018-07-31,49.9783
2018-06-29,47.9220
2018-05-31,46.0367
2018-04-30,44.5613
2018-03-29,43.5050
2018-02-28,42.5203
2018-01-31,41.6520
2017-12-29,40.8047
2017-11-30,40.0197
2017-10-31,39.1730
2017-09-29,38.4097
2017-08-31,37.8273
2017-07-31,37.2747
2017-06-30,36.6823
2017-05-31,36.0017
2017-04-28,35.1387
2017-03-31,34.0867
2017-02-28,32.9823
2017-01-31,31.8023
2016-12-30,30.7297
2016-11-30,29.7733
2016-10-31,28.8717
2016-09-30,28.1513
2016-08-31,27.6610
2016-07-29,27.5357
2016-06-30,27.6583
2016-05-31,28.1740
2016-04-29,28.9530
2016-03-31,29.8213
2016-02-29,30.5247
2016-01-29,31.1373
2015-12-31,31.7620
2015-11-30,32.3320
2015-10-30,32.9017
2015-09-30,33.4890
2015-08-31,34.1417
