,TRIMA_monthly_10
2022-04-04,124.6777
2022-03-31,128.1647
2022-02-28,129.5980
2022-01-31,129.8593
2021-12-31,129.7480
2021-11-30,128.6873
2021-10-29,127.1237
2021-09-30,125.2723
2021-08-31,122.8200
2021-07-30,118.6510
2021-06-30,113.3137
2021-05-28,108.0960
2021-04-30,103.3410
2021-03-31,99.1460
2021-02-26,96.3300
2021-01-29,94.4460
2020-12-31,91.7120
2020-11-30,89.0177
2020-10-30,86.4893
2020-09-30,84.0793
2020-08-31,82.4027
2020-07-31,82.6460
2020-06-30,84.6823
2020-05-29,86.5820
2020-04-30,88.2350
2020-03-31,89.5530
2020-02-28,89.5877
2020-01-31,87.9730
2019-12-31,85.8860
2019-11-29,83.4023
2019-10-31,79.9807
2019-09-30,76.3883
2019-08-30,72.8993
2019-07-31,69.6853
2019-06-28,67.3397
2019-05-31,66.4917
2019-04-30,66.9770
2019-03-29,68.2073
2019-02-28,69.8643
2019-01-31,71.1787
2018-12-31,71.5370
2018-11-30,70.8277
2018-10-31,69.6700
2018-09-28,68.1260
2018-08-31,66.7620
2018-07-31,66.2423
2018-06-29,66.7227
2018-05-31,67.4877
2018-04-30,68.3733
2018-03-29,69.2237
2018-02-28,69.4513
2018-01-31,68.6633
2017-12-29,67.1480
2017-11-30,65.7163
2017-10-31,64.3357
2017-09-29,63.2020
2017-08-31,62.4537
2017-07-31,61.9730
2017-06-30,61.3837
2017-05-31,60.5927
2017-04-28,59.4757
2017-03-31,58.0147
2017-02-28,56.7013
2017-01-31,55.6840
2016-12-30,54.7780
2016-11-30,53.7307
2016-10-31,52.7260
2016-09-30,52.0237
2016-08-31,51.3423
2016-07-29,50.9380
2016-06-30,51.2307
2016-05-31,52.4840
2016-04-29,54.2503
2016-03-31,56.3033
2016-02-29,58.6123
2016-01-29,60.9507
2015-12-31,63.1207
2015-11-30,64.8167
2015-10-30,66.0243
2015-09-30,66.7863
2015-08-31,66.7763
2015-07-31,66.0367
2015-06-30,64.3413
2015-05-29,62.2360
2015-04-30,59.6753
2015-03-31,57.0977
2015-02-27,54.5043
2015-01-30,52.2587
2014-12-31,50.5150
2014-11-28,49.0820
2014-10-31,48.0113
2014-09-30,47.1967
2014-08-29,46.9877
2014-07-31,46.8740
2014-06-30,46.9483
2014-05-30,47.1170
2014-04-30,47.5830
2014-03-31,47.8190
2014-02-28,47.8287
2014-01-31,47.7510
2013-12-31,47.4767
2013-11-29,46.7663
2013-10-31,45.7640
2013-09-30,44.5937
2013-08-30,43.1047
2013-07-31,41.4317
2013-06-28,39.6170
2013-05-31,37.8623
2013-04-30,36.0087
2013-03-28,34.1187
2013-02-28,32.3700
2013-01-31,30.9720
2012-12-31,30.0463
2012-11-30,29.5103
2012-10-31,29.4477
2012-09-28,29.8047
2012-08-31,30.2760
2012-07-31,30.5087
2012-06-29,30.3780
2012-05-31,30.0747
2012-04-30,29.6713
2012-03-30,29.3360
2012-02-29,29.0577
2012-01-31,29.2940
2011-12-30,29.8913
2011-11-30,30.6793
2011-10-31,31.4037
2011-09-30,32.0583
2011-08-31,32.6663
2011-07-29,32.8757
2011-06-30,32.7017
2011-05-31,31.9903
2011-04-29,30.9337
2011-03-31,29.3697
2011-02-28,27.5570
2011-01-31,25.6717
2010-12-31,24.2097
2010-11-30,23.1413
2010-10-29,22.4567
2010-09-30,22.2893
2010-08-31,22.2743
2010-07-30,22.1873
2010-06-30,21.9510
2010-05-28,21.6343
2010-04-30,21.0227
2010-03-31,20.1543
2010-02-26,19.1603
2010-01-29,18.0767
2009-12-31,16.8070
2009-11-30,15.4247
2009-10-30,14.0987
2009-09-30,12.8343
2009-08-31,11.6803
2009-07-31,10.7370
2009-06-30,10.1083
2009-05-29,9.9207
2009-04-30,10.1313
2009-03-31,10.6723
2009-02-27,11.6863
2009-01-30,12.9860
2008-12-31,14.2873
2008-11-28,15.5363
2008-10-31,16.8653
2008-09-30,17.9780
2008-08-29,18.8600
2008-07-31,19.5653
2008-06-30,20.1823
2008-05-30,20.6523
2008-04-30,20.9977
2008-03-31,21.4277
2008-02-29,21.8913
2008-01-31,22.4597
2007-12-31,23.0250
2007-11-30,23.6527
2007-10-31,24.2482
2007-09-28,24.8498
2007-08-31,25.2855
2007-07-31,25.4885
2007-06-29,25.4457
2007-05-31,24.9932
2007-04-30,24.1197
2007-03-30,22.9743
2007-02-28,21.6825
2007-01-31,20.3637
2006-12-29,19.1445
2006-11-30,18.1980
2006-10-31,17.4725
2006-09-29,16.8562
2006-08-31,16.3165
2006-07-31,15.7867
2006-06-30,15.3378
2006-05-31,14.9782
2006-04-28,14.7370
2006-03-31,14.5518
2006-02-28,14.4758
2006-01-31,14.4302
2005-12-30,14.3810
2005-11-30,14.3620
2005-10-31,14.3553
2005-09-30,14.4535
2005-08-31,14.5835
2005-07-29,14.6940
2005-06-30,14.6197
2005-05-31,14.3265
2005-04-29,13.8245
2005-03-31,13.1308
2005-02-28,12.3698
2005-01-31,11.7677
2004-12-31,11.5167
2004-11-30,11.6415
2004-10-29,12.1285
2004-09-30,12.8495
2004-08-31,13.7452
2004-07-30,14.6065
2004-06-30,15.2852
2004-05-28,15.8305
2004-04-30,16.2607
2004-03-31,16.5102
2004-02-27,16.5052
2004-01-30,16.2698
2003-12-31,15.6572
2003-11-28,14.6170
2003-10-31,13.2685
2003-09-30,11.8768
2003-08-29,10.5987
2003-07-31,9.5427
2003-06-30,8.9030
2003-05-30,8.6030
2003-04-30,8.5322
2003-03-31,8.5833
2003-02-28,8.8267
2003-01-31,9.2638
2002-12-31,9.8462
2002-11-29,10.5803
2002-10-31,11.3078
2002-09-30,11.9407
2002-08-30,12.2463
2002-07-31,12.2018
2002-06-28,11.7373
2002-05-31,11.0190
2002-04-30,10.1940
2002-03-28,9.3647
2002-02-28,8.6372
2002-01-31,8.0165
2001-12-31,7.5317
2001-11-30,6.9732
2001-10-31,6.3458
2001-09-28,5.6030
2001-08-31,4.8158
2001-07-31,3.9835
2001-06-29,3.2639
2001-05-31,2.7183
2001-04-30,2.3475
2001-03-30,2.1483
2001-02-28,2.0341
2001-01-31,1.9508
2000-12-29,1.8544
2000-11-30,1.7325
2000-10-31,1.5908
2000-09-29,1.4533
