,TRIMA_monthly_10
2022-04-04,44.2705
2022-03-31,42.7073
2022-02-28,41.5745
2022-01-31,40.8924
2021-12-31,40.0924
2021-11-30,38.9348
2021-10-29,37.8051
2021-09-30,36.6125
2021-08-31,35.4047
2021-07-30,34.2020
2021-06-30,33.3859
2021-05-28,32.8858
2021-04-30,32.6087
2021-03-31,32.5297
2021-02-26,32.5800
2021-01-29,32.6808
2020-12-31,32.5485
2020-11-30,32.1657
2020-10-30,31.4626
2020-09-30,30.6173
2020-08-31,29.6226
2020-07-31,28.5280
2020-06-30,27.5383
2020-05-29,26.6616
2020-04-30,25.7607
2020-03-31,24.7979
2020-02-28,23.9136
2020-01-31,23.2035
2019-12-31,22.5973
2019-11-29,22.3484
2019-10-31,22.5564
2019-09-30,23.0912
2019-08-30,23.8059
2019-07-31,24.6834
2019-06-28,25.5262
2019-05-31,26.2115
2019-04-30,26.7363
2019-03-29,27.0769
2019-02-28,27.1292
2019-01-31,26.9001
2018-12-31,26.4454
2018-11-30,25.8345
2018-10-31,25.2352
2018-09-28,24.7699
2018-08-31,24.4931
2018-07-31,24.2395
2018-06-29,24.0045
2018-05-31,23.5686
2018-04-30,22.9851
2018-03-29,22.2280
2018-02-28,21.7248
2018-01-31,21.6100
2017-12-29,21.9408
2017-11-30,22.7506
2017-10-31,23.9715
2017-09-29,25.4126
2017-08-31,26.6592
2017-07-31,27.6610
2017-06-30,28.3696
2017-05-31,28.7997
2017-04-28,28.8991
2017-03-31,28.9900
2017-02-28,29.1435
2017-01-31,29.4223
2016-12-30,29.9505
2016-11-30,30.7078
2016-10-31,31.5356
2016-09-30,32.4101
2016-08-31,33.2100
2016-07-29,33.8269
2016-06-30,34.1446
2016-05-31,34.1655
2016-04-29,34.0500
2016-03-31,33.7136
2016-02-29,33.2689
2016-01-29,32.7908
2015-12-31,32.5395
2015-11-30,32.3080
2015-10-30,32.1034
2015-09-30,31.8153
2015-08-31,31.4361
2015-07-31,30.7980
2015-06-30,29.7679
2015-05-29,28.5816
2015-04-30,27.2240
2015-03-31,25.8406
2015-02-27,24.4740
2015-01-30,23.3278
2014-12-31,22.3556
2014-11-28,21.5456
2014-10-31,20.7651
2014-09-30,20.0176
2014-08-29,19.3238
2014-07-31,18.7047
2014-06-30,18.1687
2014-05-30,17.7423
2014-04-30,17.5057
2014-03-31,17.2852
2014-02-28,16.9960
2014-01-31,16.6340
2013-12-31,16.2465
2013-11-29,15.7081
2013-10-31,15.0761
2013-09-30,14.4389
2013-08-30,13.8174
2013-07-31,13.1686
2013-06-28,12.4889
2013-05-31,11.8763
2013-04-30,11.3073
2013-03-28,10.8044
2013-02-28,10.3727
2013-01-31,10.0507
2012-12-31,9.8373
2012-11-30,9.7236
2012-10-31,9.6726
2012-09-28,9.6962
2012-08-31,9.7636
2012-07-31,9.8204
2012-06-29,9.8246
2012-05-31,9.8034
2012-04-30,9.7832
2012-03-30,9.7545
2012-02-29,9.7497
2012-01-31,9.7922
2011-12-30,9.8660
2011-11-30,9.9158
2011-10-31,9.9106
2011-09-30,9.8497
2011-08-31,9.7559
2011-07-29,9.6028
2011-06-30,9.4273
2011-05-31,9.2562
2011-04-29,9.1158
2011-03-31,8.9569
2011-02-28,8.7833
2011-01-31,8.6447
2010-12-31,8.5494
2010-11-30,8.4892
2010-10-29,8.4686
