,TRIMA_monthly_10
2022-04-04,158.1887
2022-03-31,154.1503
2022-02-28,150.4670
2022-01-31,147.3223
2021-12-31,145.3450
2021-11-30,144.3033
2021-10-29,143.2300
2021-09-30,142.1360
2021-08-31,140.8683
2021-07-30,137.7453
2021-06-30,132.3403
2021-05-28,126.4190
2021-04-30,119.5682
2021-03-31,111.7347
2021-02-26,104.4768
2021-01-29,99.0053
2020-12-31,94.4468
2020-11-30,91.6742
2020-10-30,92.2970
2020-09-30,96.3687
2020-08-31,102.2150
2020-07-31,109.8086
2020-06-30,118.3198
2020-05-29,125.0120
2020-04-30,129.4673
2020-03-31,131.8088
2020-02-28,132.4496
2020-01-31,131.7623
2019-12-31,131.0306
2019-11-29,130.3084
2019-10-31,129.1549
2019-09-30,127.4758
2019-08-30,125.1541
2019-07-31,122.1726
2019-06-28,119.4472
2019-05-31,117.5682
2019-04-30,117.1673
2019-03-29,117.6788
2019-02-28,119.4925
2019-01-31,121.7252
2018-12-31,124.0477
2018-11-30,126.4152
2018-10-31,128.8290
2018-09-28,130.8812
2018-08-31,132.0224
2018-07-31,132.4861
2018-06-29,131.6470
2018-05-31,128.9637
2018-04-30,124.5925
2018-03-29,119.3511
2018-02-28,114.0402
2018-01-31,108.7528
2017-12-29,104.1631
2017-11-30,100.4349
2017-10-31,97.2229
2017-09-29,94.0724
2017-08-31,90.8049
2017-07-31,87.2354
2017-06-30,83.3431
2017-05-31,79.5704
2017-04-28,75.9516
2017-03-31,72.7423
2017-02-28,69.9492
2017-01-31,68.0565
2016-12-30,66.7943
2016-11-30,65.8521
2016-10-31,65.0988
2016-09-30,64.7702
2016-08-31,64.5526
2016-07-29,64.4259
2016-06-30,64.3004
2016-05-31,64.5842
2016-04-29,65.2074
2016-03-31,65.9097
2016-02-29,66.6241
2016-01-29,67.5339
2015-12-31,68.7434
2015-11-30,69.9852
2015-10-30,71.0582
2015-09-30,72.0259
2015-08-31,72.9189
2015-07-31,73.3035
2015-06-30,72.9809
2015-05-29,72.1752
2015-04-30,70.9547
2015-03-31,69.2797
2015-02-27,67.2071
2015-01-30,64.9067
2014-12-31,62.6028
2014-11-28,60.1336
2014-10-31,57.6222
2014-09-30,55.1890
2014-08-29,52.8585
2014-07-31,50.5639
2014-06-30,48.3113
2014-05-30,46.0978
2014-04-30,44.1023
2014-03-31,42.2817
2014-02-28,40.7020
2014-01-31,39.4879
2013-12-31,38.7146
2013-11-29,38.1619
2013-10-31,37.8370
2013-09-30,37.5733
2013-08-30,37.2001
2013-07-31,36.6252
2013-06-28,35.9736
2013-05-31,35.3176
2013-04-30,34.6486
2013-03-28,34.2114
2013-02-28,34.0458
2013-01-31,34.0537
2012-12-31,34.0778
2012-11-30,34.1379
2012-10-31,34.0828
2012-09-28,33.6569
2012-08-31,32.9125
2012-07-31,31.9276
2012-06-29,30.6542
2012-05-31,29.2121
2012-04-30,27.9568
2012-03-30,27.0708
2012-02-29,26.6135
2012-01-31,26.6243
2011-12-30,27.0965
2011-11-30,27.9593
2011-10-31,28.8902
2011-09-30,29.8413
2011-08-31,30.7258
2011-07-29,31.4269
2011-06-30,31.8592
2011-05-31,31.8968
2011-04-29,31.6133
2011-03-31,30.9713
2011-02-28,30.1224
2011-01-31,29.2606
2010-12-31,28.4827
2010-11-30,27.7264
2010-10-29,27.0807
2010-09-30,26.5216
2010-08-31,25.7572
2010-07-30,24.7876
2010-06-30,23.8423
2010-05-28,23.0195
2010-04-30,22.1394
2010-03-31,21.3278
2010-02-26,20.7707
2010-01-29,20.2798
2009-12-31,19.5686
2009-11-30,18.7184
2009-10-30,17.8682
2009-09-30,17.0134
2009-08-31,16.0230
2009-07-31,15.2653
2009-06-30,15.0383
2009-05-29,15.3335
2009-04-30,15.9600
2009-03-31,16.9467
2009-02-27,18.4400
2009-01-30,20.0321
2008-12-31,21.4649
2008-11-28,22.7966
2008-10-31,24.2154
2008-09-30,25.4158
2008-08-29,26.3784
2008-07-31,27.3037
2008-06-30,28.3167
2008-05-30,29.3362
2008-04-30,30.2924
2008-03-31,31.3678
2008-02-29,32.4893
2008-01-31,33.4749
2007-12-31,34.3310
2007-11-30,35.1310
2007-10-31,35.8647
2007-09-28,36.4899
2007-08-31,36.9824
2007-07-31,37.2381
2007-06-29,37.1268
2007-05-31,36.5694
2007-04-30,35.5488
2007-03-30,34.2968
2007-02-28,32.8975
2007-01-31,31.6333
2006-12-29,30.5248
2006-11-30,29.6673
2006-10-31,29.0161
2006-09-29,28.4811
2006-08-31,27.9836
2006-07-31,27.4240
2006-06-30,26.8842
2006-05-31,26.3252
2006-04-28,25.9133
2006-03-31,25.6198
2006-02-28,25.5425
2006-01-31,25.5806
2005-12-30,25.7381
2005-11-30,25.8836
2005-10-31,25.9435
2005-09-30,25.8961
2005-08-31,25.6675
2005-07-29,25.2803
2005-06-30,24.6858
2005-05-31,23.9428
2005-04-29,23.0803
2005-03-31,22.1863
2005-02-28,21.3019
2005-01-31,20.5171
2004-12-31,19.8275
2004-11-30,19.2899
2004-10-29,18.8667
2004-09-30,18.4940
2004-08-31,18.1718
2004-07-30,17.9213
2004-06-30,17.7142
2004-05-28,17.5154
2004-04-30,17.3222
2004-03-31,17.0736
2004-02-27,16.7892
2004-01-30,16.4037
2003-12-31,15.9218
2003-11-28,15.3450
2003-10-31,14.7410
2003-09-30,14.1526
2003-08-29,13.6154
2003-07-31,13.1595
2003-06-30,12.8050
2003-05-30,12.6115
2003-04-30,12.5198
2003-03-31,12.5383
2003-02-28,12.6817
2003-01-31,13.0289
2002-12-31,13.5486
2002-11-29,14.1257
2002-10-31,14.7300
2002-09-30,15.3079
2002-08-30,15.6822
2002-07-31,15.6901
2002-06-28,15.4636
2002-05-31,15.1984
2002-04-30,14.9879
2002-03-28,14.8980
2002-02-28,15.0936
2002-01-31,15.6221
2001-12-31,16.1944
2001-11-30,16.6638
2001-10-31,17.0283
2001-09-28,17.2042
2001-08-31,17.1191
2001-07-31,16.8667
2001-06-29,16.5688
2001-05-31,16.2512
2001-04-30,15.9170
2001-03-30,15.5795
2001-02-28,15.2486
2001-01-31,14.8701
2000-12-29,14.4692
2000-11-30,13.9983
2000-10-31,13.4960
2000-09-29,12.9987
