,TRIMA_monthly_10
2022-04-04,21.5753
2022-03-31,21.2700
2022-02-28,21.0053
2022-01-31,20.8507
2021-12-31,20.8623
2021-11-30,20.8090
2021-10-29,20.6843
2021-09-30,20.4713
2021-08-31,20.0793
2021-07-30,19.3857
2021-06-30,18.4563
2021-05-28,17.3318
2021-04-30,16.0620
2021-03-31,14.7235
2021-02-26,13.4320
2021-01-29,12.2462
2020-12-31,11.2792
2020-11-30,10.5807
2020-10-30,10.2588
2020-09-30,10.2757
2020-08-31,10.5438
2020-07-31,11.0157
2020-06-30,11.5387
2020-05-29,11.8780
2020-04-30,12.0870
2020-03-31,12.1350
2020-02-28,12.0140
2020-01-31,11.8153
2019-12-31,11.7367
2019-11-29,11.8130
2019-10-31,11.8753
2019-09-30,11.9587
2019-08-30,12.1687
2019-07-31,12.3713
2019-06-28,12.5100
2019-05-31,12.7743
2019-04-30,13.2137
2019-03-29,13.7323
2019-02-28,14.2587
2019-01-31,14.7357
2018-12-31,15.0940
2018-11-30,15.3337
2018-10-31,15.3580
2018-09-28,15.2937
2018-08-31,15.2797
2018-07-31,15.3280
2018-06-29,15.4383
2018-05-31,15.5603
2018-04-30,15.8503
2018-03-29,16.2478
2018-02-28,16.8163
2018-01-31,17.5646
2017-12-29,18.6179
2017-11-30,19.8328
2017-10-31,21.0267
2017-09-29,22.2427
2017-08-31,23.4547
2017-07-31,24.6196
2017-06-30,25.6150
2017-05-31,26.6445
2017-04-28,27.7078
2017-03-31,28.6136
2017-02-28,29.2368
2017-01-31,29.6975
2016-12-30,30.0271
2016-11-30,30.1091
2016-10-31,29.8930
2016-09-30,29.5417
2016-08-31,28.9892
2016-07-29,28.1342
2016-06-30,26.9168
2016-05-31,25.6006
2016-04-29,24.2769
2016-03-31,23.1205
2016-02-29,22.1891
2016-01-29,21.7441
2015-12-31,21.6318
2015-11-30,21.7381
2015-10-30,22.0018
2015-09-30,22.3916
2015-08-31,22.8439
2015-07-31,23.3255
2015-06-30,23.9490
2015-05-29,24.6978
2015-04-30,25.5385
2015-03-31,26.4409
2015-02-27,27.4652
2015-01-30,28.4937
2014-12-31,29.5551
2014-11-28,30.4536
2014-10-31,31.1935
2014-09-30,31.9642
2014-08-29,32.7090
2014-07-31,33.3299
2014-06-30,33.9204
2014-05-30,34.5326
2014-04-30,35.0268
2014-03-31,35.2564
2014-02-28,35.3036
2014-01-31,35.3377
2013-12-31,35.3361
2013-11-29,35.2273
2013-10-31,35.0659
2013-09-30,34.7157
2013-08-30,34.1388
2013-07-31,33.2753
2013-06-28,32.1845
2013-05-31,31.0628
2013-04-30,30.1106
2013-03-28,29.2446
2013-02-28,28.4497
2013-01-31,27.7933
2012-12-31,27.2391
2012-11-30,26.6793
2012-10-31,26.1206
2012-09-28,25.6093
2012-08-31,25.1229
2012-07-31,24.5492
2012-06-29,23.8498
2012-05-31,23.1186
2012-04-30,22.4010
2012-03-30,21.7397
2012-02-29,21.1567
2012-01-31,20.7360
2011-12-30,20.4363
2011-11-30,20.2021
2011-10-31,19.9011
2011-09-30,19.6100
2011-08-31,19.3238
2011-07-29,18.9649
2011-06-30,18.6027
2011-05-31,18.2034
2011-04-29,17.7886
2011-03-31,17.2974
2011-02-28,16.8141
2011-01-31,16.3835
2010-12-31,16.0582
2010-11-30,15.8355
2010-10-29,15.7003
2010-09-30,15.6368
2010-08-31,15.5282
2010-07-30,15.3224
2010-06-30,14.9742
2010-05-28,14.5491
2010-04-30,14.0858
2010-03-31,13.5671
2010-02-26,13.0570
2010-01-29,12.5738
2009-12-31,12.0422
2009-11-30,11.4352
2009-10-30,10.8580
2009-09-30,10.3854
2009-08-31,9.9427
2009-07-31,9.6423
2009-06-30,9.6116
2009-05-29,9.8079
2009-04-30,10.1156
2009-03-31,10.4896
2009-02-27,11.0223
2009-01-30,11.5088
2008-12-31,11.8872
2008-11-28,12.1550
2008-10-31,12.4392
2008-09-30,12.6240
2008-08-29,12.7238
2008-07-31,12.8132
2008-06-30,12.9620
2008-05-30,13.1232
2008-04-30,13.2660
2008-03-31,13.5287
2008-02-29,13.9144
2008-01-31,14.3967
2007-12-31,14.9321
2007-11-30,15.5363
2007-10-31,16.0545
2007-09-28,16.3642
2007-08-31,16.3904
2007-07-31,16.1973
2007-06-29,15.7345
2007-05-31,15.0790
2007-04-30,14.3349
2007-03-30,13.5789
2007-02-28,12.8376
2007-01-31,12.1420
2006-12-29,11.5766
2006-11-30,11.1144
2006-10-31,10.7601
2006-09-29,10.5100
2006-08-31,10.3884
2006-07-31,10.2609
2006-06-30,10.1345
2006-05-31,10.0529
2006-04-28,10.0183
2006-03-31,10.0267
2006-02-28,10.0935
2006-01-31,10.2654
2005-12-30,10.5165
2005-11-30,10.7921
2005-10-31,11.0439
2005-09-30,11.2988
2005-08-31,11.4948
2005-07-29,11.5794
2005-06-30,11.5345
2005-05-31,11.3706
2005-04-29,11.1367
2005-03-31,10.8632
2005-02-28,10.5801
2005-01-31,10.3584
2004-12-31,10.2460
2004-11-30,10.2363
2004-10-29,10.2865
2004-09-30,10.3849
2004-08-31,10.5396
2004-07-30,10.7274
2004-06-30,10.8615
2004-05-28,10.9674
2004-04-30,11.0561
2004-03-31,11.0850
2004-02-27,11.0990
2004-01-30,11.1555
2003-12-31,11.2805
2003-11-28,11.4410
2003-10-31,11.6263
2003-09-30,11.7919
2003-08-29,11.8954
2003-07-31,11.8666
2003-06-30,11.7138
2003-05-30,11.5132
2003-04-30,11.2849
2003-03-31,11.1091
2003-02-28,11.0091
2003-01-31,11.0385
2002-12-31,11.1582
2002-11-29,11.2924
2002-10-31,11.3945
2002-09-30,11.4123
2002-08-30,11.3333
2002-07-31,11.1673
2002-06-28,10.9115
2002-05-31,10.6331
2002-04-30,10.4064
2002-03-28,10.2649
2002-02-28,10.1444
2002-01-31,10.0702
2001-12-31,10.0544
2001-11-30,10.0409
2001-10-31,9.9384
2001-09-28,9.7636
2001-08-31,9.5437
2001-07-31,9.2238
2001-06-29,8.8055
2001-05-31,8.3095
2001-04-30,7.8245
2001-03-30,7.4113
2001-02-28,7.0702
2001-01-31,6.8315
2000-12-29,6.7060
2000-11-30,6.6462
2000-10-31,6.5974
2000-09-29,6.5321
