,TRIMA_monthly_10
2022-04-04,43.1058
2022-03-31,42.9976
2022-02-28,42.8438
2022-01-31,42.4350
2021-12-31,41.9099
2021-11-30,41.3969
2021-10-29,40.6592
2021-09-30,39.4407
2021-08-31,37.9497
2021-07-30,35.9591
2021-06-30,33.5884
2021-05-28,31.0070
2021-04-30,28.3814
2021-03-31,25.7529
2021-02-26,23.4270
2021-01-29,21.5177
2020-12-31,19.7864
2020-11-30,18.5325
2020-10-30,18.2589
2020-09-30,18.8937
2020-08-31,20.1321
2020-07-31,22.0792
2020-06-30,24.4835
2020-05-29,26.5054
2020-04-30,27.9450
2020-03-31,28.7423
2020-02-28,28.9204
2020-01-31,28.5096
2019-12-31,27.9154
2019-11-29,27.3127
2019-10-31,26.8449
2019-09-30,26.4705
2019-08-30,26.2273
2019-07-31,26.0533
2019-06-28,25.9954
2019-05-31,26.0302
2019-04-30,26.2673
2019-03-29,26.5891
2019-02-28,27.0541
2019-01-31,27.5990
2018-12-31,28.3000
2018-11-30,29.1081
2018-10-31,29.9250
2018-09-28,30.7377
2018-08-31,31.4841
2018-07-31,32.0014
2018-06-29,32.2734
2018-05-31,32.3431
2018-04-30,32.1610
2018-03-29,31.8271
2018-02-28,31.4191
2018-01-31,31.0690
2017-12-29,30.5954
2017-11-30,30.0234
2017-10-31,29.3871
2017-09-29,28.7489
2017-08-31,28.0386
2017-07-31,27.3521
2017-06-30,26.8366
2017-05-31,26.3835
2017-04-28,25.8637
2017-03-31,25.2478
2017-02-28,24.5945
2017-01-31,23.8348
2016-12-30,23.0062
2016-11-30,22.1732
2016-10-31,21.4126
2016-09-30,20.8391
2016-08-31,20.4153
2016-07-29,20.1955
2016-06-30,20.0375
2016-05-31,20.0495
2016-04-29,20.0441
2016-03-31,19.9016
2016-02-29,19.6151
2016-01-29,19.3584
2015-12-31,19.1356
2015-11-30,18.9683
2015-10-30,18.9372
2015-09-30,19.0891
2015-08-31,19.3920
2015-07-31,19.6799
2015-06-30,19.9819
2015-05-29,20.3744
2015-04-30,20.9001
2015-03-31,21.4969
2015-02-27,22.1200
2015-01-30,22.7504
2014-12-31,23.3915
2014-11-28,23.8980
2014-10-31,24.1685
2014-09-30,24.2560
2014-08-29,24.0748
2014-07-31,23.6020
2014-06-30,22.8618
2014-05-30,21.8894
2014-04-30,20.7545
2014-03-31,19.5509
2014-02-28,18.4156
2014-01-31,17.2960
2013-12-31,16.2573
2013-11-29,15.3082
2013-10-31,14.5227
2013-09-30,13.7649
2013-08-30,13.0039
2013-07-31,12.3525
2013-06-28,11.7890
2013-05-31,11.2543
2013-04-30,10.7160
2013-03-28,10.3206
2013-02-28,10.0664
2013-01-31,9.9856
2012-12-31,10.0778
2012-11-30,10.3952
2012-10-31,10.8387
2012-09-28,11.2379
2012-08-31,11.5223
2012-07-31,11.6566
2012-06-29,11.5317
2012-05-31,11.2109
2012-04-30,10.9778
2012-03-30,10.8491
2012-02-29,10.9306
2012-01-31,11.1841
2011-12-30,11.6440
2011-11-30,12.1294
2011-10-31,12.5185
2011-09-30,12.8089
2011-08-31,12.9737
2011-07-29,12.9627
2011-06-30,12.8026
2011-05-31,12.4962
2011-04-29,12.0133
2011-03-31,11.4562
2011-02-28,10.9611
2011-01-31,10.6808
2010-12-31,10.5782
2010-11-30,10.6487
2010-10-29,10.8894
2010-09-30,11.1061
2010-08-31,11.1074
2010-07-30,10.8777
2010-06-30,10.6012
2010-05-28,10.2533
2010-04-30,9.8012
2010-03-31,9.3228
2010-02-26,8.9547
2010-01-29,8.5574
2009-12-31,7.9198
2009-11-30,7.2463
2009-10-30,6.6828
2009-09-30,6.4491
2009-08-31,6.3856
2009-07-31,6.8817
2009-06-30,8.3573
2009-05-29,10.8057
2009-04-30,13.6834
2009-03-31,17.0522
2009-02-27,21.3380
2009-01-30,25.8918
2008-12-31,30.4009
2008-11-28,35.0793
2008-10-31,40.4991
2008-09-30,46.3248
2008-08-29,52.2322
2008-07-31,58.4601
2008-06-30,64.8224
2008-05-30,70.5141
2008-04-30,74.6410
2008-03-31,77.5464
2008-02-29,78.9598
2008-01-31,78.6421
2007-12-31,76.9937
2007-11-30,74.9269
2007-10-31,72.8098
2007-09-28,70.1215
2007-08-31,67.3891
2007-07-31,64.5211
2007-06-29,61.1145
2007-05-31,56.6938
2007-04-30,51.9805
2007-03-30,47.5570
2007-02-28,43.5084
2007-01-31,40.4636
2006-12-29,38.6450
2006-11-30,37.9501
2006-10-31,37.8237
2006-09-29,37.9545
2006-08-31,37.9209
2006-07-31,37.5371
2006-06-30,37.1341
2006-05-31,36.8497
2006-04-28,36.9592
2006-03-31,37.2656
2006-02-28,37.8082
2006-01-31,38.2520
2005-12-30,38.2663
2005-11-30,37.8539
2005-10-31,37.0496
2005-09-30,36.1451
2005-08-31,35.0368
2005-07-29,33.9397
2005-06-30,32.6725
2005-05-31,31.1891
2005-04-29,29.3716
2005-03-31,27.4296
2005-02-28,25.5209
2005-01-31,23.7074
2004-12-31,22.2314
2004-11-30,21.1187
2004-10-29,20.2540
2004-09-30,19.3690
2004-08-31,18.5210
2004-07-30,17.7149
2004-06-30,16.8639
2004-05-28,16.0739
2004-04-30,15.4415
2004-03-31,14.9643
2004-02-27,14.5015
2004-01-30,14.0614
2003-12-31,13.6211
2003-11-28,13.1207
2003-10-31,12.5583
2003-09-30,12.1023
2003-08-29,11.8144
2003-07-31,11.6590
2003-06-30,11.7519
2003-05-30,12.0833
2003-04-30,12.5478
2003-03-31,12.9486
2003-02-28,13.3652
2003-01-31,13.7951
2002-12-31,14.0797
2002-11-29,14.2330
2002-10-31,14.3435
2002-09-30,14.3377
2002-08-30,14.0612
2002-07-31,13.5619
2002-06-28,12.8944
2002-05-31,12.1896
2002-04-30,11.5275
2002-03-28,11.0306
2002-02-28,10.8383
2002-01-31,10.9318
2001-12-31,11.1298
2001-11-30,11.3197
2001-10-31,11.4719
2001-09-28,11.5330
2001-08-31,11.4536
2001-07-31,11.3990
2001-06-29,11.5484
2001-05-31,11.8206
2001-04-30,12.2066
2001-03-30,12.6823
2001-02-28,13.1431
2001-01-31,13.3629
2000-12-29,13.2947
2000-11-30,12.9437
2000-10-31,12.3370
2000-09-29,11.5921
