,TRIMA_monthly_10
2022-04-04,161.6868
2022-03-31,159.4988
2022-02-28,156.5882
2022-01-31,153.2802
2021-12-31,148.9378
2021-11-30,143.4251
2021-10-29,137.7843
2021-09-30,132.2171
2021-08-31,126.9029
2021-07-30,121.5090
2021-06-30,117.2686
2021-05-28,114.2489
2021-04-30,112.2291
2021-03-31,110.6777
2021-02-26,109.9034
2021-01-29,109.1671
2020-12-31,107.5260
2020-11-30,105.3280
2020-10-30,103.2855
2020-09-30,101.6545
2020-08-31,100.2877
2020-07-31,100.0408
2020-06-30,100.5734
2020-05-29,101.1155
2020-04-30,101.1101
2020-03-31,100.6624
2020-02-28,99.6121
2020-01-31,97.8230
2019-12-31,95.9889
2019-11-29,94.3576
2019-10-31,92.7659
2019-09-30,90.9421
2019-08-30,89.1994
2019-07-31,87.3509
2019-06-28,85.3677
2019-05-31,83.4559
2019-04-30,82.0257
2019-03-29,80.8864
2019-02-28,79.7885
2019-01-31,78.9437
2018-12-31,78.3634
2018-11-30,77.8877
2018-10-31,77.3479
2018-09-28,77.0550
2018-08-31,76.9777
2018-07-31,76.8882
2018-06-29,76.8886
2018-05-31,76.7335
2018-04-30,76.4252
2018-03-29,75.9010
2018-02-28,75.1980
2018-01-31,74.2486
2017-12-29,73.1473
2017-11-30,72.0773
2017-10-31,70.8095
2017-09-29,69.4230
2017-08-31,67.9947
2017-07-31,66.5454
2017-06-30,65.0356
2017-05-31,63.6527
2017-04-28,62.5183
2017-03-31,61.6629
2017-02-28,61.0368
2017-01-31,60.6076
2016-12-30,60.1639
2016-11-30,59.4724
2016-10-31,58.3837
2016-09-30,57.0041
2016-08-31,55.3088
2016-07-29,53.5859
2016-06-30,51.9255
2016-05-31,50.5387
2016-04-29,49.6792
2016-03-31,49.1804
2016-02-29,48.9906
2016-01-29,49.0695
2015-12-31,49.3640
2015-11-30,49.6171
2015-10-30,49.7121
2015-09-30,49.7388
2015-08-31,49.7075
2015-07-31,49.5106
2015-06-30,49.1120
2015-05-29,48.7264
2015-04-30,48.2381
2015-03-31,47.6401
2015-02-27,46.9104
2015-01-30,46.1434
2014-12-31,45.4001
2014-11-28,44.6021
2014-10-31,43.8176
2014-09-30,43.1186
2014-08-29,42.4868
2014-07-31,41.8429
2014-06-30,41.1780
2014-05-30,40.4617
2014-04-30,39.7363
2014-03-31,38.8525
2014-02-28,37.8584
2014-01-31,36.8082
2013-12-31,35.7988
2013-11-29,34.7842
2013-10-31,33.8305
2013-09-30,32.9364
2013-08-30,32.1295
2013-07-31,31.3697
2013-06-28,30.6129
2013-05-31,29.9538
2013-04-30,29.3847
2013-03-28,28.8888
2013-02-28,28.4149
2013-01-31,28.0378
2012-12-31,27.7125
2012-11-30,27.3690
2012-10-31,27.0432
2012-09-28,26.7912
2012-08-31,26.5077
2012-07-31,26.1791
2012-06-29,25.7636
2012-05-31,25.3525
2012-04-30,24.9008
2012-03-30,24.4852
2012-02-29,24.1593
2012-01-31,23.9928
2011-12-30,23.9549
2011-11-30,23.9942
2011-10-31,24.0041
2011-09-30,23.9003
2011-08-31,23.6592
2011-07-29,23.1909
2011-06-30,22.5536
2011-05-31,21.7819
2011-04-29,20.9979
2011-03-31,20.2364
2011-02-28,19.5300
2011-01-31,18.9535
2010-12-31,18.5622
2010-11-30,18.2731
2010-10-29,18.0597
2010-09-30,17.9203
2010-08-31,17.8209
2010-07-30,17.6943
2010-06-30,17.5880
2010-05-28,17.5399
2010-04-30,17.4757
2010-03-31,17.3433
2010-02-26,17.1400
2010-01-29,16.8694
2009-12-31,16.4779
2009-11-30,15.9741
2009-10-30,15.4919
2009-09-30,15.2019
2009-08-31,15.1332
2009-07-31,15.3772
2009-06-30,16.0421
2009-05-29,17.0762
2009-04-30,18.2273
2009-03-31,19.2733
2009-02-27,20.1624
2009-01-30,20.7301
2008-12-31,20.7774
2008-11-28,20.4507
2008-10-31,20.0505
2008-09-30,19.6063
2008-08-29,19.1533
2008-07-31,18.8385
2008-06-30,18.7084
2008-05-30,18.6243
2008-04-30,18.5423
2008-03-31,18.6149
2008-02-29,18.9101
2008-01-31,19.3158
2007-12-31,19.7831
2007-11-30,20.3166
2007-10-31,20.7925
2007-09-28,21.0819
2007-08-31,21.2001
2007-07-31,21.1748
2007-06-29,21.0584
2007-05-31,20.8215
2007-04-30,20.5337
2007-03-30,20.1932
2007-02-28,19.8292
2007-01-31,19.5194
2006-12-29,19.3123
2006-11-30,19.2708
2006-10-31,19.3926
2006-09-29,19.7039
2006-08-31,20.0531
2006-07-31,20.3407
2006-06-30,20.5436
2006-05-31,20.6061
2006-04-28,20.5261
2006-03-31,20.2898
2006-02-28,20.0459
2006-01-31,19.7535
2005-12-30,19.5257
2005-11-30,19.4278
2005-10-31,19.4954
2005-09-30,19.7200
2005-08-31,19.9603
2005-07-29,20.1927
2005-06-30,20.6614
2005-05-31,21.3215
2005-04-29,22.1285
2005-03-31,23.2128
2005-02-28,24.6400
2005-01-31,26.1099
2004-12-31,27.3194
2004-11-30,28.3317
2004-10-29,29.1250
2004-09-30,29.6381
2004-08-31,29.7760
2004-07-30,29.8532
2004-06-30,29.8882
2004-05-28,29.9114
2004-04-30,29.9313
2004-03-31,30.0052
2004-02-27,30.2510
2004-01-30,30.5749
2003-12-31,30.7527
2003-11-28,30.6781
2003-10-31,30.3960
2003-09-30,29.8907
2003-08-29,29.2184
2003-07-31,28.6305
2003-06-30,28.2187
2003-05-30,28.1205
2003-04-30,28.2347
2003-03-31,28.4535
2003-02-28,28.7592
2003-01-31,29.1636
2002-12-31,29.7071
2002-11-29,30.2273
2002-10-31,30.7690
2002-09-30,31.3578
2002-08-30,31.9320
2002-07-31,32.1585
2002-06-28,32.1359
2002-05-31,31.9210
2002-04-30,31.5785
2002-03-28,31.1067
2002-02-28,30.6571
2002-01-31,30.3686
2001-12-31,30.1930
2001-11-30,30.1751
2001-10-31,30.3018
2001-09-28,30.6113
2001-08-31,31.0257
2001-07-31,31.8020
2001-06-29,32.8147
2001-05-31,33.8658
2001-04-30,34.8946
2001-03-30,35.6960
2001-02-28,36.1164
2001-01-31,35.8367
2000-12-29,35.2166
2000-11-30,34.0505
2000-10-31,32.7325
2000-09-29,31.3656
