,TRIMA_monthly_10
2022-04-04,589.8409
2022-03-31,601.6240
2022-02-28,603.2226
2022-01-31,595.3752
2021-12-31,576.8474
2021-11-30,549.0386
2021-10-29,517.2372
2021-09-30,487.9324
2021-08-31,462.6368
2021-07-30,439.1239
2021-06-30,420.8526
2021-05-28,407.8685
2021-04-30,397.1154
2021-03-31,384.5860
2021-02-26,373.8924
2021-01-29,364.5144
2020-12-31,354.2725
2020-11-30,342.1137
2020-10-30,330.7191
2020-09-30,319.5082
2020-08-31,306.7681
2020-07-31,293.2310
2020-06-30,279.9279
2020-05-29,267.5966
2020-04-30,255.8271
2020-03-31,245.7043
2020-02-28,237.3289
2020-01-31,230.9854
2019-12-31,226.0215
2019-11-29,221.3547
2019-10-31,215.4795
2019-09-30,207.9248
2019-08-30,198.6311
2019-07-31,187.5196
2019-06-28,177.3357
2019-05-31,168.8540
2019-04-30,163.2068
2019-03-29,160.1848
2019-02-28,159.7751
2019-01-31,160.0574
2018-12-31,159.5971
2018-11-30,158.0310
2018-10-31,155.0306
2018-09-28,150.6193
2018-08-31,145.1435
2018-07-31,139.5342
2018-06-29,134.1354
2018-05-31,128.7420
2018-04-30,123.6283
2018-03-29,118.8498
2018-02-28,114.2502
2018-01-31,110.1528
2017-12-29,106.2911
2017-11-30,102.7630
2017-10-31,99.1612
2017-09-29,95.6590
2017-08-31,91.9766
2017-07-31,88.2881
2017-06-30,84.8202
2017-05-31,82.0408
2017-04-28,80.1317
2017-03-31,78.8977
2017-02-28,78.3326
2017-01-31,78.0561
2016-12-30,77.6146
2016-11-30,76.4561
2016-10-31,74.8132
2016-09-30,72.9855
2016-08-31,70.9894
2016-07-29,69.0249
2016-06-30,67.2217
2016-05-31,65.6464
2016-04-29,64.2059
2016-03-31,62.7390
2016-02-29,61.3006
2016-01-29,60.1390
2015-12-31,59.3480
2015-11-30,58.4443
2015-10-30,57.4290
2015-09-30,56.2323
2015-08-31,54.7949
2015-07-31,52.8584
2015-06-30,50.6179
2015-05-29,48.5135
2015-04-30,46.5856
2015-03-31,45.0363
2015-02-27,43.7751
2015-01-30,42.7724
2014-12-31,41.9654
2014-11-28,41.3538
2014-10-31,40.7193
2014-09-30,40.1852
2014-08-29,39.8826
2014-07-31,39.7098
2014-06-30,39.5268
2014-05-30,39.2313
2014-04-30,38.7657
2014-03-31,37.9416
2014-02-28,36.8297
2014-01-31,35.5977
2013-12-31,34.3617
2013-11-29,33.2268
2013-10-31,32.3723
2013-09-30,31.7287
2013-08-30,31.0983
2013-07-31,30.4424
2013-06-28,29.9781
2013-05-31,29.6137
2013-04-30,29.3013
2013-03-28,29.2734
2013-02-28,29.6128
2013-01-31,30.1914
2012-12-31,30.7414
2012-11-30,31.3187
2012-10-31,31.7855
2012-09-28,32.0712
2012-08-31,32.0589
2012-07-31,31.9172
2012-06-29,31.5673
2012-05-31,31.2100
2012-04-30,30.9755
2012-03-30,30.8887
2012-02-29,31.0234
2012-01-31,31.4209
2011-12-30,32.0424
2011-11-30,32.6031
2011-10-31,32.9794
2011-09-30,33.2716
2011-08-31,33.3861
2011-07-29,33.3130
2011-06-30,33.1006
2011-05-31,32.7550
2011-04-29,32.3100
2011-03-31,31.6240
2011-02-28,30.7911
2011-01-31,30.0321
2010-12-31,29.5336
2010-11-30,29.0978
2010-10-29,28.9336
2010-09-30,29.0398
2010-08-31,29.2080
2010-07-30,29.1571
2010-06-30,28.9048
2010-05-28,28.7185
2010-04-30,28.3477
2010-03-31,27.7259
2010-02-26,26.9522
2010-01-29,26.0885
2009-12-31,24.8519
2009-11-30,23.2455
2009-10-30,21.5400
2009-09-30,19.9118
2009-08-31,18.3932
2009-07-31,17.1496
2009-06-30,16.5428
2009-05-29,16.6935
2009-04-30,17.4295
2009-03-31,18.9134
2009-02-27,21.1300
2009-01-30,23.5518
2008-12-31,25.7178
2008-11-28,27.4997
2008-10-31,28.8118
2008-09-30,29.5711
