,TRIMA_monthly_10
2022-04-04,25.8888
2022-03-31,25.6773
2022-02-28,25.6048
2022-01-31,25.4475
2021-12-31,25.2393
2021-11-30,24.8399
2021-10-29,24.2777
2021-09-30,23.4165
2021-08-31,22.3766
2021-07-30,21.4339
2021-06-30,20.7074
2021-05-28,20.2327
2021-04-30,19.9805
2021-03-31,20.0017
2021-02-26,20.2001
2021-01-29,20.4358
2020-12-31,20.4746
2020-11-30,20.3575
2020-10-30,20.1210
2020-09-30,19.5894
2020-08-31,18.7806
2020-07-31,17.7934
2020-06-30,16.7997
2020-05-29,15.7886
2020-04-30,14.8064
2020-03-31,14.0132
2020-02-28,13.3546
2020-01-31,12.8760
2019-12-31,12.5581
2019-11-29,12.3546
2019-10-31,12.2119
2019-09-30,12.1331
2019-08-30,12.0938
2019-07-31,11.9555
2019-06-28,11.8002
2019-05-31,11.6123
2019-04-30,11.4626
2019-03-29,11.2815
2019-02-28,11.1858
2019-01-31,11.2971
2018-12-31,11.5341
2018-11-30,11.8971
2018-10-31,12.3555
2018-09-28,12.9744
2018-08-31,13.5679
2018-07-31,14.1637
2018-06-29,14.7739
2018-05-31,15.3235
2018-04-30,15.8063
2018-03-29,16.1422
2018-02-28,16.4157
2018-01-31,16.5471
2017-12-29,16.5730
2017-11-30,16.5055
2017-10-31,16.3726
2017-09-29,16.1389
2017-08-31,15.8161
2017-07-31,15.4134
2017-06-30,14.9358
2017-05-31,14.4404
2017-04-28,13.8957
2017-03-31,13.3962
2017-02-28,12.8886
2017-01-31,12.3317
2016-12-30,11.7345
2016-11-30,11.1120
2016-10-31,10.4695
2016-09-30,9.8884
2016-08-31,9.4296
2016-07-29,9.0883
2016-06-30,8.8505
2016-05-31,8.7077
2016-04-29,8.6693
2016-03-31,8.6882
2016-02-29,8.7765
2016-01-29,8.9729
2015-12-31,9.2074
2015-11-30,9.4664
2015-10-30,9.7225
2015-09-30,9.9436
2015-08-31,10.1268
2015-07-31,10.2539
2015-06-30,10.3182
2015-05-29,10.3422
2015-04-30,10.3176
2015-03-31,10.2329
2015-02-27,10.0912
2015-01-30,9.8853
2014-12-31,9.6434
2014-11-28,9.3784
2014-10-31,9.1204
2014-09-30,8.9296
2014-08-29,8.8094
2014-07-31,8.7708
2014-06-30,8.8349
2014-05-30,8.9852
2014-04-30,9.1974
2014-03-31,9.3867
2014-02-28,9.5396
2014-01-31,9.6488
2013-12-31,9.7018
2013-11-29,9.6552
2013-10-31,9.5598
2013-09-30,9.4210
2013-08-30,9.2175
2013-07-31,8.9383
2013-06-28,8.6033
2013-05-31,8.2615
2013-04-30,7.8905
2013-03-28,7.5118
2013-02-28,7.1620
2013-01-31,6.8790
2012-12-31,6.6797
2012-11-30,6.5601
2012-10-31,6.5152
2012-09-28,6.5358
2012-08-31,6.5982
2012-07-31,6.6574
2012-06-29,6.6847
2012-05-31,6.6838
2012-04-30,6.6939
2012-03-30,6.7379
2012-02-29,6.8178
2012-01-31,6.9644
2011-12-30,7.1497
2011-11-30,7.3219
2011-10-31,7.4211
2011-09-30,7.4387
2011-08-31,7.3850
2011-07-29,7.2560
2011-06-30,7.0703
2011-05-31,6.8456
2011-04-29,6.5989
2011-03-31,6.3509
2011-02-28,6.1138
2011-01-31,5.9295
2010-12-31,5.8271
2010-11-30,5.8246
2010-10-29,5.9124
2010-09-30,6.0880
2010-08-31,6.3033
2010-07-30,6.5055
2010-06-30,6.6631
2010-05-28,6.7491
2010-04-30,6.7555
2010-03-31,6.6840
2010-02-26,6.5738
2010-01-29,6.4653
2009-12-31,6.3555
2009-11-30,6.2554
2009-10-30,6.1910
2009-09-30,6.1274
2009-08-31,6.0206
2009-07-31,5.8724
2009-06-30,5.8025
2009-05-29,5.8393
2009-04-30,5.9793
2009-03-31,6.2439
2009-02-27,6.6983
2009-01-30,7.1528
2008-12-31,7.4561
2008-11-28,7.6113
2008-10-31,7.6479
2008-09-30,7.5139
2008-08-29,7.2666
2008-07-31,7.0791
2008-06-30,7.0003
2008-05-30,6.9891
2008-04-30,7.0371
2008-03-31,7.1906
2008-02-29,7.3525
2008-01-31,7.4623
2007-12-31,7.5186
2007-11-30,7.5355
2007-10-31,7.4791
2007-09-28,7.4023
2007-08-31,7.3574
2007-07-31,7.3696
2007-06-29,7.4569
2007-05-31,7.5840
2007-04-30,7.6978
2007-03-30,7.7252
2007-02-28,7.6487
2007-01-31,7.4738
2006-12-29,7.2201
2006-11-30,6.9482
2006-10-31,6.7602
2006-09-29,6.6723
2006-08-31,6.6567
2006-07-31,6.7986
2006-06-30,7.0405
2006-05-31,7.3226
2006-04-28,7.6261
2006-03-31,7.9590
2006-02-28,8.2579
2006-01-31,8.4125
2005-12-30,8.4957
2005-11-30,8.5454
2005-10-31,8.5575
2005-09-30,8.5580
2005-08-31,8.7500
2005-07-29,9.0879
2005-06-30,9.4927
2005-05-31,9.9051
2005-04-29,10.2648
2005-03-31,10.4491
2005-02-28,10.3855
2005-01-31,10.1625
2004-12-31,9.8569
2004-11-30,9.5045
2004-10-29,9.1505
2004-09-30,8.8549
2004-08-31,8.5528
2004-07-30,8.2297
2004-06-30,7.8558
2004-05-28,7.4537
2004-04-30,7.0113
2004-03-31,6.5710
2004-02-27,6.1412
2004-01-30,5.7338
2003-12-31,5.3280
2003-11-28,4.9679
2003-10-31,4.6903
2003-09-30,4.4686
2003-08-29,4.3164
2003-07-31,4.2304
2003-06-30,4.1821
2003-05-30,4.0949
2003-04-30,3.9755
2003-03-31,3.8362
2003-02-28,3.6790
2003-01-31,3.5249
2002-12-31,3.4352
2002-11-29,3.4135
2002-10-31,3.4362
2002-09-30,3.4909
2002-08-30,3.5545
2002-07-31,3.5670
2002-06-28,3.4759
2002-05-31,3.3175
2002-04-30,3.1079
2002-03-28,2.8670
2002-02-28,2.6617
2002-01-31,2.5514
2001-12-31,2.5011
2001-11-30,2.5053
2001-10-31,2.5522
2001-09-28,2.5727
2001-08-31,2.5197
2001-07-31,2.4124
2001-06-29,2.3044
2001-05-31,2.1966
2001-04-30,2.1056
2001-03-30,2.1058
2001-02-28,2.1964
2001-01-31,2.3219
2000-12-29,2.4935
2000-11-30,2.7027
2000-10-31,2.8760
2000-09-29,3.0092
