,TRIMA_monthly_10
2022-04-04,206.3613
2022-03-31,207.2523
2022-02-28,207.1518
2022-01-31,206.4296
2021-12-31,205.0598
2021-11-30,202.5841
2021-10-29,199.3296
2021-09-30,194.9362
2021-08-31,189.0811
2021-07-30,181.1685
2021-06-30,171.8253
2021-05-28,162.1431
2021-04-30,152.6034
2021-03-31,143.3407
2021-02-26,133.9305
2021-01-29,125.8763
2020-12-31,118.3189
2020-11-30,111.7693
2020-10-30,106.9887
2020-09-30,104.6688
2020-08-31,104.1409
2020-07-31,105.4346
2020-06-30,107.9767
2020-05-29,109.8498
2020-04-30,110.5407
2020-03-31,109.6438
2020-02-28,107.4110
2020-01-31,104.0704
2019-12-31,100.4385
2019-11-29,97.2243
2019-10-31,94.4493
2019-09-30,91.7813
2019-08-30,89.2248
2019-07-31,86.3576
2019-06-28,83.7455
2019-05-31,81.7154
2019-04-30,80.7289
2019-03-29,81.0433
2019-02-28,83.3222
2019-01-31,86.6553
2018-12-31,90.9425
2018-11-30,95.9849
2018-10-31,100.6906
2018-09-28,104.6778
2018-08-31,107.7002
2018-07-31,110.1144
2018-06-29,111.4010
2018-05-31,111.5203
2018-04-30,111.0729
2018-03-29,110.4017
2018-02-28,109.2328
2018-01-31,107.8288
2017-12-29,106.4919
2017-11-30,105.1499
2017-10-31,103.6539
2017-09-29,101.9049
2017-08-31,100.1733
2017-07-31,98.5640
2017-06-30,97.2303
2017-05-31,95.8231
2017-04-28,94.3420
2017-03-31,92.5771
2017-02-28,90.8468
2017-01-31,88.6956
2016-12-30,86.3486
2016-11-30,83.9055
2016-10-31,81.7921
2016-09-30,80.0151
2016-08-31,78.6737
2016-07-29,77.7782
2016-06-30,77.6076
2016-05-31,78.1601
2016-04-29,79.2313
2016-03-31,80.7791
2016-02-29,83.1455
2016-01-29,85.8865
2015-12-31,88.6236
2015-11-30,90.6618
2015-10-30,91.6943
2015-09-30,91.4351
2015-08-31,89.5144
2015-07-31,86.2969
2015-06-30,82.0554
2015-05-29,77.8546
2015-04-30,73.8068
2015-03-31,70.5298
2015-02-27,67.6267
2015-01-30,65.4520
2014-12-31,63.4923
2014-11-28,61.6822
2014-10-31,59.7518
2014-09-30,57.6769
2014-08-29,55.2659
2014-07-31,52.6049
2014-06-30,49.6475
2014-05-30,46.5291
2014-04-30,43.5555
2014-03-31,40.7312
2014-02-28,38.0924
2014-01-31,35.6767
2013-12-31,33.6473
2013-11-29,31.9632
2013-10-31,30.6692
2013-09-30,29.5965
2013-08-30,28.7853
2013-07-31,28.0896
2013-06-28,27.3803
2013-05-31,26.4689
2013-04-30,25.4712
2013-03-28,24.5779
2013-02-28,23.6821
2013-01-31,23.0049
2012-12-31,22.6650
2012-11-30,22.6080
2012-10-31,22.6061
2012-09-28,22.4613
2012-08-31,22.1320
2012-07-31,21.5009
2012-06-29,20.4253
2012-05-31,19.1221
2012-04-30,18.0229
2012-03-30,17.4192
2012-02-29,17.4364
2012-01-31,18.3421
2011-12-30,20.0229
2011-11-30,22.2481
2011-10-31,24.3015
2011-09-30,25.8003
2011-08-31,26.3004
2011-07-29,25.6531
2011-06-30,23.9481
