,TRIMA_monthly_10
2022-04-04,11.4550
2022-03-31,11.0890
2022-02-28,10.6807
2022-01-31,10.3410
2021-12-31,10.1450
2021-11-30,10.1270
2021-10-29,10.2627
2021-09-30,10.5327
2021-08-31,10.8973
2021-07-30,11.1330
2021-06-30,11.2467
2021-05-28,11.2307
2021-04-30,11.0690
2021-03-31,10.7023
2021-02-26,10.3663
2021-01-29,10.1437
2020-12-31,9.9493
2020-11-30,10.0323
2020-10-30,10.4303
2020-09-30,10.9230
2020-08-31,11.2330
2020-07-31,11.4073
2020-06-30,11.4073
2020-05-29,11.0437
2020-04-30,10.7107
2020-03-31,10.9260
2020-02-28,11.6117
2020-01-31,12.8087
2019-12-31,14.4340
2019-11-29,16.1813
2019-10-31,17.3560
2019-09-30,18.2370
2019-08-30,18.8823
2019-07-31,20.0773
2019-06-28,21.9933
2019-05-31,25.0520
2019-04-30,29.0857
2019-03-29,33.4370
2019-02-28,37.5437
2019-01-31,40.6863
2018-12-31,42.7880
2018-11-30,43.7173
2018-10-31,43.9980
2018-09-28,43.7893
2018-08-31,43.9680
2018-07-31,44.6050
2018-06-29,46.2170
2018-05-31,48.8089
2018-04-30,52.1496
2018-03-29,55.8276
2018-02-28,59.5524
2018-01-31,62.7462
2017-12-29,64.8896
2017-11-30,66.0548
2017-10-31,66.2962
2017-09-29,65.8860
2017-08-31,64.8575
2017-07-31,63.7283
2017-06-30,62.5515
2017-05-31,61.4092
2017-04-28,60.5164
2017-03-31,60.0372
2017-02-28,59.7622
2017-01-31,59.5325
2016-12-30,59.4146
2016-11-30,59.0678
2016-10-31,58.3349
2016-09-30,57.2206
2016-08-31,56.0017
2016-07-29,54.6797
2016-06-30,53.3058
2016-05-31,51.9961
2016-04-29,50.9528
2016-03-31,50.0145
2016-02-29,49.2496
2016-01-29,48.6873
2015-12-31,48.3564
2015-11-30,48.2287
2015-10-30,48.4197
2015-09-30,48.7163
2015-08-31,48.9398
2015-07-31,49.0783
2015-06-30,48.8473
2015-05-29,48.2061
2015-04-30,47.0098
2015-03-31,45.7450
2015-02-27,44.4189
2015-01-30,43.1928
2014-12-31,42.1323
2014-11-28,41.4292
2014-10-31,40.8117
2014-09-30,40.1058
2014-08-29,39.3818
2014-07-31,38.6019
2014-06-30,37.8270
2014-05-30,37.0465
2014-04-30,36.6015
2014-03-31,36.4755
2014-02-28,36.5909
2014-01-31,36.9615
2013-12-31,37.5156
2013-11-29,38.0016
2013-10-31,38.2393
2013-09-30,38.1899
2013-08-30,37.8415
2013-07-31,37.2214
2013-06-28,36.5106
2013-05-31,35.9130
2013-04-30,35.5688
2013-03-28,35.4773
2013-02-28,35.6312
2013-01-31,35.8849
2012-12-31,36.1392
2012-11-30,36.2518
2012-10-31,36.0749
2012-09-28,35.7121
2012-08-31,35.1735
2012-07-31,34.5792
2012-06-29,34.0011
2012-05-31,33.5906
2012-04-30,33.3115
2012-03-30,33.1848
2012-02-29,33.2142
2012-01-31,33.3572
2011-12-30,33.5315
2011-11-30,33.7811
2011-10-31,34.1353
2011-09-30,34.5197
2011-08-31,34.9140
2011-07-29,35.3041
2011-06-30,35.6312
2011-05-31,35.8510
2011-04-29,35.8738
2011-03-31,35.6339
2011-02-28,35.2126
2011-01-31,34.6565
2010-12-31,34.0066
2010-11-30,33.2823
2010-10-29,32.6750
2010-09-30,32.2942
2010-08-31,32.0393
2010-07-30,31.7905
2010-06-30,31.6185
2010-05-28,31.4714
2010-04-30,31.1929
2010-03-31,30.7420
2010-02-26,30.2269
2010-01-29,29.6683
2009-12-31,29.0866
2009-11-30,28.4928
2009-10-30,28.0096
2009-09-30,27.6698
2009-08-31,27.4546
2009-07-31,27.2857
2009-06-30,27.1572
2009-05-29,27.1443
2009-04-30,27.1234
2009-03-31,27.0938
2009-02-27,27.1112
2009-01-30,27.2254
2008-12-31,27.2534
2008-11-28,27.1998
2008-10-31,27.1800
2008-09-30,27.2011
2008-08-29,27.2967
2008-07-31,27.6093
2008-06-30,28.2578
