,TRIMA_monthly_10
2022-04-04,99.6018
2022-03-31,96.9967
2022-02-28,95.2761
2022-01-31,94.5777
2021-12-31,94.4170
2021-11-30,94.4127
2021-10-29,94.3438
2021-09-30,93.9490
2021-08-31,92.8420
2021-07-30,91.1385
2021-06-30,89.6042
2021-05-28,88.4873
2021-04-30,87.4648
2021-03-31,86.3779
2021-02-26,85.4231
2021-01-29,84.1845
2020-12-31,82.1406
2020-11-30,79.4457
2020-10-30,77.0350
2020-09-30,74.6103
2020-08-31,72.4286
2020-07-31,70.5947
2020-06-30,69.4764
2020-05-29,68.6707
2020-04-30,68.1057
2020-03-31,67.9799
2020-02-28,68.3429
2020-01-31,68.9266
2019-12-31,69.3442
2019-11-29,69.7419
2019-10-31,69.4274
2019-09-30,68.2734
2019-08-30,66.4048
2019-07-31,64.3633
2019-06-28,62.3048
2019-05-31,60.5018
2019-04-30,59.1462
2019-03-29,58.2227
2019-02-28,57.5114
2019-01-31,56.6382
2018-12-31,55.7085
2018-11-30,54.7016
2018-10-31,53.5260
2018-09-28,52.3565
2018-08-31,51.1699
2018-07-31,49.9101
2018-06-29,48.5476
2018-05-31,47.0398
2018-04-30,45.4499
2018-03-29,43.8029
2018-02-28,42.2170
2018-01-31,40.7685
2017-12-29,39.4068
2017-11-30,38.0359
2017-10-31,36.7176
2017-09-29,35.4423
2017-08-31,34.1442
2017-07-31,32.8592
2017-06-30,31.5473
2017-05-31,30.3247
2017-04-28,29.2265
2017-03-31,28.3480
2017-02-28,27.7180
2017-01-31,27.3518
2016-12-30,27.2906
2016-11-30,27.3487
2016-10-31,27.4027
2016-09-30,27.3845
2016-08-31,27.2429
2016-07-29,26.9888
2016-06-30,26.6033
2016-05-31,26.1994
2016-04-29,25.8475
2016-03-31,25.4816
2016-02-29,25.0330
2016-01-29,24.5589
2015-12-31,24.0700
2015-11-30,23.5119
2015-10-30,22.9201
2015-09-30,22.3807
2015-08-31,21.9943
2015-07-31,21.6755
2015-06-30,21.3767
2015-05-29,21.1573
2015-04-30,20.9134
2015-03-31,20.6484
2015-02-27,20.3504
2015-01-30,20.0651
2014-12-31,19.8135
2014-11-28,19.6138
2014-10-31,19.4518
2014-09-30,19.3685
2014-08-29,19.3879
2014-07-31,19.4522
2014-06-30,19.5799
2014-05-30,19.7009
2014-04-30,19.8459
2014-03-31,19.8983
2014-02-28,19.8722
2014-01-31,19.7795
2013-12-31,19.6493
2013-11-29,19.4567
2013-10-31,19.2220
2013-09-30,18.9332
2013-08-30,18.5481
2013-07-31,18.1053
2013-06-28,17.5367
2013-05-31,16.9073
2013-04-30,16.2961
2013-03-28,15.7686
2013-02-28,15.3360
2013-01-31,15.0234
2012-12-31,14.9183
2012-11-30,14.9556
2012-10-31,15.0356
2012-09-28,15.0871
2012-08-31,15.0854
2012-07-31,14.9622
2012-06-29,14.6569
2012-05-31,14.2764
2012-04-30,13.9130
2012-03-30,13.6703
2012-02-29,13.5560
2012-01-31,13.6473
2011-12-30,13.8795
2011-11-30,14.1736
2011-10-31,14.4271
2011-09-30,14.5712
2011-08-31,14.5847
2011-07-29,14.4683
2011-06-30,14.2749
2011-05-31,14.0235
2011-04-29,13.7818
2011-03-31,13.5555
2011-02-28,13.3641
2011-01-31,13.1880
2010-12-31,13.0281
2010-11-30,12.8452
2010-10-29,12.6426
2010-09-30,12.4367
2010-08-31,12.1893
2010-07-30,11.8883
2010-06-30,11.5869
2010-05-28,11.3350
2010-04-30,11.0778
2010-03-31,10.8232
2010-02-26,10.6472
2010-01-29,10.5137
2009-12-31,10.3297
2009-11-30,10.0639
2009-10-30,9.7862
2009-09-30,9.5159
2009-08-31,9.2372
2009-07-31,9.0043
2009-06-30,8.9636
2009-05-29,9.1455
2009-04-30,9.5086
2009-03-31,9.9798
2009-02-27,10.5814
2009-01-30,11.1822
2008-12-31,11.6056
2008-11-28,11.8514
2008-10-31,11.9762
2008-09-30,11.9985
2008-08-29,11.8974
2008-07-31,11.8285
2008-06-30,11.8312
2008-05-30,11.9104
2008-04-30,11.9923
2008-03-31,12.1697
2008-02-29,12.3991
2008-01-31,12.6138
2007-12-31,12.7987
2007-11-30,12.9866
2007-10-31,13.1612
2007-09-28,13.2857
2007-08-31,13.3466
2007-07-31,13.4186
2007-06-29,13.5315
2007-05-31,13.6331
2007-04-30,13.7482
2007-03-30,13.9019
2007-02-28,14.1274
2007-01-31,14.3575
2006-12-29,14.5852
2006-11-30,14.8377
2006-10-31,15.1015
2006-09-29,15.3397
2006-08-31,15.5864
2006-07-31,15.8388
2006-06-30,16.0495
2006-05-31,16.1662
2006-04-28,16.1891
2006-03-31,16.0584
2006-02-28,15.7615
2006-01-31,15.3427
2005-12-30,14.9144
2005-11-30,14.4668
2005-10-31,14.0287
2005-09-30,13.6535
2005-08-31,13.3730
2005-07-29,13.1669
2005-06-30,12.9719
2005-05-31,12.8218
2005-04-29,12.7055
2005-03-31,12.6162
2005-02-28,12.4904
2005-01-31,12.3694
2004-12-31,12.2953
2004-11-30,12.2668
2004-10-29,12.2655
2004-09-30,12.2812
2004-08-31,12.2890
2004-07-30,12.2165
2004-06-30,12.0428
2004-05-28,11.7819
2004-04-30,11.4486
2004-03-31,11.1016
2004-02-27,10.7915
2004-01-30,10.5431
2003-12-31,10.3050
2003-11-28,10.0569
2003-10-31,9.7741
2003-09-30,9.4072
2003-08-29,8.9939
2003-07-31,8.5651
2003-06-30,8.1850
2003-05-30,7.8989
2003-04-30,7.7401
2003-03-31,7.6957
2003-02-28,7.7267
2003-01-31,7.8120
2002-12-31,7.9125
2002-11-29,7.9906
2002-10-31,8.0200
2002-09-30,7.9979
2002-08-30,7.9135
2002-07-31,7.7509
2002-06-28,7.5443
2002-05-31,7.3040
2002-04-30,7.0816
2002-03-28,6.8867
2002-02-28,6.7213
2002-01-31,6.5733
2001-12-31,6.4088
2001-11-30,6.2166
2001-10-31,5.9814
2001-09-28,5.7202
2001-08-31,5.4342
2001-07-31,5.1775
2001-06-29,4.9453
2001-05-31,4.7416
2001-04-30,4.5458
2001-03-30,4.3627
2001-02-28,4.2092
2001-01-31,4.0274
2000-12-29,3.8736
2000-11-30,3.7365
2000-10-31,3.6389
2000-09-29,3.5402
