,TRIMA_monthly_10
2022-04-04,270.1264
2022-03-31,263.9585
2022-02-28,259.1024
2022-01-31,256.4315
2021-12-31,254.7246
2021-11-30,253.2269
2021-10-29,251.1012
2021-09-30,248.2772
2021-08-31,243.8424
2021-07-30,236.9184
2021-06-30,229.1773
2021-05-28,222.0869
2021-04-30,215.8290
2021-03-31,209.7853
2021-02-26,205.4493
2021-01-29,201.9809
2020-12-31,199.0586
2020-11-30,196.7611
2020-10-30,197.1792
2020-09-30,200.7043
2020-08-31,207.2360
2020-07-31,216.5836
2020-06-30,227.3852
2020-05-29,236.0020
2020-04-30,241.4550
2020-03-31,243.7291
2020-02-28,242.6591
2020-01-31,238.5976
2019-12-31,233.3532
2019-11-29,228.7528
2019-10-31,224.2360
2019-09-30,219.5063
2019-08-30,214.6584
2019-07-31,210.8253
2019-06-28,207.6775
2019-05-31,205.2901
2019-04-30,203.7950
2019-03-29,203.4821
2019-02-28,203.8141
2019-01-31,204.2190
2018-12-31,205.5785
2018-11-30,207.4860
2018-10-31,209.3619
2018-09-28,210.8715
2018-08-31,211.7659
2018-07-31,211.9520
2018-06-29,210.7610
2018-05-31,209.5841
2018-04-30,209.6542
2018-03-29,210.8885
2018-02-28,213.0266
2018-01-31,216.4485
2017-12-29,219.6761
2017-11-30,221.4218
2017-10-31,220.9190
2017-09-29,218.2440
2017-08-31,213.8430
2017-07-31,207.8571
2017-06-30,201.0989
2017-05-31,194.3744
2017-04-28,187.8759
2017-03-31,181.6967
2017-02-28,176.0232
2017-01-31,171.0985
2016-12-30,167.6166
2016-11-30,164.8329
2016-10-31,162.7485
2016-09-30,161.5983
2016-08-31,161.1481
2016-07-29,160.2887
2016-06-30,158.9503
2016-05-31,157.6408
2016-04-29,156.4427
2016-03-31,155.0632
2016-02-29,153.7738
2016-01-29,153.2125
2015-12-31,152.9444
2015-11-30,152.5831
2015-10-30,151.9301
2015-09-30,151.0660
2015-08-31,150.0038
2015-07-31,148.6909
2015-06-30,147.0250
2015-05-29,145.3366
2015-04-30,143.5528
2015-03-31,141.6745
2015-02-27,139.6108
2015-01-30,137.5416
2014-12-31,135.5895
2014-11-28,133.6488
2014-10-31,131.6801
2014-09-30,130.0116
2014-08-29,128.6056
2014-07-31,127.3290
2014-06-30,126.2685
2014-05-30,125.2004
2014-04-30,123.9630
2014-03-31,122.0673
2014-02-28,119.5608
2014-01-31,116.7650
2013-12-31,113.8743
2013-11-29,110.9477
2013-10-31,108.3027
2013-09-30,105.9063
2013-08-30,103.4637
2013-07-31,100.7963
2013-06-28,97.8570
2013-05-31,94.8449
2013-04-30,91.9476
2013-03-28,89.4357
2013-02-28,87.4026
2013-01-31,85.6694
2012-12-31,84.1037
2012-11-30,82.4847
2012-10-31,80.6059
2012-09-28,78.3812
2012-08-31,76.0940
2012-07-31,73.9482
2012-06-29,71.8892
2012-05-31,70.0886
2012-04-30,68.7190
2012-03-30,67.6721
2012-02-29,66.9025
2012-01-31,66.5116
2011-12-30,66.5292
2011-11-30,66.8301
2011-10-31,67.2508
2011-09-30,67.7223
2011-08-31,68.0213
2011-07-29,67.9106
2011-06-30,67.5590
2011-05-31,66.9158
2011-04-29,66.0197
2011-03-31,64.9036
2011-02-28,63.6880
2011-01-31,62.3203
2010-12-31,61.0422
2010-11-30,60.0827
2010-10-29,59.6925
2010-09-30,59.9624
2010-08-31,60.7465
2010-07-30,61.9512
2010-06-30,63.1812
2010-05-28,64.1895
2010-04-30,64.6776
2010-03-31,64.4950
2010-02-26,63.6385
2010-01-29,62.2863
2009-12-31,60.5252
2009-11-30,58.4099
2009-10-30,56.2179
2009-09-30,54.5349
2009-08-31,53.4028
2009-07-31,52.6930
2009-06-30,52.8590
2009-05-29,53.8846
2009-04-30,55.2608
2009-03-31,56.4958
2009-02-27,57.9571
2009-01-30,59.4186
2008-12-31,60.5247
2008-11-28,61.5288
2008-10-31,62.9312
2008-09-30,64.6136
2008-08-29,66.3305
2008-07-31,68.3663
2008-06-30,70.5435
2008-05-30,72.3474
2008-04-30,73.5668
2008-03-31,74.5672
2008-02-29,75.2197
2008-01-31,75.2322
2007-12-31,74.7994
2007-11-30,74.3260
2007-10-31,73.5460
2007-09-28,72.4722
2007-08-31,71.3405
2007-07-31,70.5156
2007-06-29,69.8518
2007-05-31,69.2506
2007-04-30,68.9387
2007-03-30,68.5674
2007-02-28,68.0256
2007-01-31,67.2696
2006-12-29,66.4789
2006-11-30,65.7831
2006-10-31,65.4105
2006-09-29,65.5794
2006-08-31,66.3130
2006-07-31,67.3447
2006-06-30,68.3674
2006-05-31,69.1937
2006-04-28,69.7136
2006-03-31,69.6899
2006-02-28,69.0999
2006-01-31,67.9981
2005-12-30,66.7448
