,TRIMA_monthly_10
2022-04-04,63.1468
2022-03-31,61.5548
2022-02-28,60.0664
2022-01-31,58.6556
2021-12-31,57.1531
2021-11-30,55.3923
2021-10-29,53.4291
2021-09-30,51.1975
2021-08-31,48.9063
2021-07-30,46.5901
2021-06-30,44.6754
2021-05-28,43.1540
2021-04-30,41.8629
2021-03-31,40.5385
2021-02-26,39.1140
2021-01-29,37.5619
2020-12-31,35.6373
2020-11-30,33.6351
2020-10-30,32.0478
2020-09-30,31.1070
2020-08-31,30.7043
2020-07-31,31.1831
2020-06-30,32.4955
2020-05-29,34.1211
2020-04-30,35.7241
2020-03-31,37.2402
2020-02-28,38.4658
2020-01-31,39.3045
2019-12-31,39.9820
2019-11-29,40.5795
2019-10-31,41.0112
2019-09-30,41.0577
2019-08-30,40.7797
2019-07-31,39.9048
2019-06-28,38.7199
2019-05-31,37.4951
2019-04-30,36.6650
2019-03-29,36.2451
2019-02-28,36.5040
2019-01-31,37.3137
2018-12-31,38.3186
2018-11-30,39.2515
2018-10-31,40.0465
2018-09-28,40.8289
2018-08-31,41.3889
2018-07-31,41.8779
2018-06-29,42.2941
2018-05-31,42.6763
2018-04-30,42.7255
2018-03-29,42.4934
2018-02-28,42.1363
2018-01-31,41.7747
2017-12-29,41.3719
2017-11-30,41.1485
2017-10-31,41.2206
2017-09-29,41.4237
2017-08-31,41.6700
2017-07-31,41.9393
2017-06-30,42.2179
2017-05-31,42.3673
2017-04-28,42.4578
2017-03-31,42.5313
2017-02-28,42.5760
2017-01-31,42.6043
2016-12-30,42.6749
2016-11-30,42.7397
2016-10-31,42.5838
2016-09-30,42.3665
2016-08-31,42.0652
2016-07-29,41.7520
2016-06-30,41.4526
2016-05-31,41.5294
2016-04-29,42.0318
2016-03-31,42.7725
2016-02-29,43.5615
2016-01-29,44.2793
2015-12-31,44.7846
2015-11-30,44.7763
2015-10-30,44.1812
2015-09-30,43.2151
2015-08-31,42.0793
2015-07-31,40.7024
2015-06-30,39.1356
2015-05-29,37.6194
2015-04-30,36.1222
2015-03-31,34.6532
2015-02-27,33.2674
2015-01-30,32.1439
2014-12-31,31.2916
2014-11-28,30.6282
2014-10-31,30.1851
2014-09-30,29.9358
2014-08-29,29.7205
2014-07-31,29.4431
2014-06-30,29.0599
2014-05-30,28.5376
2014-04-30,27.9030
2014-03-31,26.9951
2014-02-28,25.9714
2014-01-31,24.8787
2013-12-31,23.8623
2013-11-29,22.7843
2013-10-31,21.7550
2013-09-30,20.7763
2013-08-30,19.8286
2013-07-31,18.8001
2013-06-28,17.6982
2013-05-31,16.6152
2013-04-30,15.6464
2013-03-28,14.8232
2013-02-28,14.1373
2013-01-31,13.7861
2012-12-31,13.7737
2012-11-30,13.9871
2012-10-31,14.3660
2012-09-28,14.8296
2012-08-31,15.2661
2012-07-31,15.5552
